package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"coin", ":::", -1, 0, 0, "double[]", 1
"coin", ":::", 0, 0, 0, "double", 1
"coin", ":::", 1, 0, 0, "double", 1
"coin", ":::", 2, 0, 0, "double", 1
"coin", ":::", 3, 0, 0, "character", 1
"coin", ":::", 4, 0, 0, "any", 1
"coin", "[[", -1, 0, 0, "^double[]", 1
"coin", "[[", 0, 0, 0, "double[]", 1
"coin", "[[", 0, 0, 1, "^integer[]", 1
"coin", "[[", 1, 0, 0, "character[]", 1
"coin", "@", -1, 0, 0, "double[]", 1
"coin", "@", -1, 1, 0, "class<`matrix`>", 1
"coin", "@", -1, 1, 1, "double[]", 1
"coin", "@", 0, 1, 0, "logical", 1
"coin", "@", -1, 2, 0, "double[]", 1
"coin", "@", 0, 2, 0, "logical", 1
"coin", "ansari_test", -1, 0, 0, "any", 1
"coin", "ansari_test", 0, 0, 0, "class<`formula`>", 1
"coin", "ansari_test", 0, 0, 1, "class<`IndependenceProblem`>", 1
"coin", "ansari_test", 1, 0, 0, "...", 1
"coin", "ansari_test.formula", -1, 0, 0, "any", 1
"coin", "ansari_test.formula", 0, 0, 0, "class<`formula`>", 1
"coin", "ansari_test.formula", 1, 0, 0, "class<`data.frame`>", 1
"coin", "ansari_test.formula", 1, 0, 1, "list<any>", 1
"coin", "ansari_test.formula", 2, 0, 0, "null", 1
"coin", "ansari_test.formula", 3, 0, 0, "null", 1
"coin", "ansari_test.formula", 4, 0, 0, "...", 1
"coin", "ansari_test.IndependenceProblem", -1, 0, 0, "any", 1
"coin", "ansari_test.IndependenceProblem", 0, 0, 0, "class<`IndependenceProblem`>", 1
"coin", "ansari_test.IndependenceProblem", 1, 0, 0, "any", 1
"coin", "ansari_test.IndependenceProblem", 2, 0, 0, "logical", 1
"coin", "ansari_test.IndependenceProblem", 3, 0, 0, "double", 1
"coin", "ansari_test.IndependenceProblem", 4, 0, 0, "...", 1
"coin", "ansari_trafo", -1, 0, 0, "^double[]", 1
"coin", "ansari_trafo", 0, 0, 0, "^integer[]", 1
"coin", "ansari_trafo", 0, 0, 1, "double[]", 1
"coin", "ansari_trafo", 1, 0, 0, "character[]", 1
"coin", "approximate", -1, 0, 0, "class<`function`>", 1
"coin", "approximate", 0, 0, 0, "double", 1
"coin", "approximate", 1, 0, 0, "character[]", 1
"coin", "approximate", 2, 0, 0, "integer", 1
"coin", "approximate", 3, 0, 0, "null", 1
"coin", "approximate", 4, 0, 0, "any", 1
"coin", "ApproxNullDistribution", -1, 0, 0, "class<`ApproxNullDistribution`>", 1
"coin", "ApproxNullDistribution", 0, 0, 0, "class<`QuadTypeIndependenceTestStatistic`>", 1
"coin", "ApproxNullDistribution", 1, 0, 0, "...", 1
"coin", "ApproxNullDistribution", -1, 1, 0, "class<`ApproxNullDistribution`>", 1
"coin", "ApproxNullDistribution", 0, 1, 0, "class<`MaxTypeIndependenceTestStatistic`>", 1
"coin", "ApproxNullDistribution", 0, 1, 1, "class<`QuadTypeIndependenceTestStatistic`>", 1
"coin", "ApproxNullDistribution", 0, 1, 2, "class<`ScalarIndependenceTestStatistic`>", 1
"coin", "ApproxNullDistribution", 1, 1, 0, "...", 1
"coin", "ApproxNullDistribution", -1, 2, 0, "class<`ApproxNullDistribution`>", 1
"coin", "ApproxNullDistribution", 0, 2, 0, "class<`MaxTypeIndependenceTestStatistic`>", 1
"coin", "ApproxNullDistribution", 1, 2, 0, "...", 1
"coin", "ApproxNullDistribution", -1, 3, 0, "class<`ApproxNullDistribution`>", 1
"coin", "ApproxNullDistribution", 0, 3, 0, "class<`ScalarIndependenceTestStatistic`>", 1
"coin", "ApproxNullDistribution", 1, 3, 0, "...", 1
"coin", "AsymptNullDistribution", -1, 0, 0, "class<`AsymptNullDistribution`>", 1
"coin", "AsymptNullDistribution", 0, 0, 0, "class<`MaxTypeIndependenceTestStatistic`>", 1
"coin", "AsymptNullDistribution", 0, 0, 1, "class<`QuadTypeIndependenceTestStatistic`>", 1
"coin", "AsymptNullDistribution", 0, 0, 2, "class<`ScalarIndependenceTestStatistic`>", 1
"coin", "AsymptNullDistribution", 1, 0, 0, "...", 1
