package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"compare", "coercedMsg", -1, 0, 0, "character", 1
"compare", "coercedMsg", 0, 0, 0, "^character[]", 1
"compare", "coercedMsg", 0, 0, 1, "struct<>", 1
"compare", "coercedMsg", 0, 0, 2, "integer[]", 1
"compare", "coercedMsg", 0, 0, 3, "struct<`a`:integer[], `b`:character[]>", 1
"compare", "coercedMsg", 1, 0, 0, "character", 1
"compare", "coerceListComponents", -1, 0, 0, "struct<`result`:logical, `detailedResult`:logical[], `transform`:character[], `tM`:struct<`a`:integer[], `b`:character[]>, `tC`:struct<`a`:integer[], `b`:character[]>, `tMpartial`:struct<`a`:integer[], `b`:character[]>, `tCpartial`:struct<`a`:integer[], `b`:character[]>, `partialTransform`:character[]>", 1
"compare", "coerceListComponents", 0, 0, 0, "struct<`a`:integer[], `b`:character[]>", 1
"compare", "coerceListComponents", 0, 0, 1, "struct<`A`:integer[], `B`:character[], `C`:struct<`x`:integer[]>>", 1
"compare", "coerceListComponents", 0, 0, 2, "struct<`coefficients`:double[], `residuals`:double[], `effects`:double[], `rank`:integer, `fitted.values`:double[], `assign`:integer[], `qr`:struct<`qr`:^double[], `qraux`:double[], `pivot`:integer[], `tol`:double, `rank`:integer>, `df.residual`:integer, `contrasts`:struct<`Treatment`:character>, `xlevels`:struct<`Treatment`:character[]>, `call`:language, `terms`:language, `model`:struct<`uptake`:double[], `Treatment`:integer[], `conc`:double[]>>", 1
"compare", "coerceListComponents", 0, 0, 3, "struct<`coefficients`:double[], `residuals`:double[], `effects`:double[], `rank`:integer, `fitted.values`:double[], `assign`:integer[], `qr`:struct<`qr`:^double[], `qraux`:double[], `pivot`:integer[], `tol`:double, `rank`:integer>, `df.residual`:integer, `xlevels`:tuple<>, `call`:language, `terms`:language, `model`:struct<`y`:double[], `x`:integer[]>>", 1
"compare", "coerceListComponents", 0, 0, 4, "struct<`qr`:^double[], `qraux`:double[], `pivot`:integer[], `tol`:double, `rank`:integer>", 1
"compare", "coerceListComponents", 0, 0, 5, "tuple<language>", 1
"compare", "coerceListComponents", 0, 0, 6, "struct<`Treatment`:character[]>", 1
"compare", "coerceListComponents", 0, 0, 7, "struct<`x`:integer[]>", 1
"compare", "coerceListComponents", 1, 0, 0, "struct<`a`:integer[], `b`:integer[]>", 1
"compare", "coerceListComponents", 1, 0, 1, "struct<`a`:integer[], `b`:character[]>", 1
"compare", "coerceListComponents", 1, 0, 2, "struct<`A`:integer[], `B`:character[], `C`:struct<`x`:integer[]>>", 1
"compare", "coerceListComponents", 1, 0, 3, "struct<`coefficients`:double[], `residuals`:double[], `effects`:double[], `rank`:integer, `fitted.values`:double[], `assign`:integer[], `qr`:struct<`qr`:^double[], `qraux`:double[], `pivot`:integer[], `tol`:double, `rank`:integer>, `df.residual`:integer, `contrasts`:struct<`Treatment`:character>, `xlevels`:struct<`Treatment`:character[]>, `call`:language, `terms`:language, `model`:struct<`uptake`:double[], `conc`:double[], `Treatment`:integer[]>>", 1
"compare", "coerceListComponents", 1, 0, 4, "struct<`coefficients`:double[], `residuals`:double[], `effects`:double[], `rank`:integer, `fitted.values`:double[], `assign`:integer[], `qr`:struct<`qr`:^double[], `qraux`:double[], `pivot`:integer[], `tol`:double, `rank`:integer>, `df.residual`:integer, `xlevels`:tuple<>, `call`:language, `terms`:language, `model`:struct<`y`:double[], `x`:integer[]>>", 1
"compare", "coerceListComponents", 1, 0, 5, "struct<`coefficients`:double[], `residuals`:double[], `effects`:double[], `rank`:integer, `fitted.values`:double[], `assign`:integer[], `qr`:struct<`qr`:^double[], `qraux`:double[], `pivot`:integer[], `tol`:double, `rank`:integer>, `df.residual`:integer, `xlevels`:tuple<>, `call`:language, `terms`:language, `model`:struct<`y2`:double[], `x`:integer[]>>", 1
"compare", "coerceListComponents", 1, 0, 6, "struct<`qr`:^double[], `qraux`:double[], `pivot`:integer[], `tol`:double, `rank`:integer>", 1
"compare", "coerceListComponents", 1, 0, 7, "tuple<language>", 1
"compare", "coerceListComponents", 1, 0, 8, "struct<`Treatment`:character[]>", 1
"compare", "coerceListComponents", 1, 0, 9, "struct<`x`:integer[]>", 1
"compare", "coerceListComponents", 2, 0, 0, "character[]", 1
"compare", "coerceListComponents", 3, 0, 0, "logical", 1
"compare", "coerceListComponents", 4, 0, 0, "logical", 1
"compare", "coerceListComponents", 5, 0, 0, "logical", 1
"compare", "coerceListComponents", 5, 0, 1, "null", 1
