package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"coneproj", "coef.coneproj", -1, 0, 0, "^double[]", 1
"coneproj", "coef.coneproj", 0, 0, 0, "struct<`constr.fit`:^double[], `unconstr.fit`:^double[], `coefs`:^double[]>", 1
"coneproj", "coef.coneproj", 0, 0, 1, "struct<`coefs`:double[], `constr.fit`:^double[], `linear.fit`:^double[], `se.beta`:double[], `pval`:double, `pvals.beta`:double[], `test`:logical, `SSE0`:double, `SSE1`:double, `shape`:double, `tms`:language, `zid`:integer, `vals`:character, `zid1`:double, `zid2`:double, `tnm`:character, `ynm`:character, `znms`:character, `is_param`:logical, `is_fac`:logical, `xmat`:^double[], `call`:language>", 1
"coneproj", "coef.coneproj", 1, 0, 0, "null", 1
"coneproj", "conc", -1, 0, 0, "double[]", 1
"coneproj", "conc", 0, 0, 0, "double[]", 1
"coneproj", "conv", -1, 0, 0, "double[]", 1
"coneproj", "conv", 0, 0, 0, "double[]", 1
"coneproj", "decr", -1, 0, 0, "double[]", 1
"coneproj", "decr", 0, 0, 0, "double[]", 1
"coneproj", "decr.conc", -1, 0, 0, "double[]", 1
"coneproj", "decr.conc", 0, 0, 0, "double[]", 1
"coneproj", "decr.conv", -1, 0, 0, "double[]", 1
"coneproj", "decr.conv", 0, 0, 0, "double[]", 1
"coneproj", "filter", -1, 0, 0, "logical[]", 1
"coneproj", "filter", 0, 0, 0, "character[]", 1
"coneproj", "fitted.coneproj", -1, 0, 0, "^double[]", 1
"coneproj", "fitted.coneproj", 0, 0, 0, "struct<`coefs`:double, `constr.fit`:^double[], `linear.fit`:^double[], `se.beta`:double, `pval`:null, `pvals.beta`:double, `test`:logical, `SSE0`:double, `SSE1`:double, `shape`:double, `tms`:language, `zid`:null, `vals`:null, `zid1`:null, `zid2`:null, `tnm`:character, `ynm`:character, `znms`:null, `is_param`:null, `is_fac`:null, `xmat`:null, `call`:language>", 1
"coneproj", "fitted.coneproj", 0, 0, 1, "struct<`df`:double, `thetahat`:^double[], `steps`:integer, `xmat`:^double[], `face`:integer[]>", 1
"coneproj", "fitted.coneproj", 0, 0, 2, "struct<`df`:double, `yhat`:^double[], `steps`:integer, `coefs`:^double[], `face`:integer[]>", 1
"coneproj", "fitted.coneproj", 1, 0, 0, "null", 1
"coneproj", "incr", -1, 0, 0, "double[]", 1
"coneproj", "incr", 0, 0, 0, "double[]", 1
"coneproj", "incr.conc", -1, 0, 0, "double[]", 1
"coneproj", "incr.conc", 0, 0, 0, "double[]", 1
"coneproj", "incr.conv", -1, 0, 0, "double[]", 1
"coneproj", "incr.conv", 0, 0, 0, "double[]", 1
"coneproj", "summary.coneproj", -1, 0, 0, "struct<`call`:language, `coefficients`:^double[], `residuals`:struct<`SSE.Linear`:double, `SSE.Full`:double>, `zcoefs`:double[]>", 1
"coneproj", "summary.coneproj", 0, 0, 0, "struct<`coefs`:double[], `constr.fit`:^double[], `linear.fit`:^double[], `se.beta`:double[], `pval`:null, `pvals.beta`:double[], `test`:logical, `SSE0`:double, `SSE1`:double, `shape`:double, `tms`:language, `zid`:integer, `vals`:character, `zid1`:double, `zid2`:double, `tnm`:character, `ynm`:character, `znms`:character, `is_param`:logical, `is_fac`:logical, `xmat`:^double[], `call`:language>", 1
"coneproj", "summary.coneproj", 0, 0, 1, "struct<`coefs`:double[], `constr.fit`:^double[], `linear.fit`:^double[], `se.beta`:double[], `pval`:double, `pvals.beta`:double[], `test`:logical, `SSE0`:double, `SSE1`:double, `shape`:double, `tms`:language, `zid`:integer, `vals`:character, `zid1`:double, `zid2`:double, `tnm`:character, `ynm`:character, `znms`:character, `is_param`:logical, `is_fac`:logical, `xmat`:^double[], `call`:language>", 1
"coneproj", "summary.coneproj", 1, 0, 0, "null", 1
