package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"conf.design", "conf.design", -1, 0, 0, "class<`data.frame`>", 1
"conf.design", "conf.design", 0, 0, 0, "class<`matrix`>", 1
"conf.design", "conf.design", 0, 0, 1, "double[]", 1
"conf.design", "conf.design", 1, 0, 0, "double", 1
"conf.design", "conf.design", 2, 0, 0, "character", 1
"conf.design", "conf.design", 3, 0, 0, "null", 1
"conf.design", "conf.set", -1, 0, 0, "class<`matrix`>", 1
"conf.design", "conf.set", 0, 0, 0, "class<`matrix`>", 1
"conf.design", "conf.set", 1, 0, 0, "double", 1
"conf.design", "direct.sum", -1, 0, 0, "class<`data.frame`>", 1
"conf.design", "direct.sum", 0, 0, 0, "class<`data.frame`>", 1
"conf.design", "direct.sum", 1, 0, 0, "...", 1
"conf.design", "direct.sum", 2, 0, 0, "character[]", 1
"conf.design", "factorize", -1, 0, 0, "(class<`data.frame`> | double[])", 1
"conf.design", "factorize", 0, 0, 0, "class<`factor`>", 1
"conf.design", "factorize", 0, 0, 1, "double", 1
"conf.design", "factorize", 1, 0, 0, "...", 1
"conf.design", "factorize.default", -1, 0, 0, "double[]", 1
"conf.design", "factorize.default", 0, 0, 0, "double", 1
"conf.design", "factorize.default", 1, 0, 0, "double[]", 1
"conf.design", "factorize.default", 2, 0, 0, "...", 1
"conf.design", "factorize.factor", -1, 0, 0, "class<`data.frame`>", 1
"conf.design", "factorize.factor", 0, 0, 0, "class<`factor`>", 1
"conf.design", "factorize.factor", 1, 0, 0, "character", 1
"conf.design", "factorize.factor", 2, 0, 0, "character[]", 1
"conf.design", "factorize.factor", 3, 0, 0, "...", 1
"conf.design", "filter", -1, 0, 0, "logical[]", 1
"conf.design", "filter", 0, 0, 0, "character[]", 1
"conf.design", "FUN", -1, 0, 0, "character[]", 1
"conf.design", "FUN", 0, 0, 0, "class<`factor`>", 1
"conf.design", "FUN", -1, 1, 0, "list<class<`factor`>>", 1
"conf.design", "FUN", 0, 1, 0, "class<`factor`>", 1
"conf.design", "FUN", -1, 2, 0, "logical", 1
"conf.design", "FUN", 0, 2, 0, "class<`data.frame`>", 1
"conf.design", "FUN", -1, 3, 0, "logical", 1
"conf.design", "FUN", 0, 3, 0, "double[]", 1
"conf.design", "join", -1, 0, 0, "class<`factor`>", 1
"conf.design", "join", 0, 0, 0, "...", 1
"conf.design", ".listMat", -1, 0, 0, "list<character[] | class<`factor`>>", 1
"conf.design", ".listMat", 0, 0, 0, "class<`matrix`>", 1
"conf.design", ".listMat", 1, 0, 0, "class<`function`>", 1
"conf.design", ".paste0", -1, 0, 0, "character[]", 1
"conf.design", ".paste0", 0, 0, 0, "...", 1
"conf.design", "primes", -1, 0, 0, "double[]", 1
"conf.design", "primes", 0, 0, 0, "double", 1
"conf.design", "primes", 0, 0, 1, "integer[]", 1
"conf.design", "rjoin", -1, 0, 0, "class<`data.frame`>", 1
"conf.design", "rjoin", 0, 0, 0, "...", 1
"conf.design", "rjoin", 1, 0, 0, "character", 1
"conf.design", ".space", -1, 0, 0, "class<`matrix`>", 1
"conf.design", ".space", 0, 0, 0, "class<`matrix`>", 1
"conf.design", ".space", 1, 0, 0, "double", 1
"conf.design", ".zf", -1, 0, 0, "character[]", 1
"conf.design", ".zf", 0, 0, 0, "integer[]", 1
