package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"corpcor", "cor2pcor", -1, 0, 0, "class<`matrix`>", 1
"corpcor", "cor2pcor", 0, 0, 0, "class<`matrix`>", 1
"corpcor", "cor2pcor", 0, 0, 1, "class<`shrinkage`>", 1
"corpcor", "cor2pcor", 1, 0, 0, "any", 1
"corpcor", "cor.shrink", -1, 0, 0, "class<`shrinkage`>", 1
"corpcor", "cor.shrink", 0, 0, 0, "class<`matrix`>", 1
"corpcor", "cor.shrink", 1, 0, 0, "any", 1
"corpcor", "cor.shrink", 2, 0, 0, "any", 1
"corpcor", "cor.shrink", 3, 0, 0, "logical", 1
"corpcor", "cov.shrink", -1, 0, 0, "class<`shrinkage`>", 1
"corpcor", "cov.shrink", 0, 0, 0, "class<`matrix`>", 1
"corpcor", "cov.shrink", 1, 0, 0, "any", 1
"corpcor", "cov.shrink", 2, 0, 0, "any", 1
"corpcor", "cov.shrink", 3, 0, 0, "any", 1
"corpcor", "cov.shrink", 4, 0, 0, "logical", 1
"corpcor", "crossprod.powcor.shrink", -1, 0, 0, "class<`shrinkage`>", 1
"corpcor", "crossprod.powcor.shrink", 0, 0, 0, "class<`matrix`>", 1
"corpcor", "crossprod.powcor.shrink", 1, 0, 0, "double[]", 1
"corpcor", "crossprod.powcor.shrink", 2, 0, 0, "double", 1
"corpcor", "crossprod.powcor.shrink", 3, 0, 0, "double", 1
"corpcor", "crossprod.powcor.shrink", 4, 0, 0, "any", 1
"corpcor", "crossprod.powcor.shrink", 5, 0, 0, "logical", 1
"corpcor", "decompose.cov", -1, 0, 0, "list<class<`matrix`> | double[]>", 1
"corpcor", "decompose.cov", 0, 0, 0, "class<`matrix`>", 1
"corpcor", "decompose.invcov", -1, 0, 0, "list<class<`matrix`> | double[]>", 1
"corpcor", "decompose.invcov", 0, 0, 0, "class<`matrix`>", 1
"corpcor", "estimate.lambda", -1, 0, 0, "double", 1
"corpcor", "estimate.lambda", 0, 0, 0, "class<`matrix`>", 1
"corpcor", "estimate.lambda", 1, 0, 0, "any", 1
"corpcor", "estimate.lambda", 2, 0, 0, "logical", 1
"corpcor", "estimate.lambda.var", -1, 0, 0, "double", 1
"corpcor", "estimate.lambda.var", 0, 0, 0, "class<`matrix`>", 1
"corpcor", "estimate.lambda.var", 1, 0, 0, "any", 1
"corpcor", "estimate.lambda.var", 2, 0, 0, "logical", 1
"corpcor", "fast.svd", -1, 0, 0, "list<double[] | class<`matrix`>>", 1
"corpcor", "fast.svd", -1, 0, 1, "list<double | class<`matrix`>>", 1
"corpcor", "fast.svd", 0, 0, 0, "class<`matrix`>", 1
"corpcor", "fast.svd", 0, 0, 1, "class<`shrinkage`>", 1
"corpcor", "fast.svd", 1, 0, 0, "any", 1
"corpcor", "invcor.shrink", -1, 0, 0, "class<`shrinkage`>", 1
"corpcor", "invcor.shrink", 0, 0, 0, "class<`matrix`>", 1
"corpcor", "invcor.shrink", 1, 0, 0, "any", 1
"corpcor", "invcor.shrink", 2, 0, 0, "any", 1
"corpcor", "invcor.shrink", 3, 0, 0, "logical", 1
"corpcor", "invcov.shrink", -1, 0, 0, "class<`shrinkage`>", 1
"corpcor", "invcov.shrink", 0, 0, 0, "class<`matrix`>", 1
"corpcor", "invcov.shrink", 1, 0, 0, "any", 1
"corpcor", "invcov.shrink", 2, 0, 0, "any", 1
"corpcor", "invcov.shrink", 3, 0, 0, "any", 1
"corpcor", "invcov.shrink", 4, 0, 0, "logical", 1
"corpcor", "is.positive.definite", -1, 0, 0, "logical", 1
"corpcor", "is.positive.definite", 0, 0, 0, "class<`matrix`>", 1
"corpcor", "is.positive.definite", 0, 0, 1, "class<`shrinkage`>", 1
"corpcor", "is.positive.definite", 1, 0, 0, "any", 1
"corpcor", "is.positive.definite", 2, 0, 0, "character[]", 1
"corpcor", "make.positive.definite", -1, 0, 0, "class<`matrix`>", 1
"corpcor", "make.positive.definite", 0, 0, 0, "class<`matrix`>", 1
"corpcor", "make.positive.definite", 1, 0, 0, "any", 1
"corpcor", "mpower", -1, 0, 0, "class<`matrix`>", 1
"corpcor", "mpower", 0, 0, 0, "class<`matrix`>", 1
"corpcor", "mpower", 0, 0, 1, "class<`shrinkage`>", 1
"corpcor", "mpower", 1, 0, 0, "double", 1
"corpcor", "mpower", 2, 0, 0, "logical", 1
"corpcor", "mpower", 3, 0, 0, "any", 1
"corpcor", "nsmall.svd", -1, 0, 0, "list<double[] | class<`matrix`>>", 1
"corpcor", "nsmall.svd", 0, 0, 0, "class<`matrix`>", 1
"corpcor", "nsmall.svd", 1, 0, 0, "any", 1
"corpcor", "pcor2cor", -1, 0, 0, "class<`matrix`>", 1
"corpcor", "pcor2cor", 0, 0, 0, "class<`matrix`>", 1
"corpcor", "pcor2cor", 1, 0, 0, "any", 1
"corpcor", "pcor.shrink", -1, 0, 0, "class<`shrinkage`>", 1
"corpcor", "pcor.shrink", 0, 0, 0, "class<`matrix`>", 1
"corpcor", "pcor.shrink", 1, 0, 0, "any", 1
