package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"corrplot", "colorlegend", -1, 0, 0, "null", 1
"corrplot", "colorlegend", 0, 0, 0, "character[]", 1
"corrplot", "colorlegend", 1, 0, 0, "character[]", 1
"corrplot", "colorlegend", 1, 0, 1, "double[]", 1
"corrplot", "colorlegend", 2, 0, 0, "double[]", 1
"corrplot", "colorlegend", 2, 0, 1, "null", 1
"corrplot", "colorlegend", 3, 0, 0, "double[]", 1
"corrplot", "colorlegend", 4, 0, 0, "double[]", 1
"corrplot", "colorlegend", 5, 0, 0, "logical", 1
"corrplot", "colorlegend", 6, 0, 0, "double", 1
"corrplot", "colorlegend", 7, 0, 0, "character", 1
"corrplot", "colorlegend", 7, 0, 1, "double[]", 1
"corrplot", "colorlegend", 8, 0, 0, "character[]", 1
"corrplot", "colorlegend", 9, 0, 0, "logical", 1
"corrplot", "colorlegend", 10, 0, 0, "...", 1
"corrplot", "cor.mtest", -1, 0, 0, "list<class<`matrix`>>", 1
"corrplot", "cor.mtest", 0, 0, 0, "class<`data.frame`>", 1
"corrplot", "cor.mtest", 1, 0, 0, "...", 1
"corrplot", "corrMatOrder", -1, 0, 0, "character[]", 1
"corrplot", "corrMatOrder", -1, 0, 1, "integer[]", 1
"corrplot", "corrMatOrder", 0, 0, 0, "class<`matrix`>", 1
"corrplot", "corrMatOrder", 1, 0, 0, "character", 1
"corrplot", "corrMatOrder", 2, 0, 0, "character[]", 1
"corrplot", "corrplot", -1, 0, 0, "class<`matrix`>", 1
"corrplot", "corrplot", 0, 0, 0, "class<`matrix`>", 1
"corrplot", "corrplot", 1, 0, 0, "character[]", 1
"corrplot", "corrplot", 2, 0, 0, "character[]", 1
"corrplot", "corrplot", 3, 0, 0, "logical", 1
"corrplot", "corrplot", 4, 0, 0, "null", 1
"corrplot", "corrplot", 4, 0, 1, "character[]", 1
"corrplot", "corrplot", 5, 0, 0, "character", 1
"corrplot", "corrplot", 6, 0, 0, "character", 1
"corrplot", "corrplot", 6, 0, 1, "class<`call`>", 1
"corrplot", "corrplot", 7, 0, 0, "logical", 1
"corrplot", "corrplot", 8, 0, 0, "logical", 1
"corrplot", "corrplot", 9, 0, 0, "logical", 1
"corrplot", "corrplot", 10, 0, 0, "double[]", 1
"corrplot", "corrplot", 11, 0, 0, "null", 1
"corrplot", "corrplot", 11, 0, 1, "character", 1
"corrplot", "corrplot", 12, 0, 0, "null", 1
"corrplot", "corrplot", 12, 0, 1, "character", 1
"corrplot", "corrplot", 13, 0, 0, "logical", 1
"corrplot", "corrplot", 14, 0, 0, "character[]", 1
"corrplot", "corrplot", 15, 0, 0, "character[]", 1
"corrplot", "corrplot.mixed", -1, 0, 0, "class<`matrix`>", 1
"corrplot", "corrplot.mixed", 0, 0, 0, "class<`matrix`>", 1
"corrplot", "corrplot.mixed", 1, 0, 0, "character", 1
"corrplot", "corrplot.mixed", 2, 0, 0, "character", 1
"corrplot", "corrplot.mixed", 3, 0, 0, "character[]", 1
"corrplot", "corrplot.mixed", 4, 0, 0, "character[]", 1
"corrplot", "corrplot.mixed", 5, 0, 0, "character", 1
"corrplot", "corrplot.mixed", 6, 0, 0, "character", 1
"corrplot", "corrplot.mixed", 7, 0, 0, "character", 1
"corrplot", "corrplot.mixed", 7, 0, 1, "null", 1
"corrplot", "corrplot.mixed", 8, 0, 0, "null", 1
"corrplot", "corrplot.mixed", 9, 0, 0, "character[]", 1
"corrplot", "corrplot.mixed", 10, 0, 0, "double[]", 1
"corrplot", "corrplot.mixed", 11, 0, 0, "...", 1
"corrplot", "corrRect", -1, 0, 0, "null", 1
"corrplot", "corrRect", 0, 0, 0, "double[]", 1
"corrplot", "corrRect", 1, 0, 0, "character", 1
"corrplot", "corrRect", 2, 0, 0, "double", 1
"corrplot", "corrRect.hclust", -1, 0, 0, "null", 1
"corrplot", "corrRect.hclust", 0, 0, 0, "class<`matrix`>", 1
"corrplot", "corrRect.hclust", 1, 0, 0, "double", 1
"corrplot", "corrRect.hclust", 2, 0, 0, "character", 1
"corrplot", "corrRect.hclust", 3, 0, 0, "double", 1
"corrplot", "corrRect.hclust", 4, 0, 0, "character[]", 1
"corrplot", "draw_grid", -1, 0, 0, "null", 1
"corrplot", "draw_grid", 0, 0, 0, "class<`matrix`>", 1
"corrplot", "draw_grid", 1, 0, 0, "character", 1
"corrplot", "draw_grid", 1, 0, 1, "null", 1
"corrplot", "draw_method_color", -1, 0, 0, "null", 1
"corrplot", "draw_method_color", 0, 0, 0, "class<`matrix`>", 1
"corrplot", "draw_method_color", 1, 0, 0, "character[]", 1
"corrplot", "draw_method_color", 2, 0, 0, "character[]", 1
"corrplot", "draw_method_square", -1, 0, 0, "null", 1
"corrplot", "draw_method_square", 0, 0, 0, "class<`matrix`>", 1
"corrplot", "draw_method_square", 1, 0, 0, "double[]", 1
"corrplot", "draw_method_square", 2, 0, 0, "double", 1
"corrplot", "draw_method_square", 3, 0, 0, "character[]", 1
"corrplot", "draw_method_square", 4, 0, 0, "character[]", 1
"corrplot", "reorder_using_aoe", -1, 0, 0, "integer[]", 1
"corrplot", "reorder_using_aoe", 0, 0, 0, "class<`matrix`>", 1
"corrplot", "reorder_using_fpc", -1, 0, 0, "integer[]", 1
"corrplot", "reorder_using_fpc", 0, 0, 0, "class<`matrix`>", 1
"corrplot", "reorder_using_hclust", -1, 0, 0, "integer[]", 1
"corrplot", "reorder_using_hclust", 0, 0, 0, "class<`matrix`>", 1
"corrplot", "reorder_using_hclust", 1, 0, 0, "character", 1
