package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"coxme", "coxme", -1, 0, 0, "class<`coxme`>", 1
"coxme", "coxme", 0, 0, 0, "class<`formula`>", 1
"coxme", "coxme", 1, 0, 0, "any", 1
"coxme", "coxme", 2, 0, 0, "any", 1
"coxme", "coxme", 3, 0, 0, "any", 1
"coxme", "coxme", 4, 0, 0, "any", 1
"coxme", "coxme", 5, 0, 0, "any", 1
"coxme", "coxme", 6, 0, 0, "any", 1
"coxme", "coxme", 7, 0, 0, "character[]", 1
"coxme", "coxme", 8, 0, 0, "any", 1
"coxme", "coxme", 9, 0, 0, "any", 1
"coxme", "coxme", 10, 0, 0, "any", 1
"coxme", "coxme", 11, 0, 0, "logical", 1
"coxme", "coxme", 12, 0, 0, "logical", 1
"coxme", "coxme", 13, 0, 0, "double", 1
"coxme", "coxme", 14, 0, 0, "any", 1
"coxme", "coxme", 15, 0, 0, "any", 1
"coxme", "coxme", 16, 0, 0, "any", 1
"coxme", "coxme", 17, 0, 0, "...", 1
"coxme", "coxme.control", -1, 0, 0, "list<any>", 1
"coxme", "coxme.control", 0, 0, 0, "double", 1
"coxme", "coxme.control", 1, 0, 0, "double", 1
"coxme", "coxme.control", 2, 0, 0, "double", 1
"coxme", "coxme.control", 3, 0, 0, "class<`call`>", 1
"coxme", "coxme.control", 4, 0, 0, "double", 1
"coxme", "coxme.control", 4, 0, 1, "null", 1
"coxme", "coxme.control", 5, 0, 0, "list<character | list<double>>", 1
"coxme", "coxme.control", 6, 0, 0, "double", 1
"coxme", "coxme.control", 7, 0, 0, "logical", 1
"coxme", "coxme.control", 8, 0, 0, "character", 1
"coxme", "coxme.control", 9, 0, 0, "double[]", 1
"coxme", "coxme.control", 10, 0, 0, "double[]", 1
"coxme", "coxme.control", 11, 0, 0, "double[]", 1
"coxme", "coxme.fit", -1, 0, 0, "list<any>", 1
"coxme", "coxme.fit", 0, 0, 0, "class<`matrix`>", 1
"coxme", "coxme.fit", 1, 0, 0, "class<`Surv`>", 1
"coxme", "coxme.fit", 2, 0, 0, "null", 1
"coxme", "coxme.fit", 2, 0, 1, "double[]", 1
"coxme", "coxme.fit", 3, 0, 0, "double[]", 1
"coxme", "coxme.fit", 4, 0, 0, "null", 1
"coxme", "coxme.fit", 4, 0, 1, "double[]", 1
"coxme", "coxme.fit", 5, 0, 0, "list<any>", 1
"coxme", "coxme.fit", 6, 0, 0, "double[]", 1
"coxme", "coxme.fit", 7, 0, 0, "character", 1
"coxme", "coxme.fit", 8, 0, 0, "any", 1
"coxme", "coxme.fit", 9, 0, 0, "class<`matrix`>", 1
"coxme", "coxme.fit", 10, 0, 0, "class<`matrix`>", 1
"coxme", "coxme.fit", 11, 0, 0, "list<class<`coxmevar`>>", 1
"coxme", "coxme.fit", 12, 0, 0, "list<list<any>>", 1
"coxme", "coxme.fit", 13, 0, 0, "double[]", 1
"coxme", "coxme.fit", 13, 0, 1, "null", 1
"coxme", "coxme.fit", 13, 0, 2, "list<any>", 1
"coxme", "coxme.fit", 14, 0, 0, "integer[]", 1
"coxme", "coxme.fit", 15, 0, 0, "class<`matrix`>", 1
"coxme", "coxme.fit", 16, 0, 0, "double", 1
"coxme", "coxme.fit", 17, 0, 0, "logical", 1
"coxme", "coxmeFull", -1, 0, 0, "class<`coxmevar`>", 1
"coxme", "coxmeFull", 0, 0, 0, "logical", 1
"coxme", "coxmeMlist", -1, 0, 0, "class<`coxmevar`>", 1
"coxme", "coxmeMlist", 0, 0, 0, "class<`dsCMatrix`>", 1
"coxme", "coxmeMlist", 0, 0, 1, "class<`matrix`>", 1
"coxme", "coxmeMlist", 0, 0, 2, "list<any>", 1
"coxme", "coxmeMlist", 1, 0, 0, "logical", 1
"coxme", "coxmeMlist", 2, 0, 0, "logical", 1
"coxme", "coxmeMlist", 3, 0, 0, "logical", 1
