package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"data.tree", ".parentSeparator", -1, 0, 0, "character", 1
"data.tree", ".parentSeparator", 0, 0, 0, "environment", 1
"data.tree", ".Prune", -1, 0, 0, "null", 1
"data.tree", ".Prune", 0, 0, 0, "environment", 1
"data.tree", ".Prune", 1, 0, 0, "any => any", 1
"data.tree", ".Prune", 2, 0, 0, "logical", 1
"data.tree", ".subset2", -1, 0, 0, "environment", 1
"data.tree", ".subset2", 0, 0, 0, "character", 1
"data.tree", ".subset2", 0, 0, 1, "integer", 1
"data.tree", ".subset2", 1, 0, 0, "character[]", 1
"data.tree", ".subset2", 1, 0, 1, "logical", 1
"data.tree", ".subset2", 2, 0, 0, "null", 1
"data.tree", ".subset2", 2, 0, 1, "double[]", 1
"data.tree", "$", -1, 0, 0, "null", 1
"data.tree", "$", 0, 0, 0, "character[]", 1
"data.tree", "$", 0, 0, 1, "double[]", 1
"data.tree", "$", 0, 0, 2, "any => any", 1
"data.tree", "$", 0, 0, 3, "environment", 1
"data.tree", "$", 1, 0, 0, "character[]", 1
"data.tree", "$", 1, 0, 1, "null", 1
"data.tree", "$", 1, 0, 2, "logical", 1
"data.tree", "$", 2, 0, 0, "null", 1
"data.tree", "$", 2, 0, 1, "character[]", 1
"data.tree", "$", 2, 0, 2, "null", 1
"data.tree", "$", 3, 0, 0, "null", 1
"data.tree", "$", 3, 0, 1, "any => any", 1
"data.tree", "$", 4, 0, 0, "null", 1
"data.tree", "$", 4, 0, 1, "any => any", 1
"data.tree", "$", 5, 0, 0, "logical", 1
"data.tree", "$", 5, 0, 1, "any => any", 1
"data.tree", "$", 6, 0, 0, "logical", 1
"data.tree", "$", 7, 0, 0, "character[]", 1
"data.tree", "$", 7, 0, 1, "logical", 1
