package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"dbscan", "::", -1, 0, 0, "struct<`dist`:^double[], `id`:^integer[], `k`:integer, `sort`:logical>", 1
"dbscan", "::", 0, 0, 0, "^double[]", 1
"dbscan", "::", 1, 0, 0, "double", 1
"dbscan", "::", 2, 0, 0, "logical", 1
"dbscan", "::", 3, 0, 0, "character", 1
"dbscan", "::", 3, 0, 1, "integer", 1
"dbscan", "::", 4, 0, 0, "double", 1
"dbscan", "::", 5, 0, 0, "character", 1
"dbscan", "::", 5, 0, 1, "integer[]", 1
"dbscan", "::", 6, 0, 0, "double", 1
"dbscan", ".predict_frNN", -1, 0, 0, "integer[]", 1
"dbscan", ".predict_frNN", 0, 0, 0, "^double[]", 1
"dbscan", ".predict_frNN", 1, 0, 0, "^double[]", 1
"dbscan", ".predict_frNN", 2, 0, 0, "integer[]", 1
"dbscan", ".predict_frNN", 3, 0, 0, "double", 1
"dbscan", ".predict_frNN", 4, 0, 0, "null", 1
"dbscan", "adjacencylist.frNN", -1, 0, 0, "list<integer[]>", 1
"dbscan", "adjacencylist.frNN", 0, 0, 0, "struct<`dist`:list<double[]>, `id`:list<integer[]>, `eps`:double, `sort`:logical>", 1
"dbscan", "adjacencylist.frNN", 1, 0, 0, "null", 1
"dbscan", "adjacencylist.kNN", -1, 0, 0, "list<integer[]>", 1
"dbscan", "adjacencylist.kNN", 0, 0, 0, "struct<`dist`:^double[], `id`:^integer[], `k`:integer, `sort`:logical>", 1
"dbscan", "adjacencylist.kNN", 1, 0, 0, "null", 1
"dbscan", "all_children", -1, 0, 0, "integer[]", 1
"dbscan", "all_children", 0, 0, 0, "struct<`0`:integer[], `2`:integer[], `4`:integer[], `5`:integer[], `6`:integer[]>", 1
"dbscan", "all_children", 1, 0, 0, "double", 1
"dbscan", "all_children", 2, 0, 0, "logical", 1
"dbscan", "computeStability", -1, 0, 0, "struct<`10`:struct<`contains`:integer[], `eps`:double[], `eps_birth`:double, `eps_death`:double, `stability`:double, `n_children`:integer>, `7`:struct<`contains`:integer[], `eps`:double[], `eps_birth`:double, `eps_death`:double, `stability`:double, `n_children`:integer>, `6`:struct<`contains`:integer[], `eps`:double[], `eps_birth`:double, `eps_death`:double, `stability`:double, `n_children`:integer>, `8`:struct<`contains`:integer[], `eps`:double[], `eps_birth`:double, `eps_death`:double, `stability`:double, `n_children`:integer>, `5`:struct<`contains`:integer[], `eps`:double[], `eps_birth`:double, `eps_death`:double, `stability`:double, `n_children`:integer>, `0`:struct<`contains`:integer[], `eps`:double[], `eps_birth`:double, `eps_death`:double, `stability`:double, `n_children`:integer>, `9`:struct<`contains`:integer[], `eps`:double[], `eps_birth`:double, `eps_death`:double, `stability`:double, `n_children`:integer>, `4`:struct<`contains`:integer[], `eps`:double[], `eps_birth`:double, `eps_death`:double, `stability`:double, `n_children`:integer>, `1`:struct<`contains`:integer[], `eps`:double[], `eps_birth`:double, `eps_death`:double, `stability`:double, `n_children`:integer>, `2`:struct<`contains`:integer[], `eps`:double[], `eps_birth`:double, `eps_death`:double, `stability`:double, `n_children`:integer>, `3`:struct<`contains`:integer[], `eps`:double[], `eps_birth`:double, `eps_death`:double, `stability`:double, `n_children`:integer>>", 1
"dbscan", "computeStability", 0, 0, 0, "struct<`merge`:^integer[], `height`:double[], `order`:integer[], `labels`:null, `method`:character, `dist.method`:character>", 1
"dbscan", "computeStability", 1, 0, 0, "double", 1
"dbscan", "computeStability", 2, 0, 0, "logical", 1
"dbscan", "dbscan", -1, 0, 0, "struct<`cluster`:integer[], `eps`:double, `minPts`:double>", 1
"dbscan", "dbscan", 0, 0, 0, "^double[]", 1
"dbscan", "dbscan", 0, 0, 1, "struct<`dist`:list<double[]>, `id`:list<integer[]>, `eps`:double, `sort`:logical>", 1
"dbscan", "dbscan", 0, 0, 2, "struct<`ids`:tuple<double[], double[], double[], double[], double[]>, `eps`:double>", 1
"dbscan", "dbscan", 1, 0, 0, "double", 1
"dbscan", "dbscan", 1, 0, 1, "null", 1
"dbscan", "dbscan", 2, 0, 0, "double", 1
"dbscan", "dbscan", 3, 0, 0, "null", 1
"dbscan", "dbscan", 4, 0, 0, "logical", 1
"dbscan", "dbscan", 5, 0, 0, "null", 1
"dbscan", "dbscan_density_int", -1, 0, 0, "integer[]", 1
"dbscan", "dbscan_density_int", 0, 0, 0, "^double[]", 1
"dbscan", "dbscan_density_int", 1, 0, 0, "double", 1
"dbscan", "dbscan_density_int", 2, 0, 0, "integer", 1
"dbscan", "dbscan_density_int", 3, 0, 0, "integer", 1
"dbscan", "dbscan_density_int", 4, 0, 0, "integer", 1
"dbscan", "dbscan_density_int", 5, 0, 0, "double", 1
"dbscan", "dbscan_int", -1, 0, 0, "integer[]", 1
"dbscan", "dbscan_int", 0, 0, 0, "^double[]", 1
"dbscan", "dbscan_int", 1, 0, 0, "double", 1
"dbscan", "dbscan_int", 2, 0, 0, "integer", 1
"dbscan", "dbscan_int", 3, 0, 0, "double[]", 1
"dbscan", "dbscan_int", 4, 0, 0, "integer", 1
"dbscan", "dbscan_int", 5, 0, 0, "integer", 1
"dbscan", "dbscan_int", 6, 0, 0, "integer", 1
"dbscan", "dbscan_int", 7, 0, 0, "integer", 1
"dbscan", "dbscan_int", 8, 0, 0, "double", 1
"dbscan", "dbscan_int", 9, 0, 0, "tuple<>", 1
"dbscan", "dbscan_int", 9, 0, 1, "tuple<double[], double[], double[], double[], double[]>", 1
"dbscan", "dbscan_int", 9, 0, 2, "list<integer[]>", 1
