package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"deldir", "[.tile.list", -1, 0, 0, "list<struct<`ptNum`:integer, `pt`:double[], `x`:double[], `y`:double[], `bp`:logical[], `area`:double>>", 1
"deldir", "[.tile.list", 0, 0, 0, "list<struct<`ptNum`:integer, `pt`:double[], `x`:double[], `y`:double[], `bp`:logical[], `area`:double>>", 1
"deldir", "[.tile.list", 1, 0, 0, "double[]", 1
"deldir", "[.tile.list", 2, 0, 0, "null", 1
"deldir", "acw", -1, 0, 0, "struct<`ptNum`:integer, `pt`:double[], `x`:double[], `y`:double[], `bp`:logical[], `area`:double>", 1
"deldir", "acw", 0, 0, 0, "struct<`ptNum`:integer, `pt`:double[], `x`:double[], `y`:double[], `bp`:logical[], `area`:double>", 1
"deldir", "binsrtR", -1, 0, 0, "struct<`x`:double[], `y`:double[], `ind`:integer[], `rind`:integer[]>", 1
"deldir", "binsrtR", 0, 0, 0, "double[]", 1
"deldir", "binsrtR", 1, 0, 0, "double[]", 1
"deldir", "binsrtR", 2, 0, 0, "double[]", 1
"deldir", "divchain.default", -1, 0, 0, "struct<`x0`:double[], `y0`:double[], `x1`:double[], `y1`:double[], `v01`:double[], `v02`:double[], `v03`:double[], `v11`:double[], `v12`:double[], `v13`:double[]>", 1
"deldir", "divchain.default", 0, 0, 0, "double[]", 1
"deldir", "divchain.default", 1, 0, 0, "double[]", 1
"deldir", "divchain.default", 2, 0, 0, "integer[]", 1
"deldir", "divchain.default", 3, 0, 0, "double[]", 1
"deldir", "divchain.deldir", -1, 0, 0, "struct<`x0`:double[], `y0`:double[], `x1`:double[], `y1`:double[], `v01`:double[], `v02`:double[], `v03`:double[], `v11`:double[], `v12`:double[], `v13`:double[]>", 1
