package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"desc", ".subset2", -1, 0, 0, "environment", 1
"desc", ".subset2", 0, 0, 0, "null", 1
"desc", ".subset2", 0, 0, 1, "character", 1
"desc", ".subset2", 1, 0, 0, "null", 1
"desc", ".subset2", 1, 0, 1, "symbol", 1
"desc", ".subset2", 1, 0, 2, "character", 1
"desc", ".subset2", 2, 0, 0, "null", 1
"desc", ".subset2", 3, 0, 0, "null", 1
"desc", ".subset2", 3, 0, 1, "character", 1
"desc", "$", -1, 0, 0, "environment", 1
"desc", "$", 0, 0, 0, "character", 1
