package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"dfoptim", "f", -1, 0, 0, "double", 1
"dfoptim", "f", 0, 0, 0, "double[]", 1
"dfoptim", "filter", -1, 0, 0, "logical[]", 1
"dfoptim", "filter", 0, 0, 0, "character[]", 1
"dfoptim", "fnm", -1, 0, 0, "double", 1
"dfoptim", "fnm", 0, 0, 0, "double[]", 1
"dfoptim", "fnm", 1, 0, 0, "...", 1
"dfoptim", "fnmb", -1, 0, 0, "double", 1
"dfoptim", "fnmb", 0, 0, 0, "double[]", 1
"dfoptim", "g", -1, 0, 0, "double[]", 1
"dfoptim", "g", 0, 0, 0, "double[]", 1
"dfoptim", "ginv", -1, 0, 0, "double[]", 1
"dfoptim", "ginv", 0, 0, 0, "double[]", 1
"dfoptim", ".hjbexplore", -1, 0, 0, "list<double[]>", 1
"dfoptim", ".hjbexplore", 0, 0, 0, "double[]", 1
"dfoptim", ".hjbexplore", 1, 0, 0, "double[]", 1
"dfoptim", ".hjbexplore", 2, 0, 0, "class<`function`>", 1
"dfoptim", ".hjbexplore", 3, 0, 0, "double[]", 1
"dfoptim", ".hjbexplore", 4, 0, 0, "double[]", 1
"dfoptim", ".hjbexplore", 5, 0, 0, "double", 1
"dfoptim", ".hjbexplore", 6, 0, 0, "class<`matrix`>", 1
"dfoptim", ".hjbexplore", 7, 0, 0, "any", 1
"dfoptim", ".hjbsearch", -1, 0, 0, "list<double[]>", 1
"dfoptim", ".hjbsearch", 0, 0, 0, "double[]", 1
"dfoptim", ".hjbsearch", 1, 0, 0, "class<`function`>", 1
"dfoptim", ".hjbsearch", 2, 0, 0, "double[]", 1
"dfoptim", ".hjbsearch", 3, 0, 0, "double[]", 1
"dfoptim", ".hjbsearch", 4, 0, 0, "double", 1
"dfoptim", ".hjbsearch", 5, 0, 0, "class<`matrix`>", 1
"dfoptim", ".hjbsearch", 6, 0, 0, "any", 1
"dfoptim", ".hjbsearch", 7, 0, 0, "any", 1
"dfoptim", ".hjbsearch", 8, 0, 0, "any", 1
"dfoptim", ".hjexplore", -1, 0, 0, "list<double[]>", 1
"dfoptim", ".hjexplore", 0, 0, 0, "double[]", 1
"dfoptim", ".hjexplore", 1, 0, 0, "double[]", 1
"dfoptim", ".hjexplore", 2, 0, 0, "class<`function`>", 1
"dfoptim", ".hjexplore", 3, 0, 0, "double", 1
"dfoptim", ".hjexplore", 4, 0, 0, "class<`matrix`>", 1
"dfoptim", ".hjexplore", 5, 0, 0, "any", 1
"dfoptim", "hjk", -1, 0, 0, "list<double[]>", 1
"dfoptim", "hjk", 0, 0, 0, "double[]", 1
"dfoptim", "hjk", 1, 0, 0, "class<`function`>", 1
"dfoptim", "hjk", 2, 0, 0, "list<any>", 1
"dfoptim", "hjk", 3, 0, 0, "...", 1
"dfoptim", "hjkb", -1, 0, 0, "list<double[]>", 1
"dfoptim", "hjkb", 0, 0, 0, "double[]", 1
"dfoptim", "hjkb", 1, 0, 0, "class<`function`>", 1
"dfoptim", "hjkb", 2, 0, 0, "double", 1
"dfoptim", "hjkb", 3, 0, 0, "double", 1
"dfoptim", "hjkb", 4, 0, 0, "list<any>", 1
"dfoptim", "hjkb", 5, 0, 0, "...", 1
"dfoptim", ".hjsearch", -1, 0, 0, "list<double[]>", 1
"dfoptim", ".hjsearch", 0, 0, 0, "double[]", 1
"dfoptim", ".hjsearch", 1, 0, 0, "class<`function`>", 1
"dfoptim", ".hjsearch", 2, 0, 0, "double", 1
"dfoptim", ".hjsearch", 3, 0, 0, "class<`matrix`>", 1
"dfoptim", ".hjsearch", 4, 0, 0, "any", 1
"dfoptim", ".hjsearch", 5, 0, 0, "any", 1
"dfoptim", ".hjsearch", 6, 0, 0, "any", 1
"dfoptim", "nmk", -1, 0, 0, "list<double[] | character>", 1
"dfoptim", "nmk", 0, 0, 0, "double[]", 1
"dfoptim", "nmk", 1, 0, 0, "class<`function`>", 1
"dfoptim", "nmk", 2, 0, 0, "list<any>", 1
"dfoptim", "nmk", 3, 0, 0, "...", 1
"dfoptim", "nmkb", -1, 0, 0, "list<double[] | character>", 1
"dfoptim", "nmkb", 0, 0, 0, "double[]", 1
"dfoptim", "nmkb", 1, 0, 0, "class<`function`>", 1
"dfoptim", "nmkb", 2, 0, 0, "double[]", 1
"dfoptim", "nmkb", 3, 0, 0, "double", 1
"dfoptim", "nmkb", 4, 0, 0, "list<any>", 1
"dfoptim", "nmkb", 5, 0, 0, "...", 1
