package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"diagram", "bentarrow", -1, 0, 0, "^double[]", 1
"diagram", "bentarrow", 0, 0, 0, "double[]", 1
"diagram", "bentarrow", 1, 0, 0, "double[]", 1
"diagram", "bentarrow", 2, 0, 0, "double", 1
"diagram", "bentarrow", 3, 0, 0, "double", 1
"diagram", "bentarrow", 4, 0, 0, "character", 1
"diagram", "bentarrow", 4, 0, 1, "double", 1
"diagram", "bentarrow", 5, 0, 0, "character", 1
"diagram", "bentarrow", 5, 0, 1, "double", 1
"diagram", "bentarrow", 6, 0, 0, "double", 1
"diagram", "bentarrow", 6, 0, 1, "integer[]", 1
"diagram", "bentarrow", 7, 0, 0, "double", 1
"diagram", "bentarrow", 8, 0, 0, "character", 1
"diagram", "bentarrow", 9, 0, 0, "character", 1
"diagram", "bentarrow", 9, 0, 1, "double", 1
"diagram", "bentarrow", 9, 0, 2, "null", 1
"diagram", "circle", -1, 0, 0, "null", 1
"diagram", "circle", 0, 0, 0, "integer", 1
"diagram", "circle", 1, 0, 0, "double", 1
"diagram", "circle", 2, 0, 0, "character", 1
"diagram", "coordinates", -1, 0, 0, "^double[]", 1
"diagram", "coordinates", 0, 0, 0, "null", 1
"diagram", "coordinates", 0, 0, 1, "^double[]", 1
"diagram", "coordinates", 1, 0, 0, "double", 1
"diagram", "coordinates", 2, 0, 0, "double", 1
"diagram", "coordinates", 3, 0, 0, "double", 1
"diagram", "coordinates", 4, 0, 0, "logical", 1
"diagram", "coordinates", 5, 0, 0, "double", 1
"diagram", "curvedarrow", -1, 0, 0, "double[]", 1
"diagram", "curvedarrow", 0, 0, 0, "double[]", 1
"diagram", "curvedarrow", 1, 0, 0, "double[]", 1
"diagram", "curvedarrow", 2, 0, 0, "double", 1
"diagram", "curvedarrow", 3, 0, 0, "double", 1
"diagram", "curvedarrow", 4, 0, 0, "character", 1
"diagram", "curvedarrow", 4, 0, 1, "double", 1
"diagram", "curvedarrow", 5, 0, 0, "character", 1
"diagram", "curvedarrow", 5, 0, 1, "double", 1
"diagram", "curvedarrow", 6, 0, 0, "double", 1
"diagram", "curvedarrow", 7, 0, 0, "double", 1
"diagram", "curvedarrow", 8, 0, 0, "double", 1
"diagram", "curvedarrow", 9, 0, 0, "logical", 1
"diagram", "curvedarrow", 10, 0, 0, "double[]", 1
"diagram", "curvedarrow", 11, 0, 0, "double", 1
"diagram", "curvedarrow", 11, 0, 1, "null", 1
"diagram", "en.Amplifier", -1, 0, 0, "null", 1
"diagram", "en.Amplifier", 0, 0, 0, "double[]", 1
"diagram", "en.Amplifier", 1, 0, 0, "double", 1
"diagram", "en.Amplifier", 2, 0, 0, "null", 1
"diagram", "en.Amplifier", 3, 0, 0, "double", 1
"diagram", "en.Amplifier", 3, 0, 1, "symbol", 1
"diagram", "en.Amplifier", 4, 0, 0, "double", 1
"diagram", "en.Amplifier", 4, 0, 1, "symbol", 1
"diagram", "en.Amplifier", 5, 0, 0, "null", 1
"diagram", "en.Capacitator", -1, 0, 0, "null", 1
"diagram", "en.Capacitator", 0, 0, 0, "double[]", 1
"diagram", "en.Capacitator", 1, 0, 0, "double", 1
"diagram", "en.Capacitator", 2, 0, 0, "double", 1
"diagram", "en.Capacitator", 3, 0, 0, "null", 1
"diagram", "en.Capacitator", 3, 0, 1, "character", 1
"diagram", "en.Capacitator", 4, 0, 0, "double", 1
"diagram", "en.Capacitator", 5, 0, 0, "double", 1
"diagram", "en.Capacitator", 6, 0, 0, "logical", 1
"diagram", "en.Capacitator", 7, 0, 0, "null", 1
"diagram", "en.Ground", -1, 0, 0, "null", 1
"diagram", "en.Ground", 0, 0, 0, "double[]", 1
"diagram", "en.Ground", 1, 0, 0, "double", 1
"diagram", "en.Ground", 2, 0, 0, "double", 1
"diagram", "en.Ground", 3, 0, 0, "double", 1
"diagram", "en.Ground", 4, 0, 0, "double", 1
"diagram", "en.Ground", 5, 0, 0, "null", 1
"diagram", "en.Node", -1, 0, 0, "null", 1
"diagram", "en.Node", 0, 0, 0, "double[]", 1
"diagram", "en.Node", 1, 0, 0, "double", 1
"diagram", "en.Node", 2, 0, 0, "character", 1
"diagram", "en.Node", 3, 0, 0, "double", 1
"diagram", "en.Node", 4, 0, 0, "double", 1
