package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"diptest", "aLine", -1, 0, 0, "null", 1
"diptest", "aLine", 0, 0, 0, "class<`dip`>", 1
"diptest", "aLine", 1, 0, 0, "character", 1
"diptest", "aLine", 2, 0, 0, "character", 1
"diptest", "aLine", 3, 0, 0, "character", 1
"diptest", "aLine", 4, 0, 0, "double", 1
"diptest", "aLine", 5, 0, 0, "...", 1
"diptest", "dip", -1, 0, 0, "class<`dip`>", 1
"diptest", "dip", -1, 0, 1, "double", 1
"diptest", "dip", 0, 0, 0, "double[]", 1
"diptest", "dip", 1, 0, 0, "character", 1
"diptest", "dip", 1, 0, 1, "logical", 1
"diptest", "dip", 2, 0, 0, "logical", 1
"diptest", "dip", 3, 0, 0, "double", 1
"diptest", "dip.test", -1, 0, 0, "class<`htest`>", 1
"diptest", "dip.test", 0, 0, 0, "double[]", 1
"diptest", "dip.test", 1, 0, 0, "logical", 1
"diptest", "dip.test", 2, 0, 0, "double", 1
"diptest", "getCM", -1, 0, 0, "list<integer[]>", 1
"diptest", "getCM", 0, 0, 0, "integer[]", 1
"diptest", "getCM", 1, 0, 0, "integer[]", 1
"diptest", "getCM", 2, 0, 0, "integer", 1
"diptest", "plot.dip", -1, 0, 0, "null", 1
"diptest", "plot.dip", 0, 0, 0, "class<`dip`>", 1
"diptest", "plot.dip", 1, 0, 0, "logical", 1
"diptest", "plot.dip", 2, 0, 0, "character", 1
"diptest", "plot.dip", 3, 0, 0, "character", 1
"diptest", "plot.dip", 4, 0, 0, "character", 1
"diptest", "plot.dip", 5, 0, 0, "character", 1
"diptest", "plot.dip", 6, 0, 0, "character", 1
"diptest", "plot.dip", 7, 0, 0, "logical", 1
"diptest", "plot.dip", 8, 0, 0, "logical", 1
"diptest", "plot.dip", 9, 0, 0, "...", 1
"diptest", "rdRDS", -1, 0, 0, "class<`matrix`>", 1
"diptest", "rdRDS", 0, 0, 0, "...", 1
"diptest", "rdRDS", 1, 0, 0, "character", 1
