package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"distr", "@", -1, 0, 0, "(class<`matrix`> | double[])", 1
"distr", "@", 0, 0, 0, "class<`matrix`>", 1
"distr", "@", 0, 0, 1, "double[]", 1
"distr", "@", 1, 0, 0, "logical", 1
"distr", "@", 2, 0, 0, "logical", 1
"distr", "@", -1, 1, 0, "double", 1
"distr", "@", 0, 1, 0, "double", 1
"distr", "@", 1, 1, 0, "logical", 1
"distr", "@", 2, 1, 0, "logical", 1
"distr", "@", -1, 2, 0, "double", 1
"distr", "@", 0, 2, 0, "double", 1
"distr", "@", 1, 2, 0, "logical", 1
"distr", "@", 2, 2, 0, "logical", 1
"distr", "@", -1, 3, 0, "double[]", 1
"distr", "@", 0, 3, 0, "double[]", 1
"distr", "@", 1, 3, 0, "logical", 1
"distr", "@", -1, 4, 0, "double[]", 1
"distr", "@", 0, 4, 0, "double[]", 1
"distr", "@", 1, 4, 0, "logical", 1
"distr", "@", 2, 4, 0, "logical", 1
"distr", "@", -1, 5, 0, "^double[]", 1
"distr", "@", 0, 5, 0, "^double[]", 1
"distr", "@", 0, 5, 1, "class<`matrix`>", 1
"distr", "@", 1, 5, 0, "logical", 1
"distr", "@", 2, 5, 0, "logical", 1
"distr", "@", -1, 6, 0, "double", 1
"distr", "@", 0, 6, 0, "double", 1
"distr", "@", 1, 6, 0, "logical", 1
"distr", "@", 2, 6, 0, "logical", 1
"distr", "@", -1, 7, 0, "double", 1
"distr", "@", 0, 7, 0, "double", 1
"distr", "@", 1, 7, 0, "logical", 1
"distr", "@", 2, 7, 0, "logical", 1
"distr", "@", -1, 8, 0, "double", 1
"distr", "@", 0, 8, 0, "double", 1
"distr", "@", 1, 8, 0, "logical", 1
"distr", "@", 2, 8, 0, "logical", 1
"distr", "@", -1, 9, 0, "double", 1
"distr", "@", 0, 9, 0, "double", 1
"distr", "@", 1, 9, 0, "logical", 1
"distr", "@", 2, 9, 0, "logical", 1
"distr", "@", -1, 10, 0, "double[]", 1
"distr", "@", 0, 10, 0, "double[]", 1
"distr", "@", 1, 10, 0, "logical", 1
"distr", "@", 2, 10, 0, "logical", 1
"distr", "@", -1, 11, 0, "^double[]", 1
"distr", "@", 0, 11, 0, "^double[]", 1
"distr", "@", 1, 11, 0, "logical", 1
"distr", "@", 2, 11, 0, "logical", 1
"distr", "@", 3, 11, 0, "...", 1
"distr", "@", -1, 12, 0, "double", 1
"distr", "@", 0, 12, 0, "double", 1
"distr", "@", 1, 12, 0, "logical", 1
"distr", "@", 2, 12, 0, "logical", 1
"distr", "@", -1, 13, 0, "double", 1
"distr", "@", 0, 13, 0, "double", 1
"distr", "@", 1, 13, 0, "logical", 1
"distr", "@", 2, 13, 0, "logical", 1
