package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"distrMod", "@", -1, 0, 0, "class<`Gammad`>", 1
"distrMod", "@", 0, 0, 0, "double[]", 1
"distrMod", "@", -1, 1, 0, "class<`PosDefSymmMatrix`>", 1
"distrMod", "@", 0, 1, 0, "class<`ParamWithScaleAndShapeFamParameter`>", 1
"distrMod", "addAlphTrsp2col", -1, 0, 0, "character", 1
"distrMod", "addAlphTrsp2col", 0, 0, 0, "character", 1
"distrMod", "addAlphTrsp2col", 0, 0, 1, "double", 1
"distrMod", "addAlphTrsp2col", 1, 0, 0, "double", 1
"distrMod", "asBias", -1, 0, 0, "class<`asBias`>", 1
"distrMod", "asBias", 0, 0, 0, "class<`symmetricBias`>", 1
"distrMod", "asBias", 1, 0, 0, "class<`NormType`>", 1
"distrMod", "asCov", -1, 0, 0, "class<`asCov`>", 1
"distrMod", "asHampel", -1, 0, 0, "class<`asHampel`>", 1
"distrMod", "asHampel", 0, 0, 0, "double", 1
"distrMod", "asHampel", 1, 0, 0, "class<`symmetricBias`>", 1
"distrMod", "asHampel", 2, 0, 0, "class<`NormType`>", 1
"distrMod", "asMethod", -1, 0, 0, "class<`Estimate`>", 1
"distrMod", "asMethod", 0, 0, 0, "class<`MLEstimate`>", 1
"distrMod", "asMethod", 1, 0, 0, "character", 1
"distrMod", "asMethod", 2, 0, 0, "logical", 1
"distrMod", "asMSE", -1, 0, 0, "class<`asMSE`>", 1
"distrMod", "asMSE", 0, 0, 0, "class<`symmetricBias`>", 1
"distrMod", "asMSE", 1, 0, 0, "class<`NormType`>", 1
"distrMod", "asSemivar", -1, 0, 0, "class<`asSemivar`>", 1
"distrMod", "asSemivar", 0, 0, 0, "double", 1
"distrMod", "asUnOvShoot", -1, 0, 0, "class<`asUnOvShoot`>", 1
"distrMod", "asUnOvShoot", 0, 0, 0, "double", 1
"distrMod", "asUnOvShoot", 1, 0, 0, "class<`symmetricBias`>", 1
"distrMod", "asvar", -1, 0, 0, "class<`matrix`>", 1
"distrMod", "asvar", 0, 0, 0, "class<`MLEstimate`>", 1
"distrMod", "asvar", -1, 1, 0, "class<`matrix`>", 1
"distrMod", "asvar", 0, 1, 0, "class<`MLEstimate`>", 1
"distrMod", "asvar.trfct", -1, 0, 0, "class<`matrix`>", 1
"distrMod", "asvar.trfct", 0, 0, 0, "class<`matrix`>", 1
"distrMod", "asvar.trfct", 1, 0, 0, "class<`matrix`>", 1
"distrMod", "asvar.trfct", 2, 0, 0, "character[]", 1
"distrMod", "asymmetricBias", -1, 0, 0, "class<`asymmetricBias`>", 1
"distrMod", "asymmetricBias", 0, 0, 0, "character", 1
"distrMod", "asymmetricBias", 1, 0, 0, "double[]", 1
"distrMod", "BetaFamily", -1, 0, 0, "class<`BetaFamily`>", 1
"distrMod", "BetaFamily", 0, 0, 0, "double", 1
"distrMod", "BetaFamily", 1, 0, 0, "double", 1
"distrMod", "BetaFamily", 2, 0, 0, "any", 1
"distrMod", "BetaFamily", 3, 0, 0, "logical", 1
"distrMod", "BinomFamily", -1, 0, 0, "class<`BinomFamily`>", 1
"distrMod", "BinomFamily", 0, 0, 0, "double", 1
"distrMod", "BinomFamily", 1, 0, 0, "double", 1
"distrMod", "BinomFamily", 2, 0, 0, "any", 1
"distrMod", "call.estimate", -1, 0, 0, "class<`call`>", 1
"distrMod", "call.estimate", 0, 0, 0, "class<`Confint`>", 1
"distrMod", "call.estimate", -1, 1, 0, "class<`call`>", 1
"distrMod", "call.estimate", 0, 1, 0, "class<`Confint`>", 1
"distrMod", ".callParamFamParameter", -1, 0, 0, "class<`ParamWithScaleAndShapeFamParameter`>", 1
"distrMod", ".callParamFamParameter", 0, 0, 0, "class<`GammaFamily`>", 1
