package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"dplyr", "::", -1, 0, 0, "(class<`data.frame`, `tbl`, `tbl_df`> | class<`data.frame`>)", 1
"dplyr", "::", 0, 0, 0, "...", 1
"dplyr", "add_computed_columns", -1, 0, 0, "(class<`data.frame`> | class<`data.frame`, `grouped_df`, `tbl`, `tbl_df`> | class<`data.frame`, `tbl`, `tbl_df`> | class<`tbl_cube`> | class<`tbl`, `tbl_SQLiteConnection`, `tbl_dbi`, `tbl_lazy`, `tbl_sql`>)", 1
"dplyr", "add_computed_columns", 0, 0, 0, "class<`data.frame`>", 1
"dplyr", "add_computed_columns", 0, 0, 1, "class<`data.frame`, `grouped_df`, `tbl`, `tbl_df`>", 1
"dplyr", "add_computed_columns", 0, 0, 2, "class<`data.frame`, `tbl`, `tbl_df`>", 1
"dplyr", "add_computed_columns", 0, 0, 3, "class<`tbl_cube`>", 1
"dplyr", "add_computed_columns", 0, 0, 4, "class<`tbl`, `tbl_SQLiteConnection`, `tbl_dbi`, `tbl_lazy`, `tbl_sql`>", 1
"dplyr", "add_computed_columns", 1, 0, 0, "class<`list`, `quosures`>", 1
"dplyr", "add_count", -1, 0, 0, "class<`data.frame`, `tbl`, `tbl_df`>", 1
"dplyr", "add_count", 0, 0, 0, "class<`data.frame`>", 1
"dplyr", "add_count", 0, 0, 1, "class<`data.frame`, `tbl`, `tbl_df`>", 1
"dplyr", "add_count", 1, 0, 0, "...", 1
"dplyr", "add_count", 2, 0, 0, "null", 1
"dplyr", "add_count", 3, 0, 0, "logical", 1
"dplyr", "add_count", 4, 0, 0, "character", 1
"dplyr", "add_rownames", -1, 0, 0, "class<`data.frame`, `tbl`, `tbl_df`>", 1
"dplyr", "add_rownames", 0, 0, 0, "class<`data.frame`>", 1
"dplyr", "add_rownames", 1, 0, 0, "character", 1
"dplyr", "add_suffixes", -1, 0, 0, "character[]", 1
"dplyr", "add_suffixes", 0, 0, 0, "character[]", 1
"dplyr", "add_suffixes", 1, 0, 0, "any", 1
