package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"dtw", ":::", -1, 0, 0, "list<class<`matrix`> | class<`stepPattern`>>", 1
"dtw", ":::", 0, 0, 0, "class<`matrix`>", 1
"dtw", ":::", 0, 0, 1, "class<`crossdist`>", 1
"dtw", ":::", 1, 0, 0, "class<`stepPattern`>", 1
"dtw", ":::", 2, 0, 0, "class<`function`>", 1
"dtw", ":::", 3, 0, 0, "logical", 1
"dtw", ":::", 4, 0, 0, "null", 1
"dtw", ":::", 4, 0, 1, "class<`matrix`>", 1
"dtw", ":::", 5, 0, 0, "...", 1
"dtw", "backtrack", -1, 0, 0, "list<double[]>", 1
"dtw", "backtrack", 0, 0, 0, "list<any>", 1
"dtw", ".canonicalizeWindowFunction", -1, 0, 0, "class<`function`>", 1
"dtw", ".canonicalizeWindowFunction", 0, 0, 0, "character", 1
"dtw", ".canonicalizeWindowFunction", 0, 0, 1, "class<`function`>", 1
"dtw", "countPaths", -1, 0, 0, "double", 1
"dtw", "countPaths", 0, 0, 0, "class<`dtw`>", 1
"dtw", "countPaths", 1, 0, 0, "logical", 1
"dtw", "dtw", -1, 0, 0, "class<`dtw`>", 1
"dtw", "dtw", 0, 0, 0, "class<`crossdist`>", 1
"dtw", "dtw", 0, 0, 1, "class<`matrix`>", 1
"dtw", "dtw", 0, 0, 2, "class<`ts`>", 1
"dtw", "dtw", 0, 0, 3, "double[]", 1
"dtw", "dtw", 1, 0, 0, "null", 1
"dtw", "dtw", 1, 0, 1, "class<`matrix`>", 1
"dtw", "dtw", 1, 0, 2, "class<`ts`>", 1
"dtw", "dtw", 1, 0, 3, "double[]", 1
"dtw", "dtw", 2, 0, 0, "character", 1
"dtw", "dtw", 3, 0, 0, "class<`stepPattern`>", 1
"dtw", "dtw", 4, 0, 0, "character", 1
"dtw", "dtw", 4, 0, 1, "class<`function`>", 1
"dtw", "dtw", 5, 0, 0, "logical", 1
"dtw", "dtw", 6, 0, 0, "logical", 1
"dtw", "dtw", 7, 0, 0, "logical", 1
"dtw", "dtw", 8, 0, 0, "logical", 1
"dtw", "dtw", 9, 0, 0, "...", 1
"dtw", "dtwPlot", -1, 0, 0, "(null | list<character | double[] | null>)", 1
"dtw", "dtwPlot", 0, 0, 0, "class<`dtw`>", 1
"dtw", "dtwPlot", 1, 0, 0, "character", 1
"dtw", "dtwPlot", 2, 0, 0, "...", 1
