package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"dummies", "dummy", -1, 0, 0, "class<`matrix`>", 1
"dummies", "dummy", 0, 0, 0, "character[]", 1
"dummies", "dummy", 0, 0, 1, "class<`factor`>", 1
"dummies", "dummy", 0, 0, 2, "^integer[]", 1
"dummies", "dummy", 1, 0, 0, "null", 1
"dummies", "dummy", 1, 0, 1, "class<`data.frame`>", 1
"dummies", "dummy", 2, 0, 0, "character", 1
"dummies", "dummy", 3, 0, 0, "logical", 1
"dummies", "dummy", 4, 0, 0, "any", 1
"dummies", "dummy", 5, 0, 0, "logical", 1
"dummies", "dummy.data.frame", -1, 0, 0, "class<`data.frame`>", 1
"dummies", "dummy.data.frame", 0, 0, 0, "class<`data.frame`>", 1
"dummies", "dummy.data.frame", 1, 0, 0, "null", 1
"dummies", "dummy.data.frame", 2, 0, 0, "logical", 1
"dummies", "dummy.data.frame", 3, 0, 0, "character[]", 1
"dummies", "dummy.data.frame", 4, 0, 0, "logical", 1
"dummies", "dummy.data.frame", 5, 0, 0, "...", 1
"dummies", "get.dummy", -1, 0, 0, "class<`data.frame`>", 1
"dummies", "get.dummy", 0, 0, 0, "class<`data.frame`>", 1
"dummies", "get.dummy", 1, 0, 0, "character", 1
"dummies", "which.dummy", -1, 0, 0, "integer[]", 1
"dummies", "which.dummy", 0, 0, 0, "class<`data.frame`>", 1
"dummies", "which.dummy", 1, 0, 0, "character", 1
"dummies", "which.dummy", 1, 0, 1, "null", 1
