package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"dygraphs", "%||%", -1, 0, 0, "double", 1
"dygraphs", "%||%", 0, 0, 0, "null", 1
"dygraphs", "%||%", 1, 0, 0, "double", 1
"dygraphs", "asISO8601Time", -1, 0, 0, "character[]", 1
"dygraphs", "asISO8601Time", 0, 0, 0, "class<`Date`>", 1
"dygraphs", "asISO8601Time", 0, 0, 1, "class<`POSIXct`, `POSIXt`>", 1
"dygraphs", "asISO8601Time", 0, 0, 2, "class<`yearmon`>", 1
"dygraphs", "asISO8601Time", 0, 0, 3, "class<`yearqtr`>", 1
"dygraphs", "asISO8601Time", 0, 0, 4, "character", 1
"dygraphs", "computeYaxisRange", -1, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "computeYaxisRange", 0, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "computeYaxisRange", 1, 0, 0, "character[]", 1
"dygraphs", "dyAnnotation", -1, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyAnnotation", 0, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyAnnotation", 1, 0, 0, "character", 1
"dygraphs", "dyAnnotation", 2, 0, 0, "character", 1
"dygraphs", "dyAnnotation", 3, 0, 0, "character", 1
"dygraphs", "dyAnnotation", 4, 0, 0, "null", 1
"dygraphs", "dyAnnotation", 5, 0, 0, "null", 1
"dygraphs", "dyAnnotation", 6, 0, 0, "null", 1
"dygraphs", "dyAnnotation", 7, 0, 0, "null", 1
"dygraphs", "dyAnnotation", 8, 0, 0, "logical", 1
"dygraphs", "dyAnnotation", 9, 0, 0, "null", 1
"dygraphs", "dyAnnotation", 10, 0, 0, "null", 1
"dygraphs", "dyAnnotation", 11, 0, 0, "null", 1
"dygraphs", "dyAnnotation", 12, 0, 0, "null", 1
"dygraphs", "dyAnnotation", 13, 0, 0, "null", 1
"dygraphs", "dyAxis", -1, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyAxis", 0, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyAxis", 1, 0, 0, "character", 1
"dygraphs", "dyAxis", 2, 0, 0, "character", 1
"dygraphs", "dyAxis", 2, 0, 1, "null", 1
"dygraphs", "dyAxis", 3, 0, 0, "double[]", 1
"dygraphs", "dyAxis", 4, 0, 0, "null", 1
"dygraphs", "dyAxis", 5, 0, 0, "null", 1
"dygraphs", "dyAxis", 6, 0, 0, "null", 1
"dygraphs", "dyAxis", 7, 0, 0, "null", 1
"dygraphs", "dyAxis", 8, 0, 0, "null", 1
"dygraphs", "dyAxis", 9, 0, 0, "null", 1
"dygraphs", "dyAxis", 10, 0, 0, "null", 1
"dygraphs", "dyAxis", 11, 0, 0, "null", 1
"dygraphs", "dyAxis", 12, 0, 0, "null", 1
"dygraphs", "dyAxis", 13, 0, 0, "null", 1
"dygraphs", "dyAxis", 14, 0, 0, "null", 1
"dygraphs", "dyAxis", 15, 0, 0, "null", 1
"dygraphs", "dyAxis", 16, 0, 0, "null", 1
"dygraphs", "dyAxis", 17, 0, 0, "null", 1
"dygraphs", "dyAxis", 18, 0, 0, "null", 1
"dygraphs", "dyAxis", 19, 0, 0, "null", 1
"dygraphs", "dyBarChart", -1, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyBarChart", 0, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyBarSeries", -1, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyBarSeries", 0, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyBarSeries", 1, 0, 0, "character", 1
"dygraphs", "dyBarSeries", 2, 0, 0, "...", 1
"dygraphs", "dyCandlestick", -1, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyCandlestick", 0, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyCandlestick", 1, 0, 0, "logical", 1
"dygraphs", "dyCandlestickGroup", -1, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyCandlestickGroup", 0, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyCandlestickGroup", 1, 0, 0, "character[]", 1
"dygraphs", "dyCandlestickGroup", 2, 0, 0, "...", 1
"dygraphs", "dyCrosshair", -1, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyCrosshair", 0, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyCrosshair", 1, 0, 0, "character", 1
"dygraphs", "dyDependency", -1, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyDependency", 0, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyDependency", 1, 0, 0, "class<`html_dependency`>", 1
"dygraphs", "dyEvent", -1, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyEvent", 0, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyEvent", 1, 0, 0, "character[]", 1
"dygraphs", "dyEvent", 2, 0, 0, "character[]", 1
"dygraphs", "dyEvent", 3, 0, 0, "character", 1
"dygraphs", "dyEvent", 4, 0, 0, "character", 1
"dygraphs", "dyEvent", 5, 0, 0, "character", 1
"dygraphs", "dyEvent", 6, 0, 0, "any", 1
"dygraphs", "dyFilledLine", -1, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyFilledLine", 0, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyFilledLine", 1, 0, 0, "character", 1
"dygraphs", "dyFilledLine", 2, 0, 0, "...", 1
"dygraphs", "dygraph", -1, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dygraph", 0, 0, 0, "class<`data.frame`>", 1
"dygraphs", "dygraph", 0, 0, 1, "class<`data.frame`, `groupedData`, `nfGroupedData`, `nfnGroupedData`>", 1
"dygraphs", "dygraph", 0, 0, 2, "class<`matrix`>", 1
"dygraphs", "dygraph", 0, 0, 3, "class<`matrix`, `mts`, `ts`>", 1
"dygraphs", "dygraph", 0, 0, 4, "class<`ts`>", 1
"dygraphs", "dygraph", 1, 0, 0, "null", 1
"dygraphs", "dygraph", 1, 0, 1, "character", 1
"dygraphs", "dygraph", 2, 0, 0, "null", 1
"dygraphs", "dygraph", 3, 0, 0, "null", 1
"dygraphs", "dygraph", 4, 0, 0, "null", 1
"dygraphs", "dygraph", 5, 0, 0, "null", 1
"dygraphs", "dygraph", 6, 0, 0, "null", 1
"dygraphs", "dygraph", 7, 0, 0, "null", 1
"dygraphs", "dygraph", 8, 0, 0, "null", 1
"dygraphs", "dygraphColors", -1, 0, 0, "character[]", 1
"dygraphs", "dygraphColors", 0, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dygraphColors", 1, 0, 0, "double", 1
"dygraphs", "dyGroup", -1, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyGroup", 0, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyGroup", 1, 0, 0, "character[]", 1
"dygraphs", "dyGroup", 2, 0, 0, "null", 1
"dygraphs", "dyGroup", 3, 0, 0, "null", 1
"dygraphs", "dyGroup", 4, 0, 0, "character", 1
"dygraphs", "dyGroup", 5, 0, 0, "null", 1
"dygraphs", "dyGroup", 6, 0, 0, "null", 1
"dygraphs", "dyGroup", 7, 0, 0, "null", 1
"dygraphs", "dyGroup", 8, 0, 0, "null", 1
"dygraphs", "dyGroup", 9, 0, 0, "null", 1
"dygraphs", "dyGroup", 10, 0, 0, "null", 1
"dygraphs", "dyGroup", 11, 0, 0, "null", 1
"dygraphs", "dyGroup", 12, 0, 0, "null", 1
"dygraphs", "dyGroup", 13, 0, 0, "null", 1
"dygraphs", "dyGroup", 14, 0, 0, "null", 1
"dygraphs", "dyGroup", 15, 0, 0, "character", 1
"dygraphs", "dyHighlight", -1, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyHighlight", 0, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyHighlight", 1, 0, 0, "double", 1
"dygraphs", "dyHighlight", 2, 0, 0, "double", 1
"dygraphs", "dyHighlight", 3, 0, 0, "list<any>", 1
"dygraphs", "dyHighlight", 4, 0, 0, "logical", 1
"dygraphs", "dyLegend", -1, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyLegend", 0, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyLegend", 1, 0, 0, "character", 1
"dygraphs", "dyLegend", 2, 0, 0, "double", 1
"dygraphs", "dyLegend", 3, 0, 0, "logical", 1
"dygraphs", "dyLegend", 4, 0, 0, "null", 1
"dygraphs", "dyLegend", 5, 0, 0, "logical", 1
"dygraphs", "dyLegend", 6, 0, 0, "logical", 1
"dygraphs", "dyLimit", -1, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyLimit", 0, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyLimit", 1, 0, 0, "double", 1
"dygraphs", "dyLimit", 2, 0, 0, "character", 1
"dygraphs", "dyLimit", 3, 0, 0, "character[]", 1
"dygraphs", "dyLimit", 4, 0, 0, "character", 1
"dygraphs", "dyLimit", 5, 0, 0, "character", 1
"dygraphs", "dyMultiColumn", -1, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyMultiColumn", 0, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyOptions", -1, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyOptions", 0, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyOptions", 1, 0, 0, "logical", 1
"dygraphs", "dyOptions", 2, 0, 0, "logical", 1
"dygraphs", "dyOptions", 3, 0, 0, "double", 1
"dygraphs", "dyOptions", 4, 0, 0, "logical", 1
"dygraphs", "dyOptions", 5, 0, 0, "logical", 1
"dygraphs", "dyOptions", 6, 0, 0, "logical", 1
"dygraphs", "dyOptions", 7, 0, 0, "double", 1
"dygraphs", "dyOptions", 8, 0, 0, "character[]", 1
"dygraphs", "dyOptions", 9, 0, 0, "logical", 1
"dygraphs", "dyOptions", 10, 0, 0, "logical", 1
"dygraphs", "dyOptions", 11, 0, 0, "double", 1
"dygraphs", "dyOptions", 12, 0, 0, "null", 1
"dygraphs", "dyOptions", 13, 0, 0, "null", 1
"dygraphs", "dyOptions", 14, 0, 0, "character", 1
"dygraphs", "dyOptions", 15, 0, 0, "null", 1
"dygraphs", "dyOptions", 16, 0, 0, "null", 1
"dygraphs", "dyOptions", 17, 0, 0, "double", 1
"dygraphs", "dyOptions", 18, 0, 0, "double", 1
"dygraphs", "dyOptions", 19, 0, 0, "logical", 1
"dygraphs", "dyPlotter", -1, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyPlotter", 0, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyPlotter", 1, 0, 0, "character", 1
"dygraphs", "dyPlotter", 2, 0, 0, "character", 1
"dygraphs", "dyPlotter", 3, 0, 0, "character", 1
"dygraphs", "dyPlugin", -1, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyPlugin", 0, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyPlugin", 1, 0, 0, "character", 1
"dygraphs", "dyPlugin", 2, 0, 0, "character", 1
"dygraphs", "dyPlugin", 3, 0, 0, "list<any>", 1
"dygraphs", "dyPlugin", 4, 0, 0, "character", 1
"dygraphs", "dyRangeSelector", -1, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyRangeSelector", 0, 0, 0, "class<`dygraphs`, `htmlwidget`>", 1
"dygraphs", "dyRangeSelector", 1, 0, 0, "character[]", 1
