package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"dynutils", ".process_input_matrices", -1, 0, 0, "struct<`x`:null, `y`:null>", 1
"dynutils", ".process_input_matrices", 0, 0, 0, "double", 1
"dynutils", "add_class", -1, 0, 0, "struct<`important_number`:double>", 1
"dynutils", "add_class", 0, 0, 0, "struct<`important_number`:double>", 1
"dynutils", "add_class", 1, 0, 0, "character", 1
"dynutils", "calculate_arithmetic_mean", -1, 0, 0, "double[]", 1
"dynutils", "calculate_arithmetic_mean", 0, 0, 0, "double[]", 1
"dynutils", "calculate_arithmetic_mean", 1, 0, 0, "null", 1
"dynutils", "calculate_distance", -1, 0, 0, "^double[]", 1
"dynutils", "calculate_distance", 0, 0, 0, "character", 1
"dynutils", "calculate_distance", 1, 0, 0, "double", 1
"dynutils", "calculate_geometric_mean", -1, 0, 0, "double[]", 1
"dynutils", "calculate_geometric_mean", 0, 0, 0, "double[]", 1
"dynutils", "calculate_geometric_mean", 0, 0, 1, "tuple<double[], double[]>", 1
"dynutils", "calculate_geometric_mean", 1, 0, 0, "null", 1
"dynutils", "calculate_geometric_mean", 1, 0, 1, "double[]", 1
"dynutils", "calculate_harmonic_mean", -1, 0, 0, "double", 1
"dynutils", "calculate_harmonic_mean", 0, 0, 0, "double", 1
"dynutils", "calculate_harmonic_mean", 1, 0, 0, "null", 1
"dynutils", "calculate_mean", -1, 0, 0, "double", 1
"dynutils", "calculate_mean", 0, 0, 0, "double", 1
"dynutils", "calculate_mean", 1, 0, 0, "character", 1
"dynutils", "calculate_mean", 2, 0, 0, "null", 1
"dynutils", "calculate_similarity", -1, 0, 0, "^double[]", 1
"dynutils", "calculate_similarity", 0, 0, 0, "double", 1
"dynutils", "calculate_similarity", 1, 0, 0, "character", 1
"dynutils", "filter", -1, 0, 0, "logical[]", 1
"dynutils", "filter", 0, 0, 0, "character[]", 1
"dynutils", "fun", -1, 0, 0, "double", 1
"dynutils", "fun", 0, 0, 0, "double", 1
"dynutils", "fun", 1, 0, 0, "null", 1
"dynutils", "is_sparse", -1, 0, 0, "logical", 1
"dynutils", "process_combination_input", -1, 0, 0, "^double[]", 1
"dynutils", "process_combination_input", 0, 0, 0, "double[]", 1
"dynutils", "process_combination_input", 0, 0, 1, "tuple<double[], double[]>", 1
"dynutils", "process_weights", -1, 0, 0, "^double[]", 1
"dynutils", "process_weights", 0, 0, 0, "double[]", 1
"dynutils", "process_weights", 1, 0, 0, "integer", 1
"dynutils", "spearman_rank_sparse", -1, 0, 0, "null", 1
"dynutils", "spearman_rank_sparse", 0, 0, 0, "null", 1
"dynutils", "spearman_rank_sparse", 1, 0, 0, "null", 1
"dynutils", "spearman_rank_sparse_rcpp", -1, 0, 0, "double[]", 1
"dynutils", "spearman_rank_sparse_rcpp", 0, 0, 0, "double[]", 1
"dynutils", "spearman_rank_sparse_rcpp", 1, 0, 0, "integer[]", 1
"dynutils", "spearman_rank_sparse_rcpp", 2, 0, 0, "integer", 1
