package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"e1071", "filter", -1, 0, 0, "logical[]", 1
"e1071", "filter", 0, 0, 0, "character[]", 1
"e1071", "predict.svm", -1, 0, 0, "integer[]", 1
"e1071", "predict.svm", 0, 0, 0, "struct<`call`:language, `type`:double, `kernel`:double, `cost`:double, `degree`:double, `gamma`:double, `coef0`:double, `nu`:double, `epsilon`:double, `sparse`:logical, `scaled`:logical[], `x.scale`:struct<`scaled:center`:double[], `scaled:scale`:double[]>, `y.scale`:null, `nclasses`:integer, `levels`:character[], `tot.nSV`:integer, `nSV`:integer[], `labels`:integer[], `SV`:^double[], `index`:integer[], `rho`:double[], `compprob`:logical, `probA`:null, `probB`:null, `sigma`:null, `coefs`:^double[], `na.action`:null>", 1
"e1071", "predict.svm", 1, 0, 0, "struct<`Sepal.Length`:double[], `Sepal.Width`:double[], `Petal.Length`:double[], `Petal.Width`:double[], `Species`:integer[]>", 1
"e1071", "predict.svm", 1, 0, 1, "^double[]", 1
"e1071", "predict.svm", 2, 0, 0, "logical", 1
"e1071", "predict.svm", 3, 0, 0, "logical", 1
"e1071", "predict.svm", 4, 0, 0, "character", 1
"e1071", "predict.svm", 4, 0, 1, "null", 1
"e1071", "predict.svm", 5, 0, 0, "any => any", 1
"e1071", "svm.default", -1, 0, 0, "struct<`call`:language, `type`:double, `kernel`:double, `cost`:double, `degree`:double, `gamma`:double, `coef0`:double, `nu`:double, `epsilon`:double, `sparse`:logical, `scaled`:logical[], `x.scale`:struct<`scaled:center`:double[], `scaled:scale`:double[]>, `y.scale`:null, `nclasses`:integer, `levels`:character[], `tot.nSV`:integer, `nSV`:integer[], `labels`:integer[], `SV`:^double[], `index`:integer[], `rho`:double[], `compprob`:logical, `probA`:null, `probB`:null, `sigma`:null, `coefs`:^double[], `na.action`:null, `fitted`:integer[], `decision.values`:^double[]>", 1
"e1071", "svm.default", 0, 0, 0, "^double[]", 1
"e1071", "svm.default", 1, 0, 0, "integer[]", 1
"e1071", "svm.default", 2, 0, 0, "logical[]", 1
"e1071", "svm.default", 3, 0, 0, "null", 1
"e1071", "svm.default", 4, 0, 0, "character", 1
"e1071", "svm.default", 5, 0, 0, "double", 1
"e1071", "svm.default", 6, 0, 0, "double", 1
"e1071", "svm.default", 7, 0, 0, "double", 1
"e1071", "svm.default", 8, 0, 0, "double", 1
"e1071", "svm.default", 9, 0, 0, "double", 1
"e1071", "svm.default", 10, 0, 0, "null", 1
"e1071", "svm.default", 11, 0, 0, "double", 1
"e1071", "svm.default", 12, 0, 0, "double", 1
"e1071", "svm.default", 13, 0, 0, "double", 1
"e1071", "svm.default", 14, 0, 0, "logical", 1
"e1071", "svm.default", 15, 0, 0, "double", 1
"e1071", "svm.default", 16, 0, 0, "logical", 1
"e1071", "svm.default", 17, 0, 0, "logical", 1
"e1071", "svm.default", 18, 0, 0, "null", 1
"e1071", "bincombinations", -1, 0, 0, "^double[]", 1
"e1071", "bincombinations", 0, 0, 0, "double", 1
"e1071", "convexcoeff", -1, 0, 0, "double[]", 1
"e1071", "convexcoeff", 0, 0, 0, "double[]", 1
"e1071", "convexcoeff", 1, 0, 0, "double[]", 1
"e1071", "interpolate", -1, 0, 0, "double[]", 1
"e1071", "interpolate", 0, 0, 0, "^double[]", 1
"e1071", "interpolate", 1, 0, 0, "double[]", 1
"e1071", "interpolate", 2, 0, 0, "tuple<double[], double[], double[]>", 1
"e1071", "interpolate", 3, 0, 0, "character", 1
"e1071", "kurtosis", -1, 0, 0, "double", 1
"e1071", "kurtosis", 0, 0, 0, "double[]", 1
"e1071", "kurtosis", 1, 0, 0, "logical", 1
"e1071", "kurtosis", 2, 0, 0, "double", 1
"e1071", "skewness", -1, 0, 0, "double", 1
"e1071", "skewness", 0, 0, 0, "double[]", 1
"e1071", "skewness", 1, 0, 0, "logical", 1
"e1071", "skewness", 2, 0, 0, "double", 1
"e1071", "bclust", -1, 0, 0, "struct<`allcenters`:^double[], `allcluster`:integer[], `hclust`:struct<`merge`:^integer[], `height`:double[], `order`:integer[], `labels`:null, `method`:character, `call`:language, `dist.method`:character>, `members`:^integer[], `cluster`:integer[], `centers`:^double[], `iter.base`:double, `base.centers`:double, `prcomp`:null, `datamean`:double, `colnames`:null, `dist.method`:character, `hclust.method`:character, `maxcluster`:double>", 1
"e1071", "bclust", 0, 0, 0, "double[]", 1
"e1071", "bclust", 0, 0, 1, "struct<>", 1
"e1071", "bclust", 1, 0, 0, "double", 1
"e1071", "bclust", 2, 0, 0, "double", 1
"e1071", "bclust", 3, 0, 0, "double", 1
"e1071", "bclust", 4, 0, 0, "character", 1
"e1071", "bclust", 5, 0, 0, "character", 1
"e1071", "bclust", 6, 0, 0, "character", 1
"e1071", "bclust", 7, 0, 0, "double", 1
"e1071", "bclust", 8, 0, 0, "logical", 1
"e1071", "bclust", 9, 0, 0, "logical", 1
"e1071", "bclust", 10, 0, 0, "logical", 1
"e1071", "bclust", 11, 0, 0, "logical", 1
"e1071", "bclust", 12, 0, 0, "null", 1
"e1071", "bclust", 13, 0, 0, "double", 1
"e1071", "bclust", 14, 0, 0, "null", 1
