package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"eRm", "build_W", -1, 0, 0, "^double[]", 1
"eRm", "build_W", 0, 0, 0, "^integer[]", 1
"eRm", "build_W", 1, 0, 0, "integer", 1
"eRm", "build_W", 2, 0, 0, "double", 1
"eRm", "build_W", 3, 0, 0, "integer[]", 1
"eRm", "build_W", 4, 0, 0, "double[]", 1
"eRm", "build_W", 5, 0, 0, "symbol", 1
"eRm", "calc.groups", -1, 0, 0, "struct<`hi`:logical[], `spl.nam`:character>", 1
"eRm", "calc.groups", 0, 0, 0, "^integer[]", 1
"eRm", "calc.groups", 1, 0, 0, "character", 1
"eRm", "calc.T11", -1, 0, 0, "double", 1
"eRm", "calc.T11", 0, 0, 0, "double[]", 1
"eRm", "cmlprep", -1, 0, 0, "struct<`x_mt`:double[], `mt_ind`:integer[], `x_tmt`:struct<`1`:double[], `2`:double[], `3`:double[], `4`:double[], `5`:double[], `6`:double[]>, `rtot`:double, `nrlist`:struct<`1`:double[]>, `gind`:double[], `x_mtlist`:tuple<double[]>, `NAstruc`:struct<`1`:double[]>, `g_NA`:double, `gby`:double[]>", 1
"eRm", "cmlprep", 0, 0, 0, "^double[]", 1
"eRm", "cmlprep", 1, 0, 0, "double[]", 1
"eRm", "cmlprep", 2, 0, 0, "double", 1
"eRm", "cmlprep", 3, 0, 0, "double[]", 1
"eRm", "cmlprep", 4, 0, 0, "^double[]", 1
"eRm", "cmlprep", 4, 0, 1, "language", 1
"eRm", "cmlprep", 5, 0, 0, "double[]", 1
