package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"egg", "filter", -1, 0, 0, "logical[]", 1
"egg", "filter", 0, 0, 0, "character[]", 1
"egg", "FUN", -1, 0, 0, "struct<`x`:double, `y`:double, `width`:double, `height`:double, `just`:character, `hjust`:null, `vjust`:null, `name`:character, `gp`:struct<`col`:character, `lwd`:double, `fill`:character>, `vp`:null>", 1
"egg", "FUN", 0, 0, 0, "integer", 1
"egg", "FUN", 0, 0, 1, "struct<`data`:struct<`mpg`:double[], `cyl`:double[], `disp`:double[], `hp`:double[], `drat`:double[], `wt`:double[], `qsec`:double[], `vs`:double[], `am`:double[], `gear`:double[], `carb`:double[]>, `layers`:tuple<environment>, `scales`:environment, `mapping`:struct<`x`:language>, `theme`:tuple<>, `coordinates`:environment, `facet`:environment, `plot_env`:environment, `labels`:struct<`y`:character, `x`:character>>", 1
"egg", "FUN", 0, 0, 2, "struct<`data`:struct<`mpg`:double[], `cyl`:double[], `disp`:double[], `hp`:double[], `drat`:double[], `wt`:double[], `qsec`:double[], `vs`:double[], `am`:double[], `gear`:double[], `carb`:double[]>, `layers`:tuple<environment>, `scales`:environment, `mapping`:struct<`x`:language, `y`:language, `colour`:language>, `theme`:struct<`legend.position`:character>, `coordinates`:environment, `facet`:environment, `plot_env`:environment, `labels`:struct<`title`:character, `y`:character, `x`:character, `colour`:character>>", 1
"egg", "FUN", 0, 0, 3, "tuple<struct<`grobs`:list<*>, `layout`:struct<`t`:double[], `l`:double[], `b`:double[], `r`:double[], `z`:double[], `clip`:character[], `name`:character[]>, `widths`:tuple<tuple<struct<`fname`:character, `arg1`:tuple<double, double, double, tuple<struct<`fname`:character, `arg1`:double[], `arg2`:null>>>, `arg2`:null>>, double, tuple<struct<`fname`:character, `arg1`:list<double | tuple<struct<`fname`:character, `arg1`:tuple<double, tuple<struct<`fname`:character, `arg1`:struct<`99_99b46699d5b139a1b3aee0d6583542b5`:tuple<struct<`fname`:character, `arg1`:double[], `arg2`:null>>>, `arg2`:null>>, double>, `arg2`:null>>>, `arg2`:null>>>, `heights`:tuple<tuple<struct<`fname`:character, `arg1`:list<double>, `arg2`:null>>, double, tuple<struct<`fname`:character, `arg1`:tuple<tuple<struct<`fname`:character, `arg1`:double[], `arg2`:null>>, double, double, double, double>, `arg2`:null>>>, `respect`:logical, `rownames`:null, `colnames`:null, `name`:character, `gp`:null, `vp`:null, `children`:tuple<>, `childrenOrder`:character[]>, struct<`grobs`:list<*>, `layout`:struct<`t`:double[], `l`:double[], `b`:double[], `r`:double[], `z`:double[], `clip`:character[], `name`:character[]>, `widths`:tuple<tuple<struct<`fname`:character, `arg1`:double[], `arg2`:null>>, double, tuple<struct<`fname`:character, `arg1`:double[], `arg2`:null>>>, `heights`:tuple<tuple<struct<`fname`:character, `arg1`:double[], `arg2`:null>>, double, tuple<struct<`fname`:character, `arg1`:double[], `arg2`:null>>>, `respect`:logical, `rownames`:null, `colnames`:null, `name`:character, `gp`:null, `vp`:null, `children`:tuple<>, `childrenOrder`:character[]>>", 1
"egg", "FUN", 1, 0, 0, "logical", 1
"egg", "FUN", 1, 0, 1, "struct<`grobs`:list<*>, `layout`:struct<`t`:double[], `l`:double[], `b`:double[], `r`:double[], `z`:double[], `clip`:character[], `name`:character[]>, `widths`:list<double | tuple<struct<`fname`:character, `arg1`:double[], `arg2`:null>> | tuple<struct<`fname`:character, `arg1`:tuple<double, tuple<struct<`fname`:character, `arg1`:struct<`99_c840475bddf249beed7429fda2a60786`:tuple<struct<`fname`:character, `arg1`:double[], `arg2`:null>>>, `arg2`:null>>, double>, `arg2`:null>>>, `heights`:list<double | tuple<struct<`fname`:character, `arg1`:double[], `arg2`:null>>>, `respect`:logical, `rownames`:null, `colnames`:null, `name`:character, `gp`:null, `vp`:null, `children`:tuple<>, `childrenOrder`:character[]>", 1
"egg", "FUN", 1, 0, 2, "struct<`grobs`:list<*>, `layout`:struct<`t`:double[], `l`:double[], `b`:double[], `r`:double[], `z`:double[], `clip`:character[], `name`:character[]>, `widths`:list<double | tuple<struct<`fname`:character, `arg1`:tuple<double, tuple<struct<`fname`:character, `arg1`:struct<`99_c840475bddf249beed7429fda2a60786`:tuple<struct<`fname`:character, `arg1`:double[], `arg2`:null>>>, `arg2`:null>>, double>, `arg2`:null>>>, `heights`:double[], `respect`:logical, `rownames`:null, `colnames`:null, `name`:character, `gp`:null, `vp`:null, `children`:tuple<>, `childrenOrder`:character[]>", 1
"egg", "FUN", 2, 0, 0, "null", 1
"egg", "FUN", 2, 0, 1, "logical", 1
"egg", "FUN", 3, 0, 0, "language", 1
"egg", "FUN", 4, 0, 0, "double", 1
"egg", "FUN", 5, 0, 0, "double", 1
