package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"elasticnet", "cv.enet", -1, 0, 0, "struct<`s`:double[], `cv`:double[], `cv.error`:double[]>", 1
"elasticnet", "cv.enet", 0, 0, 0, "^double[]", 1
"elasticnet", "cv.enet", 1, 0, 0, "double[]", 1
"elasticnet", "cv.enet", 2, 0, 0, "double", 1
"elasticnet", "cv.enet", 3, 0, 0, "double", 1
"elasticnet", "cv.enet", 4, 0, 0, "double[]", 1
"elasticnet", "cv.enet", 5, 0, 0, "character", 1
"elasticnet", "cv.enet", 6, 0, 0, "logical", 1
"elasticnet", "cv.enet", 7, 0, 0, "logical", 1
"elasticnet", "cv.enet", 8, 0, 0, "logical", 1
"elasticnet", "cv.enet", 9, 0, 0, "double", 1
"elasticnet", "cv.enet", 9, 0, 1, "null", 1
"elasticnet", "enet", -1, 0, 0, "struct<`call`:language, `actions`:list<integer>, `allset`:integer[], `beta.pure`:^double[], `vn`:character[], `mu`:double, `normx`:double[], `meanx`:double[], `lambda`:double, `L1norm`:double[], `penalty`:double[], `df`:double[], `Cp`:double[], `sigma2`:double>", 1
"elasticnet", "enet", 0, 0, 0, "^double[]", 1
"elasticnet", "enet", 1, 0, 0, "double[]", 1
"elasticnet", "enet", 2, 0, 0, "double", 1
"elasticnet", "enet", 3, 0, 0, "double", 1
"elasticnet", "enet", 3, 0, 1, "null", 1
"elasticnet", "enet", 4, 0, 0, "logical", 1
"elasticnet", "enet", 5, 0, 0, "logical", 1
"elasticnet", "enet", 6, 0, 0, "logical", 1
"elasticnet", "enet", 7, 0, 0, "double", 1
