package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"emulator", "corrscale", -1, 0, 0, "double", 1
"emulator", "corrscale", 0, 0, 0, "double", 1
"emulator", "f", -1, 0, 0, "double", 1
"emulator", "f", 0, 0, 0, "^double[]", 1
"emulator", "f", 1, 0, 0, "^double[]", 1
"emulator", "f", 2, 0, 0, "double[]", 1
"emulator", "filter", -1, 0, 0, "logical[]", 1
"emulator", "filter", 0, 0, 0, "character[]", 1
"emulator", "fn", -1, 0, 0, "double", 1
"emulator", "fn", 0, 0, 0, "double[]", 1
"emulator", "fn", 1, 0, 0, "^double[]", 1
"emulator", "fn", 2, 0, 0, "double[]", 1
"emulator", "FUN", -1, 0, 0, "double[]", 1
"emulator", "FUN", 0, 0, 0, "double[]", 1
"emulator", "jj", -1, 0, 0, "^double[]", 1
"emulator", "jj", 0, 0, 0, "^double[]", 1
"emulator", "quad.3diag", -1, 0, 0, "complex[]", 1
"emulator", "quad.3diag", 0, 0, 0, "^complex[]", 1
"emulator", "quad.3diag", 1, 0, 0, "^complex[]", 1
"emulator", "quad.3diag", 2, 0, 0, "^complex[]", 1
"emulator", "quad.3form", -1, 0, 0, "^complex[]", 1
"emulator", "quad.3form", 0, 0, 0, "^complex[]", 1
"emulator", "quad.3form", 1, 0, 0, "^complex[]", 1
"emulator", "quad.3form", 2, 0, 0, "^complex[]", 1
"emulator", "quad.3tdiag", -1, 0, 0, "complex[]", 1
"emulator", "quad.3tdiag", 0, 0, 0, "^complex[]", 1
"emulator", "quad.3tdiag", 1, 0, 0, "^complex[]", 1
"emulator", "quad.3tdiag", 2, 0, 0, "^complex[]", 1
"emulator", "quad.3tform", -1, 0, 0, "^complex[]", 1
"emulator", "quad.3tform", 0, 0, 0, "^complex[]", 1
"emulator", "quad.3tform", 1, 0, 0, "^complex[]", 1
"emulator", "quad.3tform", 2, 0, 0, "^complex[]", 1
"emulator", "quad.diag", -1, 0, 0, "complex[]", 1
"emulator", "quad.diag", 0, 0, 0, "^complex[]", 1
"emulator", "quad.diag", 1, 0, 0, "^complex[]", 1
"emulator", "quad.form.inv", -1, 0, 0, "^complex[]", 1
"emulator", "quad.form.inv", 0, 0, 0, "^complex[]", 1
"emulator", "quad.form.inv", 1, 0, 0, "^complex[]", 1
"emulator", "quad.tdiag", -1, 0, 0, "complex[]", 1
"emulator", "quad.tdiag", 0, 0, 0, "^complex[]", 1
"emulator", "quad.tdiag", 1, 0, 0, "^complex[]", 1
"emulator", "quad.tform", -1, 0, 0, "^complex[]", 1
"emulator", "quad.tform", 0, 0, 0, "^complex[]", 1
"emulator", "quad.tform", 1, 0, 0, "^complex[]", 1
"emulator", "quad.tform.inv", -1, 0, 0, "^complex[]", 1
"emulator", "quad.tform.inv", 0, 0, 0, "^complex[]", 1
"emulator", "quad.tform.inv", 1, 0, 0, "^complex[]", 1
"emulator", "sample.n.fit", -1, 0, 0, "struct<`rect`:struct<`w`:double, `h`:double, `left`:double, `top`:double>, `text`:struct<`x`:double[], `y`:double[]>>", 1
"emulator", "sample.n.fit", 0, 0, 0, "double", 1
"emulator", "sample.n.fit", 1, 0, 0, "double", 1
"emulator", "sample.n.fit", 2, 0, 0, "double", 1
"emulator", "sample.n.fit", 3, 0, 0, "any => any", 1
"emulator", "sample.n.fit", 4, 0, 0, "character", 1
"emulator", "sigmahatsquared.A", -1, 0, 0, "double", 1
"emulator", "sigmahatsquared.A", 0, 0, 0, "^double[]", 1
"emulator", "sigmahatsquared.A", 1, 0, 0, "^double[]", 1
"emulator", "sigmahatsquared.A", 2, 0, 0, "double[]", 1
