package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"entropy", "chi2.Dirichlet", -1, 0, 0, "double", 1
"entropy", "chi2.Dirichlet", 0, 0, 0, "double[]", 1
"entropy", "chi2.Dirichlet", 1, 0, 0, "double[]", 1
"entropy", "chi2.Dirichlet", 2, 0, 0, "double", 1
"entropy", "chi2.Dirichlet", 3, 0, 0, "double", 1
"entropy", "chi2.Dirichlet", 4, 0, 0, "character[]", 1
"entropy", "chi2.empirical", -1, 0, 0, "double", 1
"entropy", "chi2.empirical", 0, 0, 0, "double[]", 1
"entropy", "chi2.empirical", 1, 0, 0, "double[]", 1
"entropy", "chi2.empirical", 2, 0, 0, "character[]", 1
"entropy", "chi2indep.Dirichlet", -1, 0, 0, "double", 1
"entropy", "chi2indep.Dirichlet", 0, 0, 0, "class<`matrix`>", 1
"entropy", "chi2indep.Dirichlet", 1, 0, 0, "double", 1
"entropy", "chi2indep.Dirichlet", 2, 0, 0, "character[]", 1
"entropy", "chi2indep.empirical", -1, 0, 0, "double", 1
"entropy", "chi2indep.empirical", 0, 0, 0, "class<`matrix`>", 1
"entropy", "chi2indep.empirical", 1, 0, 0, "character[]", 1
"entropy", "chi2indep.plugin", -1, 0, 0, "double", 1
"entropy", "chi2indep.plugin", 0, 0, 0, "class<`matrix`>", 1
"entropy", "chi2indep.plugin", 1, 0, 0, "character[]", 1
"entropy", "chi2indep.shrink", -1, 0, 0, "double", 1
"entropy", "chi2indep.shrink", 0, 0, 0, "class<`matrix`>", 1
"entropy", "chi2indep.shrink", 1, 0, 0, "any", 1
"entropy", "chi2indep.shrink", 2, 0, 0, "character[]", 1
"entropy", "chi2indep.shrink", 3, 0, 0, "logical", 1
"entropy", "chi2.plugin", -1, 0, 0, "double", 1
"entropy", "chi2.plugin", 0, 0, 0, "class<`matrix`>", 1
"entropy", "chi2.plugin", 0, 0, 1, "double[]", 1
"entropy", "chi2.plugin", 1, 0, 0, "class<`matrix`>", 1
"entropy", "chi2.plugin", 1, 0, 1, "double[]", 1
"entropy", "chi2.plugin", 2, 0, 0, "character[]", 1
"entropy", "chi2.shrink", -1, 0, 0, "double", 1
"entropy", "chi2.shrink", 0, 0, 0, "double[]", 1
"entropy", "chi2.shrink", 1, 0, 0, "double[]", 1
"entropy", "chi2.shrink", 2, 0, 0, "any", 1
"entropy", "chi2.shrink", 3, 0, 0, "any", 1
"entropy", "chi2.shrink", 4, 0, 0, "character[]", 1
"entropy", "chi2.shrink", 5, 0, 0, "logical", 1
"entropy", "discretize", -1, 0, 0, "class<`table`>", 1
"entropy", "discretize", 0, 0, 0, "double[]", 1
"entropy", "discretize", 1, 0, 0, "double", 1
"entropy", "discretize", 2, 0, 0, "double[]", 1
"entropy", "discretize2d", -1, 0, 0, "class<`table`>", 1
"entropy", "discretize2d", 0, 0, 0, "double[]", 1
"entropy", "discretize2d", 1, 0, 0, "double[]", 1
"entropy", "discretize2d", 2, 0, 0, "double", 1
"entropy", "discretize2d", 3, 0, 0, "double", 1
"entropy", "discretize2d", 4, 0, 0, "double[]", 1
"entropy", "discretize2d", 5, 0, 0, "double[]", 1
"entropy", "entropy", -1, 0, 0, "double", 1
"entropy", "entropy", 0, 0, 0, "class<`table`>", 1
"entropy", "entropy", 0, 0, 1, "double[]", 1
"entropy", "entropy", 1, 0, 0, "any", 1
"entropy", "entropy", 2, 0, 0, "character[]", 1
"entropy", "entropy", 3, 0, 0, "character[]", 1
"entropy", "entropy", 4, 0, 0, "logical", 1
"entropy", "entropy", 5, 0, 0, "...", 1
"entropy", "entropy.ChaoShen", -1, 0, 0, "double", 1
"entropy", "entropy.ChaoShen", 0, 0, 0, "double[]", 1
"entropy", "entropy.ChaoShen", 1, 0, 0, "character[]", 1
"entropy", "entropy.Dirichlet", -1, 0, 0, "double", 1
"entropy", "entropy.Dirichlet", 0, 0, 0, "double[]", 1
"entropy", "entropy.Dirichlet", 1, 0, 0, "double", 1
"entropy", "entropy.Dirichlet", 2, 0, 0, "character[]", 1
"entropy", "entropy.empirical", -1, 0, 0, "double", 1
"entropy", "entropy.empirical", 0, 0, 0, "class<`table`>", 1
"entropy", "entropy.empirical", 0, 0, 1, "double[]", 1
"entropy", "entropy.empirical", 1, 0, 0, "character[]", 1
"entropy", "entropy.MillerMadow", -1, 0, 0, "double", 1
"entropy", "entropy.MillerMadow", 0, 0, 0, "double[]", 1
"entropy", "entropy.MillerMadow", 1, 0, 0, "character[]", 1
"entropy", "entropy.plugin", -1, 0, 0, "double", 1
"entropy", "entropy.plugin", 0, 0, 0, "class<`matrix`>", 1
"entropy", "entropy.plugin", 0, 0, 1, "class<`table`>", 1
"entropy", "entropy.plugin", 0, 0, 2, "double[]", 1
