package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"epitools", "ageadjust.direct", -1, 0, 0, "double[]", 1
"epitools", "ageadjust.direct", 0, 0, 0, "double[]", 1
"epitools", "ageadjust.direct", 1, 0, 0, "double[]", 1
"epitools", "ageadjust.direct", 2, 0, 0, "null", 1
"epitools", "ageadjust.direct", 3, 0, 0, "double[]", 1
"epitools", "ageadjust.direct", 4, 0, 0, "double", 1
"epitools", "ageadjust.indirect", -1, 0, 0, "list<double[]>", 1
"epitools", "ageadjust.indirect", 0, 0, 0, "double[]", 1
"epitools", "ageadjust.indirect", 1, 0, 0, "double[]", 1
"epitools", "ageadjust.indirect", 2, 0, 0, "double[]", 1
"epitools", "ageadjust.indirect", 3, 0, 0, "double[]", 1
"epitools", "ageadjust.indirect", 4, 0, 0, "null", 1
"epitools", "ageadjust.indirect", 5, 0, 0, "double", 1
"epitools", "as.hour", -1, 0, 0, "list<any>", 1
"epitools", "as.hour", 0, 0, 0, "class<`POSIXlt`, `POSIXt`>", 1
"epitools", "as.hour", 1, 0, 0, "character", 1
"epitools", "as.hour", 2, 0, 0, "character", 1
"epitools", "as.hour", 3, 0, 0, "logical", 1
"epitools", "as.month", -1, 0, 0, "list<any>", 1
"epitools", "as.month", 0, 0, 0, "^character[]", 1
"epitools", "as.month", 1, 0, 0, "character", 1
"epitools", "as.month", 2, 0, 0, "any", 1
"epitools", "as.month", 3, 0, 0, "any", 1
"epitools", "as.month", 4, 0, 0, "double", 1
"epitools", "as.month", 5, 0, 0, "double", 1
"epitools", "as.month", 6, 0, 0, "class<`Date`>", 1
"epitools", "as.month", 7, 0, 0, "logical", 1
"epitools", "as.week", -1, 0, 0, "list<any>", 1
"epitools", "as.week", 0, 0, 0, "class<`Date`>", 1
"epitools", "as.week", 0, 0, 1, "^character[]", 1
"epitools", "as.week", 1, 0, 0, "character", 1
"epitools", "as.week", 2, 0, 0, "any", 1
"epitools", "as.week", 3, 0, 0, "any", 1
"epitools", "as.week", 4, 0, 0, "double", 1
"epitools", "as.week", 5, 0, 0, "double", 1
"epitools", "as.week", 6, 0, 0, "class<`Date`>", 1
"epitools", "as.week", 7, 0, 0, "logical", 1
"epitools", "binom.approx", -1, 0, 0, "class<`data.frame`>", 1
"epitools", "binom.approx", 0, 0, 0, "integer[]", 1
"epitools", "binom.approx", 1, 0, 0, "double[]", 1
"epitools", "binom.approx", 2, 0, 0, "double", 1
"epitools", "binom.exact", -1, 0, 0, "class<`data.frame`>", 1
"epitools", "binom.exact", 0, 0, 0, "integer[]", 1
"epitools", "binom.exact", 1, 0, 0, "double[]", 1
"epitools", "binom.exact", 2, 0, 0, "double", 1
"epitools", "binom.wilson", -1, 0, 0, "class<`data.frame`>", 1
"epitools", "binom.wilson", 0, 0, 0, "integer[]", 1
"epitools", "binom.wilson", 1, 0, 0, "double[]", 1
"epitools", "binom.wilson", 2, 0, 0, "double", 1
"epitools", "colorbrewer.data", -1, 0, 0, "class<`data.frame`>", 1
"epitools", "colorbrewer.display", -1, 0, 0, "class<`data.frame`>", 1
"epitools", "colorbrewer.display", 0, 0, 0, "double", 1
"epitools", "colorbrewer.display", 1, 0, 0, "character", 1
"epitools", "colorbrewer.display", 2, 0, 0, "character", 1
"epitools", "colorbrewer.palette", -1, 0, 0, "character[]", 1
"epitools", "colorbrewer.palette", 0, 0, 0, "double", 1
"epitools", "colorbrewer.palette", 1, 0, 0, "character", 1
"epitools", "colorbrewer.palette", 2, 0, 0, "character[]", 1
"epitools", "colors.matrix", -1, 0, 0, "class<`matrix`>", 1
"epitools", "colors.plot", -1, 0, 0, "class<`matrix`>", 1
"epitools", "colors.plot", 0, 0, 0, "logical", 1
"epitools", "colors.plot", 1, 0, 0, "double", 1
"epitools", "epicurve.dates", -1, 0, 0, "list<any>", 1
"epitools", "epicurve.dates", 0, 0, 0, "class<`Date`>", 1
"epitools", "epicurve.dates", 1, 0, 0, "character", 1
"epitools", "epicurve.dates", 2, 0, 0, "character[]", 1
"epitools", "epicurve.dates", 2, 0, 1, "null", 1
"epitools", "epicurve.dates", 3, 0, 0, "any", 1
"epitools", "epicurve.dates", 4, 0, 0, "any", 1
"epitools", "epicurve.dates", 5, 0, 0, "double", 1
"epitools", "epicurve.dates", 6, 0, 0, "double", 1
"epitools", "epicurve.dates", 7, 0, 0, "double", 1
"epitools", "epicurve.dates", 8, 0, 0, "double", 1
"epitools", "epicurve.dates", 9, 0, 0, "logical", 1
"epitools", "epicurve.dates", 10, 0, 0, "double", 1
"epitools", "epicurve.dates", 11, 0, 0, "logical", 1
"epitools", "epicurve.dates", 12, 0, 0, "...", 1
"epitools", "epicurve.hours", -1, 0, 0, "list<any>", 1
"epitools", "epicurve.hours", 0, 0, 0, "class<`POSIXlt`, `POSIXt`>", 1
"epitools", "epicurve.hours", 1, 0, 0, "character", 1
"epitools", "epicurve.hours", 2, 0, 0, "character", 1
"epitools", "epicurve.hours", 3, 0, 0, "character[]", 1
"epitools", "epicurve.hours", 4, 0, 0, "logical", 1
"epitools", "epicurve.hours", 5, 0, 0, "double", 1
"epitools", "epicurve.hours", 6, 0, 0, "double", 1
"epitools", "epicurve.hours", 7, 0, 0, "logical", 1
"epitools", "epicurve.hours", 8, 0, 0, "double", 1
"epitools", "epicurve.hours", 9, 0, 0, "logical", 1
"epitools", "epicurve.hours", 10, 0, 0, "...", 1
"epitools", "epicurve.table", -1, 0, 0, "class<`matrix`>", 1
"epitools", "epicurve.table", -1, 0, 1, "double[]", 1
"epitools", "epicurve.table", 0, 0, 0, "double[]", 1
"epitools", "epicurve.table", 0, 0, 1, "class<`matrix`>", 1
"epitools", "epicurve.table", 1, 0, 0, "double", 1
"epitools", "epicurve.table", 2, 0, 0, "double", 1
"epitools", "epicurve.table", 3, 0, 0, "logical", 1
"epitools", "epicurve.table", 4, 0, 0, "double", 1
"epitools", "epicurve.table", 5, 0, 0, "logical", 1
"epitools", "epicurve.table", 6, 0, 0, "...", 1
"epitools", "epicurve.weeks", -1, 0, 0, "list<any>", 1
"epitools", "epicurve.weeks", 0, 0, 0, "class<`Date`>", 1
"epitools", "epicurve.weeks", 1, 0, 0, "character", 1
"epitools", "epicurve.weeks", 2, 0, 0, "character[]", 1
"epitools", "epicurve.weeks", 2, 0, 1, "null", 1
"epitools", "epicurve.weeks", 3, 0, 0, "any", 1
"epitools", "epicurve.weeks", 4, 0, 0, "any", 1
"epitools", "epicurve.weeks", 5, 0, 0, "double", 1
"epitools", "epicurve.weeks", 6, 0, 0, "double", 1
"epitools", "epicurve.weeks", 7, 0, 0, "double", 1
"epitools", "epicurve.weeks", 8, 0, 0, "double", 1
"epitools", "epicurve.weeks", 9, 0, 0, "logical", 1
"epitools", "epicurve.weeks", 10, 0, 0, "double", 1
"epitools", "epicurve.weeks", 11, 0, 0, "logical", 1
"epitools", "epicurve.weeks", 12, 0, 0, "class<`Date`>", 1
"epitools", "epicurve.weeks", 13, 0, 0, "logical", 1
"epitools", "epicurve.weeks", 14, 0, 0, "...", 1
"epitools", "epitab", -1, 0, 0, "list<class<`matrix`> | character | double>", 1
"epitools", "epitab", 0, 0, 0, "class<`matrix`>", 1
"epitools", "epitab", 1, 0, 0, "null", 1
"epitools", "epitab", 2, 0, 0, "character[]", 1
"epitools", "epitab", 3, 0, 0, "double", 1
"epitools", "epitab", 4, 0, 0, "character[]", 1
"epitools", "epitab", 5, 0, 0, "any", 1
"epitools", "epitab", 6, 0, 0, "any", 1
"epitools", "epitab", 7, 0, 0, "any", 1
"epitools", "epitab", 8, 0, 0, "character[]", 1
"epitools", "epitab", 9, 0, 0, "logical", 1
"epitools", "epitab", 10, 0, 0, "logical", 1
"epitools", "epitable", -1, 0, 0, "class<`matrix`>", 1
"epitools", "epitable", -1, 0, 1, "class<`table`>", 1
"epitools", "epitable", 0, 0, 0, "...", 1
"epitools", "epitable", 1, 0, 0, "double", 1
"epitools", "epitable", 2, 0, 0, "logical", 1
"epitools", "epitable", 3, 0, 0, "character[]", 1
"epitools", "expand.table", -1, 0, 0, "class<`data.frame`>", 1
"epitools", "expand.table", 0, 0, 0, "class<`array`>", 1
"epitools", "expand.table", 0, 0, 1, "class<`table`>", 1
"epitools", "expected", -1, 0, 0, "class<`matrix`>", 1
"epitools", "expected", 0, 0, 0, "class<`matrix`>", 1
"epitools", "julian2date", -1, 0, 0, "class<`Date`>", 1
"epitools", "julian2date", 0, 0, 0, "double[]", 1
"epitools", "julian2date", -1, 1, 0, "class<`Date`>", 1
"epitools", "julian2date", 0, 1, 0, "^double[]", 1
"epitools", "kapmeier", -1, 0, 0, "class<`matrix`>", 1
"epitools", "kapmeier", 0, 0, 0, "double[]", 1
"epitools", "kapmeier", 1, 0, 0, "double[]", 1
"epitools", "oddsratio", -1, 0, 0, "list<class<`matrix`> | logical>", 1
"epitools", "oddsratio", -1, 0, 1, "list<class<`matrix`> | double>", 1
"epitools", "oddsratio", 0, 0, 0, "class<`matrix`>", 1
"epitools", "oddsratio", 1, 0, 0, "null", 1
"epitools", "oddsratio", 2, 0, 0, "character[]", 1
"epitools", "oddsratio", 3, 0, 0, "double", 1
"epitools", "oddsratio", 4, 0, 0, "character[]", 1
"epitools", "oddsratio", 5, 0, 0, "logical", 1
"epitools", "oddsratio", 6, 0, 0, "logical", 1
"epitools", "oddsratio.fisher", -1, 0, 0, "list<class<`matrix`> | logical>", 1
"epitools", "oddsratio.fisher", 0, 0, 0, "class<`matrix`>", 1
"epitools", "oddsratio.fisher", 1, 0, 0, "null", 1
"epitools", "oddsratio.fisher", 2, 0, 0, "double", 1
"epitools", "oddsratio.fisher", 3, 0, 0, "character", 1
"epitools", "oddsratio.fisher", 4, 0, 0, "logical", 1
"epitools", "oddsratio.fisher", 5, 0, 0, "logical", 1
"epitools", "oddsratio.midp", -1, 0, 0, "list<class<`matrix`> | logical>", 1
"epitools", "oddsratio.midp", 0, 0, 0, "class<`matrix`>", 1
"epitools", "oddsratio.midp", 1, 0, 0, "null", 1
"epitools", "oddsratio.midp", 2, 0, 0, "double", 1
"epitools", "oddsratio.midp", 3, 0, 0, "character[]", 1
"epitools", "oddsratio.midp", 4, 0, 0, "logical", 1
"epitools", "oddsratio.midp", 5, 0, 0, "logical", 1
"epitools", "oddsratio.midp", 6, 0, 0, "double[]", 1
"epitools", "oddsratio.small", -1, 0, 0, "list<class<`matrix`> | logical>", 1
"epitools", "oddsratio.small", 0, 0, 0, "class<`matrix`>", 1
"epitools", "oddsratio.small", 1, 0, 0, "null", 1
"epitools", "oddsratio.small", 2, 0, 0, "double", 1
"epitools", "oddsratio.small", 3, 0, 0, "character", 1
"epitools", "oddsratio.small", 4, 0, 0, "logical", 1
"epitools", "oddsratio.small", 5, 0, 0, "logical", 1
"epitools", "oddsratio.wald", -1, 0, 0, "list<class<`matrix`> | logical>", 1
