package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"extraDistr", "cpp_dbbinom", -1, 0, 0, "double[]", 1
"extraDistr", "cpp_dbbinom", 0, 0, 0, "integer[]", 1
"extraDistr", "cpp_dbbinom", 1, 0, 0, "double", 1
"extraDistr", "cpp_dbbinom", 2, 0, 0, "double", 1
"extraDistr", "cpp_dbbinom", 3, 0, 0, "double", 1
"extraDistr", "cpp_dbbinom", 4, 0, 0, "logical", 1
"extraDistr", "cpp_dbetapr", -1, 0, 0, "double[]", 1
"extraDistr", "cpp_dbetapr", 0, 0, 0, "double[]", 1
"extraDistr", "cpp_dbetapr", 1, 0, 0, "double", 1
"extraDistr", "cpp_dbetapr", 2, 0, 0, "double", 1
"extraDistr", "cpp_dbetapr", 3, 0, 0, "double", 1
"extraDistr", "cpp_dbetapr", 4, 0, 0, "logical", 1
"extraDistr", "cpp_dbhatt", -1, 0, 0, "double[]", 1
"extraDistr", "cpp_dbhatt", 0, 0, 0, "double[]", 1
"extraDistr", "cpp_dbhatt", 1, 0, 0, "double", 1
"extraDistr", "cpp_dbhatt", 2, 0, 0, "double", 1
"extraDistr", "cpp_dbhatt", 3, 0, 0, "double", 1
"extraDistr", "cpp_dbhatt", 4, 0, 0, "logical", 1
"extraDistr", "cpp_dbnbinom", -1, 0, 0, "double[]", 1
"extraDistr", "cpp_dbnbinom", 0, 0, 0, "integer[]", 1
"extraDistr", "cpp_dbnbinom", 1, 0, 0, "double", 1
"extraDistr", "cpp_dbnbinom", 2, 0, 0, "double", 1
"extraDistr", "cpp_dbnbinom", 3, 0, 0, "double", 1
"extraDistr", "cpp_dbnbinom", 4, 0, 0, "logical", 1
"extraDistr", "cpp_dbnorm", -1, 0, 0, "double[]", 1
"extraDistr", "cpp_dbnorm", 0, 0, 0, "double[]", 1
"extraDistr", "cpp_dbnorm", 1, 0, 0, "double[]", 1
"extraDistr", "cpp_dbnorm", 2, 0, 0, "double", 1
"extraDistr", "cpp_dbnorm", 3, 0, 0, "double", 1
"extraDistr", "cpp_dbnorm", 4, 0, 0, "double", 1
"extraDistr", "cpp_dbnorm", 5, 0, 0, "double", 1
"extraDistr", "cpp_dbnorm", 6, 0, 0, "double", 1
"extraDistr", "cpp_dbnorm", 7, 0, 0, "logical", 1
"extraDistr", "cpp_dcat", -1, 0, 0, "double[]", 1
"extraDistr", "cpp_dcat", 0, 0, 0, "double[]", 1
"extraDistr", "cpp_dcat", 1, 0, 0, "class<`matrix`>", 1
