package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"fExtremes", ".depd", -1, 0, 0, "double[]", 1
"fExtremes", ".depd", 0, 0, 0, "double[]", 1
"fExtremes", ".depd", 1, 0, 0, "double", 1
"fExtremes", ".depd", 2, 0, 0, "double", 1
"fExtremes", ".depd", 3, 0, 0, "double", 1
"fExtremes", ".depd", 4, 0, 0, "logical", 1
"fExtremes", ".devd", -1, 0, 0, "double[]", 1
"fExtremes", ".devd", 0, 0, 0, "double[]", 1
"fExtremes", ".devd", 1, 0, 0, "double", 1
"fExtremes", ".devd", 2, 0, 0, "double", 1
"fExtremes", ".devd", 3, 0, 0, "double", 1
"fExtremes", ".devd", 4, 0, 0, "logical", 1
"fExtremes", ".gevFit", -1, 0, 0, "^double[]", 1
"fExtremes", ".gevFit", 0, 0, 0, "double", 1
"fExtremes", ".gevFit", 0, 0, 1, "character", 1
"fExtremes", ".gevFit", 1, 0, 0, "character", 1
"fExtremes", ".gevFit", 2, 0, 0, "logical", 1
"fExtremes", ".gevFit", 3, 0, 0, "null", 1
"fExtremes", ".gevFit", 4, 0, 0, "null", 1
"fExtremes", ".gevFit", 5, 0, 0, "null", 1
"fExtremes", ".gevmleFit", -1, 0, 0, "struct<`n`:integer, `data`:double[], `par.ests`:double[], `par.ses`:double[], `varcov`:^double[], `converged`:integer, `nllh.final`:double>", 1
"fExtremes", ".gevmleFit", 0, 0, 0, "double[]", 1
"fExtremes", ".gevmleFit", 1, 0, 0, "null", 1
"fExtremes", ".gevmleFit", 2, 0, 0, "null", 1
"fExtremes", ".gevpwmFit", -1, 0, 0, "struct<`n`:integer, `data`:double[], `par.ests`:double[], `par.ses`:^logical[], `varcov`:^logical[], `converged`:null, `nllh.final`:null, `call`:language, `selected`:character>", 1
"fExtremes", ".gevpwmFit", 0, 0, 0, "double[]", 1
"fExtremes", ".gevpwmFit", 1, 0, 0, "null", 1
"fExtremes", ".gevpwmFit", 2, 0, 0, "null", 1
"fExtremes", ".gpdmleFit", -1, 0, 0, "struct<`par.ests`:double[], `par.ses`:double[], `fit`:struct<`par`:double[], `value`:double, `counts`:^integer[], `convergence`:integer, `message`:null, `hessian`:^double[]>, `varcov`:^double[]>", 1
"fExtremes", ".gpdmleFit", 0, 0, 0, "double[]", 1
"fExtremes", ".gpdmleFit", 1, 0, 0, "double", 1
"fExtremes", ".gpdmleFit", 2, 0, 0, "character", 1
"fExtremes", ".gpdmleFit", 3, 0, 0, "null", 1
"fExtremes", ".gpdpwmFit", -1, 0, 0, "struct<`par.ests`:double[], `par.ses`:double[], `fit`:null, `varcov`:null>", 1
"fExtremes", ".gpdpwmFit", 0, 0, 0, "double[]", 1
"fExtremes", ".gpdpwmFit", 1, 0, 0, "double", 1
"fExtremes", ".pepd", -1, 0, 0, "double[]", 1
"fExtremes", ".pepd", 0, 0, 0, "double[]", 1
"fExtremes", ".pepd", 1, 0, 0, "double", 1
"fExtremes", ".pepd", 2, 0, 0, "double", 1
"fExtremes", ".pepd", 3, 0, 0, "double", 1
"fExtremes", ".pepd", 4, 0, 0, "logical", 1
"fExtremes", ".pevd", -1, 0, 0, "double[]", 1
"fExtremes", ".pevd", 0, 0, 0, "double[]", 1
"fExtremes", ".pevd", 1, 0, 0, "double", 1
"fExtremes", ".pevd", 2, 0, 0, "double", 1
"fExtremes", ".pevd", 3, 0, 0, "double", 1
"fExtremes", ".pevd", 4, 0, 0, "logical", 1
"fExtremes", ".qepd", -1, 0, 0, "double[]", 1
"fExtremes", ".qepd", 0, 0, 0, "double[]", 1
"fExtremes", ".qepd", 1, 0, 0, "double", 1
"fExtremes", ".qepd", 2, 0, 0, "double", 1
"fExtremes", ".qepd", 3, 0, 0, "double", 1
"fExtremes", ".qepd", 4, 0, 0, "logical", 1
"fExtremes", ".qevd", -1, 0, 0, "double[]", 1
"fExtremes", ".qevd", 0, 0, 0, "double[]", 1
"fExtremes", ".qevd", 1, 0, 0, "double", 1
"fExtremes", ".qevd", 2, 0, 0, "double", 1
"fExtremes", ".qevd", 3, 0, 0, "double", 1
"fExtremes", ".qevd", 4, 0, 0, "logical", 1
"fExtremes", ".repd", -1, 0, 0, "double[]", 1
"fExtremes", ".repd", 0, 0, 0, "double", 1
"fExtremes", ".repd", 1, 0, 0, "double", 1
"fExtremes", ".repd", 2, 0, 0, "double", 1
"fExtremes", ".repd", 3, 0, 0, "double", 1
"fExtremes", ".revd", -1, 0, 0, "double[]", 1
"fExtremes", ".revd", 0, 0, 0, "double", 1
"fExtremes", ".revd", 1, 0, 0, "double", 1
"fExtremes", ".revd", 2, 0, 0, "double", 1
"fExtremes", ".revd", 3, 0, 0, "double", 1
"fExtremes", "blockMaxima", -1, 0, 0, "^double[]", 1
"fExtremes", "blockMaxima", 0, 0, 0, "^double[]", 1
"fExtremes", "blockMaxima", 1, 0, 0, "character", 1
"fExtremes", "blockMaxima", 1, 0, 1, "double", 1
"fExtremes", "blockMaxima", 2, 0, 0, "logical", 1
