package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"fansi", "check_assumptions", -1, 0, 0, "logical", 1
"fansi", "fansi_lines", -1, 0, 0, "character[]", 1
"fansi", "fansi_lines", 0, 0, 0, "character[]", 1
"fansi", "fansi_lines", 1, 0, 0, "double", 1
"fansi", "forder", -1, 0, 0, "integer[]", 1
"fansi", "forder", 0, 0, 0, "integer[]", 1
"fansi", "has_ctl", -1, 0, 0, "logical", 1
"fansi", "has_ctl", 0, 0, 0, "character", 1
"fansi", "has_ctl", 1, 0, 0, "character", 1
"fansi", "has_ctl", 2, 0, 0, "logical", 1
"fansi", "has_ctl", 3, 0, 0, "any", 1
"fansi", "has_sgr", -1, 0, 0, "logical", 1
"fansi", "has_sgr", 0, 0, 0, "character", 1
"fansi", "has_sgr", 1, 0, 0, "logical", 1
"fansi", "html_code_block", -1, 0, 0, "character", 1
"fansi", "html_code_block", 0, 0, 0, "character", 1
"fansi", "html_code_block", 1, 0, 0, "character", 1
"fansi", "html_esc", -1, 0, 0, "character", 1
"fansi", "html_esc", 0, 0, 0, "character", 1
"fansi", "nchar_ctl", -1, 0, 0, "integer", 1
"fansi", "nchar_ctl", 0, 0, 0, "character", 1
"fansi", "nchar_ctl", 1, 0, 0, "character", 1
"fansi", "nchar_ctl", 2, 0, 0, "logical", 1
"fansi", "nchar_ctl", 3, 0, 0, "null", 1
"fansi", "nchar_ctl", 4, 0, 0, "character[]", 1
"fansi", "nchar_ctl", 5, 0, 0, "logical", 1
"fansi", "nchar_ctl", 6, 0, 0, "any", 1
"fansi", "nchar_sgr", -1, 0, 0, "integer", 1
"fansi", "nchar_sgr", 0, 0, 0, "character", 1
"fansi", "nchar_sgr", 1, 0, 0, "character", 1
"fansi", "nchar_sgr", 2, 0, 0, "logical", 1
"fansi", "nchar_sgr", 3, 0, 0, "null", 1
"fansi", "nchar_sgr", 4, 0, 0, "logical", 1
"fansi", "nzchar_ctl", -1, 0, 0, "logical", 1
"fansi", "nzchar_ctl", 0, 0, 0, "character", 1
"fansi", "nzchar_ctl", 1, 0, 0, "null", 1
"fansi", "nzchar_ctl", 2, 0, 0, "character", 1
"fansi", "nzchar_ctl", 3, 0, 0, "logical", 1
"fansi", "sgr_to_html", -1, 0, 0, "character", 1
"fansi", "sgr_to_html", 0, 0, 0, "character", 1
"fansi", "sgr_to_html", 1, 0, 0, "logical", 1
"fansi", "sgr_to_html", 2, 0, 0, "character[]", 1
"fansi", "strip_ctl", -1, 0, 0, "character", 1
"fansi", "strip_ctl", 0, 0, 0, "character", 1
"fansi", "strip_ctl", 1, 0, 0, "character[]", 1
"fansi", "strip_ctl", 2, 0, 0, "logical", 1
"fansi", "strip_ctl", 3, 0, 0, "any", 1
"fansi", "strip_sgr", -1, 0, 0, "character", 1
"fansi", "strip_sgr", 0, 0, 0, "character", 1
"fansi", "strip_sgr", 1, 0, 0, "logical", 1
"fansi", "strsplit_ctl", -1, 0, 0, "list<character[]>", 1
"fansi", "strsplit_ctl", 0, 0, 0, "character", 1
"fansi", "strsplit_ctl", 1, 0, 0, "character", 1
"fansi", "strsplit_ctl", 2, 0, 0, "logical", 1
"fansi", "strsplit_ctl", 3, 0, 0, "logical", 1
"fansi", "strsplit_ctl", 4, 0, 0, "logical", 1
"fansi", "strsplit_ctl", 5, 0, 0, "logical", 1
"fansi", "strsplit_ctl", 6, 0, 0, "character[]", 1
"fansi", "strsplit_ctl", 7, 0, 0, "character[]", 1
"fansi", "strsplit_sgr", -1, 0, 0, "list<character[]>", 1
"fansi", "strsplit_sgr", 0, 0, 0, "character", 1
"fansi", "strsplit_sgr", 1, 0, 0, "character", 1
"fansi", "strsplit_sgr", 2, 0, 0, "logical", 1
"fansi", "strsplit_sgr", 3, 0, 0, "logical", 1
"fansi", "strsplit_sgr", 4, 0, 0, "logical", 1
"fansi", "strsplit_sgr", 5, 0, 0, "logical", 1
"fansi", "strsplit_sgr", 6, 0, 0, "character[]", 1
"fansi", "strtrim_ctl", -1, 0, 0, "character", 1
"fansi", "strtrim_ctl", 0, 0, 0, "character", 1
"fansi", "strtrim_ctl", 1, 0, 0, "double", 1
"fansi", "strtrim_ctl", 2, 0, 0, "logical", 1
"fansi", "strtrim_ctl", 3, 0, 0, "character", 1
"fansi", "strwrap2_ctl", -1, 0, 0, "character[]", 1
"fansi", "strwrap2_ctl", 0, 0, 0, "character[]", 1
"fansi", "strwrap2_ctl", 1, 0, 0, "double", 1
"fansi", "strwrap2_ctl", 2, 0, 0, "double", 1
"fansi", "strwrap2_ctl", 3, 0, 0, "double", 1
"fansi", "strwrap2_ctl", 4, 0, 0, "character", 1
"fansi", "strwrap2_ctl", 5, 0, 0, "logical", 1
"fansi", "strwrap2_ctl", 6, 0, 0, "character", 1
"fansi", "strwrap2_ctl", 7, 0, 0, "logical", 1
"fansi", "strwrap2_ctl", 8, 0, 0, "character", 1
"fansi", "strwrap2_ctl", 9, 0, 0, "logical", 1
"fansi", "strwrap2_ctl", 10, 0, 0, "logical", 1
"fansi", "strwrap2_ctl", 11, 0, 0, "double[]", 1
"fansi", "strwrap2_ctl", 12, 0, 0, "logical", 1
"fansi", "strwrap2_ctl", 13, 0, 0, "character[]", 1
"fansi", "strwrap2_ctl", 14, 0, 0, "character", 1
"fansi", "strwrap_ctl", -1, 0, 0, "character[]", 1
"fansi", "strwrap_ctl", 0, 0, 0, "character", 1
"fansi", "strwrap_ctl", 1, 0, 0, "double", 1
"fansi", "strwrap_ctl", 2, 0, 0, "double", 1
"fansi", "strwrap_ctl", 3, 0, 0, "double", 1
"fansi", "strwrap_ctl", 4, 0, 0, "character", 1
"fansi", "strwrap_ctl", 5, 0, 0, "logical", 1
"fansi", "strwrap_ctl", 6, 0, 0, "character", 1
"fansi", "strwrap_ctl", 7, 0, 0, "logical", 1
"fansi", "strwrap_ctl", 8, 0, 0, "character[]", 1
"fansi", "strwrap_ctl", 9, 0, 0, "character", 1
"fansi", "substr2_ctl", -1, 0, 0, "character", 1
"fansi", "substr2_ctl", 0, 0, 0, "character", 1
"fansi", "substr2_ctl", 1, 0, 0, "double", 1
"fansi", "substr2_ctl", 2, 0, 0, "double", 1
"fansi", "substr2_ctl", 3, 0, 0, "character", 1
"fansi", "substr2_ctl", 4, 0, 0, "character", 1
"fansi", "substr2_ctl", 5, 0, 0, "logical", 1
"fansi", "substr2_ctl", 6, 0, 0, "integer", 1
"fansi", "substr2_ctl", 7, 0, 0, "logical", 1
"fansi", "substr2_ctl", 8, 0, 0, "character[]", 1
"fansi", "substr2_ctl", 9, 0, 0, "character[]", 1
"fansi", "substr_ctl", -1, 0, 0, "character", 1
"fansi", "substr_ctl", 0, 0, 0, "character", 1
"fansi", "substr_ctl", 1, 0, 0, "double", 1
"fansi", "substr_ctl", 2, 0, 0, "double", 1
"fansi", "substr_ctl", 3, 0, 0, "logical", 1
"fansi", "substr_ctl", 4, 0, 0, "character[]", 1
"fansi", "substr_ctl", 5, 0, 0, "character[]", 1
"fansi", "substr_ctl_internal", -1, 0, 0, "character[]", 1
"fansi", "substr_ctl_internal", 0, 0, 0, "character", 1
"fansi", "substr_ctl_internal", 1, 0, 0, "integer[]", 1
"fansi", "substr_ctl_internal", 2, 0, 0, "integer[]", 1
"fansi", "substr_ctl_internal", 3, 0, 0, "integer", 1
"fansi", "substr_ctl_internal", 4, 0, 0, "any", 1
"fansi", "substr_ctl_internal", 5, 0, 0, "logical", 1
"fansi", "substr_ctl_internal", 6, 0, 0, "any", 1
"fansi", "substr_ctl_internal", 7, 0, 0, "logical", 1
"fansi", "substr_ctl_internal", 8, 0, 0, "integer[]", 1
"fansi", "substr_ctl_internal", 9, 0, 0, "logical", 1
"fansi", "substr_ctl_internal", 10, 0, 0, "logical", 1
"fansi", "substr_ctl_internal", 11, 0, 0, "integer", 1
"fansi", "substr_ctl_internal", 12, 0, 0, "integer[]", 1
"fansi", "substr_sgr", -1, 0, 0, "character", 1
"fansi", "substr_sgr", 0, 0, 0, "character", 1
"fansi", "substr_sgr", 1, 0, 0, "double", 1
"fansi", "substr_sgr", 2, 0, 0, "double", 1
"fansi", "substr_sgr", 3, 0, 0, "logical", 1
"fansi", "substr_sgr", 4, 0, 0, "character[]", 1
"fansi", "tabs_as_spaces", -1, 0, 0, "character", 1
"fansi", "tabs_as_spaces", 0, 0, 0, "character", 1
"fansi", "tabs_as_spaces", 1, 0, 0, "double[]", 1
"fansi", "tabs_as_spaces", 2, 0, 0, "logical", 1
"fansi", "tabs_as_spaces", 3, 0, 0, "character", 1
"fansi", "term_cap_test", -1, 0, 0, "character[]", 1
"fansi", "unhandled_ctl", -1, 0, 0, "class<`data.frame`>", 1
"fansi", "unhandled_ctl", 0, 0, 0, "character[]", 1
"fansi", "unhandled_ctl", 1, 0, 0, "character[]", 1
