package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"fastcluster", "hclust", -1, 0, 0, "class<`hclust`>", 1
"fastcluster", "hclust", 0, 0, 0, "class<`dist`>", 1
"fastcluster", "hclust", 1, 0, 0, "character", 1
"fastcluster", "hclust", 2, 0, 0, "class<`table`>", 1
"fastcluster", "hclust", 2, 0, 1, "null", 1
"fastcluster", "hclust.vector", -1, 0, 0, "class<`hclust`>", 1
"fastcluster", "hclust.vector", 0, 0, 0, "class<`data.frame`>", 1
"fastcluster", "hclust.vector", 0, 0, 1, "class<`matrix`>", 1
"fastcluster", "hclust.vector", 1, 0, 0, "character", 1
"fastcluster", "hclust.vector", 2, 0, 0, "null", 1
"fastcluster", "hclust.vector", 2, 0, 1, "class<`table`>", 1
"fastcluster", "hclust.vector", 3, 0, 0, "character", 1
"fastcluster", "hclust.vector", 4, 0, 0, "null", 1
