package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"fdrtool", "approximate.fit", -1, 0, 0, "list<double | double | null>", 1
"fdrtool", "approximate.fit", 0, 0, 0, "double[]", 1
"fdrtool", "approximate.fit", 1, 0, 0, "character", 1
"fdrtool", "approximate.fit", 2, 0, 0, "double[]", 1
"fdrtool", "censored.fit", -1, 0, 0, "class<`matrix`>", 1
"fdrtool", "censored.fit", 0, 0, 0, "double[]", 1
"fdrtool", "censored.fit", 1, 0, 0, "double[]", 1
"fdrtool", "censored.fit", 2, 0, 0, "character", 1
"fdrtool", "dcor0", -1, 0, 0, "double[]", 1
"fdrtool", "dcor0", 0, 0, 0, "double[]", 1
"fdrtool", "dcor0", 1, 0, 0, "double", 1
"fdrtool", "dcor0", 2, 0, 0, "logical", 1
"fdrtool", "dhalfnorm", -1, 0, 0, "double[]", 1
"fdrtool", "dhalfnorm", 0, 0, 0, "double[]", 1
"fdrtool", "dhalfnorm", 1, 0, 0, "double", 1
"fdrtool", "dhalfnorm", 2, 0, 0, "logical", 1
"fdrtool", "ecdf.pval", -1, 0, 0, "class<`ecdf`, `function`, `stepfun`>", 1
"fdrtool", "ecdf.pval", 0, 0, 0, "double[]", 1
"fdrtool", "ecdf.pval", 1, 0, 0, "double", 1
"fdrtool", "f", -1, 0, 0, "double[]", 1
"fdrtool", "f", 0, 0, 0, "double[]", 1
"fdrtool", "f", 1, 0, 0, "double", 1
"fdrtool", "f", 2, 0, 0, "logical", 1
"fdrtool", "fdrtool", -1, 0, 0, "list<double[] | character | class<`matrix`>>", 1
"fdrtool", "fdrtool", 0, 0, 0, "double[]", 1
"fdrtool", "fdrtool", 1, 0, 0, "character[]", 1
"fdrtool", "fdrtool", 2, 0, 0, "logical", 1
"fdrtool", "fdrtool", 3, 0, 0, "logical", 1
"fdrtool", "fdrtool", 4, 0, 0, "logical", 1
"fdrtool", "fdrtool", 5, 0, 0, "character[]", 1
"fdrtool", "fdrtool", 6, 0, 0, "double", 1
"fdrtool", "fitted.monoreg", -1, 0, 0, "double[]", 1
"fdrtool", "fitted.monoreg", 0, 0, 0, "class<`monoreg`>", 1
"fdrtool", "fitted.monoreg", 1, 0, 0, "...", 1
"fdrtool", "fndr.cutoff", -1, 0, 0, "double", 1
"fdrtool", "fndr.cutoff", 0, 0, 0, "double[]", 1
"fdrtool", "fndr.cutoff", 1, 0, 0, "character", 1
"fdrtool", "gcmlcm", -1, 0, 0, "list<double[]>", 1
"fdrtool", "gcmlcm", 0, 0, 0, "double[]", 1
"fdrtool", "gcmlcm", 1, 0, 0, "double[]", 1
"fdrtool", "gcmlcm", 2, 0, 0, "character[]", 1
"fdrtool", "get.nullmodel", -1, 0, 0, "list<class<`function`> | class<`function`> | null>", 1
"fdrtool", "get.nullmodel", 0, 0, 0, "character", 1
"fdrtool", "grenander", -1, 0, 0, "class<`grenander`>", 1
"fdrtool", "grenander", 0, 0, 0, "class<`ecdf`, `function`, `stepfun`>", 1
"fdrtool", "grenander", 1, 0, 0, "character[]", 1
"fdrtool", "hc.score", -1, 0, 0, "double[]", 1
"fdrtool", "hc.score", 0, 0, 0, "double[]", 1
"fdrtool", "hc.thresh", -1, 0, 0, "double", 1
"fdrtool", "hc.thresh", 0, 0, 0, "double[]", 1
"fdrtool", "hc.thresh", 1, 0, 0, "double", 1
