package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"ffbase", "addfforder", -1, 0, 0, "class<`ff`, `ff_vector`>", 1
"ffbase", "addfforder", 0, 0, 0, "class<`ff`, `ff_vector`>", 1
"ffbase", "addfforder", 1, 0, 0, "logical", 1
"ffbase", "addfforder", 2, 0, 0, "...", 1
"ffbase", "any.ff", -1, 0, 0, "logical", 1
"ffbase", "any.ff", 0, 0, 0, "class<`ff`, `ff_vector`>", 1
"ffbase", "any.ff", 1, 0, 0, "...", 1
"ffbase", "any.ff", 2, 0, 0, "logical", 1
"ffbase", "any.ff", 3, 0, 0, "null", 1
"ffbase", "as.character.ff", -1, 0, 0, "class<`ff`, `ff_vector`>", 1
"ffbase", "as.character.ff", 0, 0, 0, "class<`ff`, `ff_vector`>", 1
"ffbase", "as.character.ff", 1, 0, 0, "...", 1
"ffbase", "as.ffdf.ffdf", -1, 0, 0, "class<`ffdf`>", 1
"ffbase", "as.ffdf.ffdf", 0, 0, 0, "class<`ffdf`>", 1
"ffbase", "as.ffdf.ffdf", 1, 0, 0, "...", 1
"ffbase", "as.ffdf.list", -1, 0, 0, "class<`ffdf`>", 1
"ffbase", "as.ffdf.list", 0, 0, 0, "list<class<`ff`, `ff_vector`>>", 1
"ffbase", "binned_sum", -1, 0, 0, "class<`matrix`>", 1
"ffbase", "binned_sum", 0, 0, 0, "double[]", 1
"ffbase", "binned_sum", 1, 0, 0, "class<`factor`>", 1
"ffbase", "binned_sum", 1, 0, 1, "integer[]", 1
"ffbase", "binned_sum", 2, 0, 0, "any", 1
"ffbase", "binned_sum", 3, 0, 0, "...", 1
"ffbase", "binned_sum.default", -1, 0, 0, "class<`matrix`>", 1
"ffbase", "binned_sum.default", 0, 0, 0, "double[]", 1
"ffbase", "binned_sum.default", 1, 0, 0, "class<`factor`>", 1
"ffbase", "binned_sum.default", 1, 0, 1, "integer[]", 1
"ffbase", "binned_sum.default", 2, 0, 0, "any", 1
"ffbase", "binned_sum.default", 3, 0, 0, "...", 1
"ffbase", "binned_tabulate.ff", -1, 0, 0, "class<`matrix`>", 1
"ffbase", "binned_tabulate.ff", 0, 0, 0, "class<`ff`, `ff_vector`>", 1
"ffbase", "binned_tabulate.ff", 1, 0, 0, "class<`ff`, `ff_vector`>", 1
"ffbase", "binned_tabulate.ff", 2, 0, 0, "any", 1
"ffbase", "binned_tabulate.ff", 3, 0, 0, "double", 1
"ffbase", "binned_tabulate.ff", 4, 0, 0, "...", 1
"ffbase", "bySum", -1, 0, 0, "class<`array`>", 1
"ffbase", "bySum", -1, 0, 1, "class<`matrix`>", 1
"ffbase", "bySum", 0, 0, 0, "double[]", 1
"ffbase", "bySum", 1, 0, 0, "class<`factor`>", 1
"ffbase", "bySum", 1, 0, 1, "class<`data.frame`>", 1
"ffbase", "bySum", 2, 0, 0, "logical", 1
"ffbase", "bySum", 3, 0, 0, "null", 1
"ffbase", "bySum", 4, 0, 0, "...", 1
"ffbase", "c.ff", -1, 0, 0, "class<`ff`, `ff_vector`>", 1
"ffbase", "c.ff", 0, 0, 0, "...", 1
"ffbase", "checkRange", -1, 0, 0, "class<`ri`>", 1
"ffbase", "checkRange", 0, 0, 0, "null", 1
"ffbase", "checkRange", 1, 0, 0, "class<`ff`, `ff_vector`>", 1
"ffbase", "chunkexpr", -1, 0, 0, "expression", 1
"ffbase", "chunkexpr", 0, 0, 0, "class<`call`>", 1
"ffbase", "chunkexpr", 0, 0, 1, "expression", 1
"ffbase", "chunkexpr", 1, 0, 0, "character[]", 1
"ffbase", "chunkexpr", 2, 0, 0, "character", 1
"ffbase", "chunkexpr", 3, 0, 0, "character", 1
"ffbase", "coerce_to_allowNA", -1, 0, 0, "list<character[]>", 1
"ffbase", "coerce_to_allowNA", 0, 0, 0, "character[]", 1
"ffbase", "coerce_to_highest_vmode", -1, 0, 0, "class<`ffdf`>", 1
"ffbase", "coerce_to_highest_vmode", -1, 0, 1, "class<`ff`, `ff_vector`>", 1
"ffbase", "coerce_to_highest_vmode", 0, 0, 0, "class<`ffdf`>", 1
"ffbase", "coerce_to_highest_vmode", 0, 0, 1, "class<`ff`, `ff_vector`>", 1
"ffbase", "coerce_to_highest_vmode", 1, 0, 0, "class<`ffdf`>", 1
"ffbase", "coerce_to_highest_vmode", 1, 0, 1, "class<`ff`, `ff_vector`>", 1
"ffbase", "coerce_to_highest_vmode", 1, 0, 2, "integer[]", 1
"ffbase", "coerce_to_highest_vmode", 2, 0, 0, "logical", 1
"ffbase", "cummax.ff", -1, 0, 0, "class<`ff`, `ff_vector`>", 1
"ffbase", "cummax.ff", 0, 0, 0, "class<`ff`, `ff_vector`>", 1
"ffbase", "cummax.ff", 1, 0, 0, "...", 1
"ffbase", "cummin.ff", -1, 0, 0, "class<`ff`, `ff_vector`>", 1
"ffbase", "cummin.ff", 0, 0, 0, "class<`ff`, `ff_vector`>", 1
"ffbase", "cummin.ff", 1, 0, 0, "...", 1
"ffbase", "cumprod.ff", -1, 0, 0, "class<`ff`, `ff_vector`>", 1
"ffbase", "cumprod.ff", 0, 0, 0, "class<`ff`, `ff_vector`>", 1
"ffbase", "cumprod.ff", 1, 0, 0, "...", 1
"ffbase", "cumsum.ff", -1, 0, 0, "class<`ff`, `ff_vector`>", 1
"ffbase", "cumsum.ff", 0, 0, 0, "class<`ff`, `ff_vector`>", 1
"ffbase", "cumsum.ff", 1, 0, 0, "...", 1
"ffbase", "cut.ff", -1, 0, 0, "class<`ff`, `ff_vector`>", 1
"ffbase", "cut.ff", 0, 0, 0, "class<`ff`, `ff_vector`>", 1
"ffbase", "cut.ff", 1, 0, 0, "double", 1
"ffbase", "cut.ff", 2, 0, 0, "...", 1
"ffbase", "duplicated.ff", -1, 0, 0, "class<`ff`, `ff_vector`>", 1
"ffbase", "duplicated.ff", 0, 0, 0, "class<`ff`, `ff_vector`>", 1
"ffbase", "duplicated.ff", 1, 0, 0, "logical", 1
"ffbase", "duplicated.ff", 2, 0, 0, "logical", 1
"ffbase", "duplicated.ff", 3, 0, 0, "logical", 1
"ffbase", "duplicated.ff", 4, 0, 0, "...", 1
"ffbase", "duplicated.ffdf", -1, 0, 0, "class<`ff`, `ff_vector`>", 1
"ffbase", "duplicated.ffdf", 0, 0, 0, "class<`ffdf`>", 1
"ffbase", "duplicated.ffdf", 1, 0, 0, "logical", 1
"ffbase", "duplicated.ffdf", 2, 0, 0, "logical", 1
"ffbase", "duplicated.ffdf", 3, 0, 0, "logical", 1
"ffbase", "duplicated.ffdf", 4, 0, 0, "...", 1
"ffbase", "expand.ffgrid", -1, 0, 0, "class<`ffdf`>", 1
"ffbase", "expand.ffgrid", 0, 0, 0, "...", 1
"ffbase", "expand.ffgrid", 1, 0, 0, "logical", 1
