package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"fftwtools", "fftw", -1, 0, 0, "complex[]", 1
"fftwtools", "fftw", 0, 0, 0, "double[]", 1
"fftwtools", "fftw", 1, 0, 0, "double", 1
"fftwtools", "fftw", 2, 0, 0, "double", 1
"fftwtools", "fftw", 3, 0, 0, "null", 1
"fftwtools", "fftw2d", -1, 0, 0, "class<`matrix`>", 1
"fftwtools", "fftw2d", 0, 0, 0, "class<`matrix`>", 1
"fftwtools", "fftw2d", 1, 0, 0, "double", 1
"fftwtools", "fftw2d", 2, 0, 0, "double", 1
"fftwtools", "fftw_c2c_2d", -1, 0, 0, "class<`matrix`>", 1
"fftwtools", "fftw_c2c_2d", 0, 0, 0, "class<`matrix`>", 1
"fftwtools", "fftw_c2c_2d", 1, 0, 0, "double", 1
"fftwtools", "fftw_c2r", -1, 0, 0, "double[]", 1
"fftwtools", "fftw_c2r", 0, 0, 0, "complex[]", 1
"fftwtools", "fftw_c2r", 1, 0, 0, "double", 1
"fftwtools", "fftw_c2r", 2, 0, 0, "double", 1
"fftwtools", "fftw_c2r", 2, 0, 1, "null", 1
"fftwtools", "fftw_r2c", -1, 0, 0, "complex[]", 1
"fftwtools", "fftw_r2c", 0, 0, 0, "double[]", 1
"fftwtools", "fftw_r2c", 1, 0, 0, "double", 1
"fftwtools", "fftw_r2c_2d", -1, 0, 0, "class<`matrix`>", 1
"fftwtools", "fftw_r2c_2d", 0, 0, 0, "class<`matrix`>", 1
"fftwtools", "fftw_r2c_2d", 1, 0, 0, "double", 1
"fftwtools", "mvfftw", -1, 0, 0, "class<`matrix`>", 1
"fftwtools", "mvfftw", 0, 0, 0, "class<`matrix`>", 1
"fftwtools", "mvfftw", 1, 0, 0, "double", 1
"fftwtools", "mvfftw", 2, 0, 0, "double", 1
"fftwtools", "mvfftw", 3, 0, 0, "double", 1
"fftwtools", "mvfftw", 3, 0, 1, "null", 1
"fftwtools", "mvfftw", 4, 0, 0, "double", 1
"fftwtools", "mvfftw_c2c", -1, 0, 0, "class<`matrix`>", 1
"fftwtools", "mvfftw_c2c", 0, 0, 0, "class<`matrix`>", 1
"fftwtools", "mvfftw_c2c", 1, 0, 0, "double", 1
"fftwtools", "mvfftw_c2c", 2, 0, 0, "double", 1
"fftwtools", "mvfftw_c2r", -1, 0, 0, "class<`matrix`>", 1
"fftwtools", "mvfftw_c2r", 0, 0, 0, "class<`matrix`>", 1
"fftwtools", "mvfftw_c2r", 1, 0, 0, "double", 1
"fftwtools", "mvfftw_c2r", 2, 0, 0, "double", 1
"fftwtools", "mvfftw_c2r", 2, 0, 1, "null", 1
"fftwtools", "mvfftw_c2r", 3, 0, 0, "double", 1
"fftwtools", "mvfftw_r2c", -1, 0, 0, "class<`matrix`>", 1
"fftwtools", "mvfftw_r2c", 0, 0, 0, "class<`matrix`>", 1
"fftwtools", "mvfftw_r2c", 1, 0, 0, "double", 1
"fftwtools", "mvfftw_r2c", 2, 0, 0, "double", 1
