package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"filehash", "checkMap", -1, 0, 0, "class<`filehashDB1`>", 1
"filehash", "checkMap", 0, 0, 0, "class<`filehashDB1`>", 1
"filehash", "checkMap", 1, 0, 0, "...", 1
"filehash", "checkMap", -1, 1, 0, "class<`filehashDB1`>", 1
"filehash", "checkMap", 0, 1, 0, "class<`filehashDB1`>", 1
"filehash", "checkMap", 1, 1, 0, "...", 1
"filehash", "createLockFile", -1, 0, 0, "logical", 1
"filehash", "createLockFile", 0, 0, 0, "character", 1
"filehash", "createQ", -1, 0, 0, "class<`queue`>", 1
"filehash", "createQ", 0, 0, 0, "character", 1
"filehash", "db2env", -1, 0, 0, "environment", 1
"filehash", "db2env", 0, 0, 0, "class<`filehashDB1`>", 1
"filehash", "db2env", 0, 0, 1, "class<`filehashRDS`>", 1
"filehash", "dbCreate", -1, 0, 0, "logical", 1
"filehash", "dbCreate", 0, 0, 0, "character", 1
"filehash", "dbCreate", 1, 0, 0, "...", 1
"filehash", "dbCreate", -1, 1, 0, "logical", 1
"filehash", "dbCreate", 0, 1, 0, "character", 1
"filehash", "dbCreate", 1, 1, 0, "...", 1
"filehash", "dbDelete", -1, 0, 0, "null", 1
"filehash", "dbDelete", 0, 0, 0, "class<`filehashDB1`>", 1
"filehash", "dbDelete", 1, 0, 0, "character", 1
"filehash", "dbDelete", 2, 0, 0, "...", 1
"filehash", "dbDelete", -1, 1, 0, "logical", 1
"filehash", "dbDelete", 0, 1, 0, "class<`filehashRDS`>", 1
"filehash", "dbDelete", 1, 1, 0, "character", 1
"filehash", "dbDelete", 2, 1, 0, "...", 1
"filehash", "dbDelete", -1, 2, 0, "logical", 1
"filehash", "dbDelete", -1, 2, 1, "null", 1
"filehash", "dbDelete", 0, 2, 0, "class<`filehashRDS`>", 1
"filehash", "dbDelete", 0, 2, 1, "class<`filehashDB1`>", 1
"filehash", "dbDelete", 1, 2, 0, "character", 1
