package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"filesstrings", "all_equal", -1, 0, 0, "logical", 1
"filesstrings", "all_equal", 0, 0, 0, "double[]", 1
"filesstrings", "all_equal", 0, 0, 1, "list<integer[]>", 1
"filesstrings", "all_equal", 1, 0, 0, "null", 1
"filesstrings", "all_equal", 1, 0, 1, "double[]", 1
"filesstrings", "all_equal", 1, 0, 2, "class<`matrix`>", 1
"filesstrings", "extend_char_vec", -1, 0, 0, "character[]", 1
"filesstrings", "extend_char_vec", 0, 0, 0, "character[]", 1
"filesstrings", "extend_char_vec", 0, 0, 1, "integer[]", 1
"filesstrings", "extend_char_vec", 1, 0, 0, "null", 1
"filesstrings", "extend_char_vec", 1, 0, 1, "double", 1
"filesstrings", "extend_char_vec", 2, 0, 0, "double", 1
"filesstrings", "extend_char_vec", 2, 0, 1, "null", 1
"filesstrings", "group_close", -1, 0, 0, "list<double[]>", 1
"filesstrings", "group_close", 0, 0, 0, "double[]", 1
"filesstrings", "group_close", 1, 0, 0, "double", 1
"filesstrings", "put_in_pos", -1, 0, 0, "character[]", 1
"filesstrings", "put_in_pos", 0, 0, 0, "character[]", 1
"filesstrings", "put_in_pos", 0, 0, 1, "integer[]", 1
"filesstrings", "put_in_pos", 1, 0, 0, "double[]", 1
"filesstrings", "remove_filename_spaces", -1, 0, 0, "logical[]", 1
"filesstrings", "remove_filename_spaces", 0, 0, 0, "character", 1
"filesstrings", "remove_filename_spaces", 1, 0, 0, "character", 1
"filesstrings", "remove_filename_spaces", 2, 0, 0, "character", 1
