package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"flare", "coef.slim", -1, 0, 0, "null", 1
"flare", "coef.slim", 0, 0, 0, "struct<`beta0`:tuple<double[], double[], double[], double[], double[]>, `beta`:^double[], `intercept`:^double[], `intercept0`:^double[], `Y`:^double[], `X`:^double[], `lambda`:double[], `nlambda`:double, `df`:double[], `method`:character, `q`:double, `ite`:tuple<integer[], integer[], integer[]>, `verbose`:logical, `runtime`:double>", 1
"flare", "coef.slim", 1, 0, 0, "integer[]", 1
"flare", "coef.slim", 2, 0, 0, "integer[]", 1
"flare", "coef.slim", 3, 0, 0, "null", 1
"flare", "filter", -1, 0, 0, "logical[]", 1
"flare", "filter", 0, 0, 0, "character[]", 1
"flare", "plot.select", -1, 0, 0, "null", 1
"flare", "plot.select", 0, 0, 0, "struct<`cov.input`:logical, `lambda`:double[], `nlambda`:double, `ite`:tuple<^double[], ^double[], ^double[]>, `beta`:tuple<null, null, null, null, null>, `path`:tuple<null, null, null, null, null>, `df`:^double[], `sparsity`:double[], `runtime`:double, `icov`:tuple<^double[], ^double[], ^double[], ^double[], ^double[]>, `icov1`:tuple<^double[], ^double[], ^double[], ^double[], ^double[]>, `sigma2`:^double[], `sigma`:^double[], `data`:^double[], `method`:character, `sym`:character, `verbose`:logical, `standardize`:logical, `perturb`:logical, `opt.lambda`:double, `opt.index`:integer, `refit`:null, `opt.sparsity`:double, `opt.icov`:^double[], `criterion`:character>", 1
"flare", "plot.select", 1, 0, 0, "null", 1
"flare", "plot.sim", -1, 0, 0, "null", 1
"flare", "plot.sim", 0, 0, 0, "struct<`data`:^double[], `sigma`:^double[], `sigmahat`:^double[], `omega`:^double[], `theta`:null, `sparsity`:double, `graph.type`:character, `prob`:null>", 1
"flare", "plot.sim", 1, 0, 0, "null", 1
"flare", "plot.slim", -1, 0, 0, "null", 1
"flare", "plot.slim", 0, 0, 0, "struct<`beta0`:tuple<double[], double[], double[], double[], double[]>, `beta`:^double[], `intercept`:^double[], `intercept0`:^double[], `Y`:^double[], `X`:^double[], `lambda`:double[], `nlambda`:double, `df`:double[], `method`:character, `q`:double, `ite`:tuple<integer[], integer[], integer[]>, `verbose`:logical, `runtime`:double>", 1
"flare", "plot.slim", 1, 0, 0, "null", 1
"flare", "plot.sugm", -1, 0, 0, "null", 1
"flare", "plot.sugm", 0, 0, 0, "struct<`cov.input`:logical, `lambda`:double[], `nlambda`:double, `ite`:tuple<^double[], ^double[], ^double[]>, `beta`:tuple<null, null, null, null, null>, `path`:tuple<null, null, null, null, null>, `df`:^double[], `sparsity`:double[], `runtime`:double, `icov`:tuple<^double[], ^double[], ^double[], ^double[], ^double[]>, `icov1`:tuple<^double[], ^double[], ^double[], ^double[], ^double[]>, `sigma2`:^double[], `sigma`:^double[], `data`:^double[], `method`:character, `sym`:character, `verbose`:logical, `standardize`:logical, `perturb`:double>", 1
"flare", "plot.sugm", 1, 0, 0, "logical", 1
"flare", "plot.sugm", 2, 0, 0, "null", 1
"flare", "print.slim", -1, 0, 0, "null", 1
"flare", "print.slim", 0, 0, 0, "struct<`beta0`:tuple<double[], double[], double[]>, `beta`:^double[], `intercept`:^double[], `intercept0`:^double[], `Y`:^double[], `X`:^double[], `lambda`:double[], `nlambda`:integer, `df`:double[], `method`:character, `q`:double, `ite`:tuple<integer[], integer[], integer[]>, `verbose`:logical, `runtime`:double>", 1
"flare", "print.slim", 0, 0, 1, "struct<`beta0`:tuple<double[], double[], double[], double[], double[]>, `beta`:^double[], `intercept`:^double[], `intercept0`:^double[], `Y`:^double[], `X`:^double[], `lambda`:double[], `nlambda`:double, `df`:double[], `method`:character, `q`:character, `ite`:tuple<integer[], integer[], integer[]>, `verbose`:logical, `runtime`:double>", 1
"flare", "print.slim", 0, 0, 2, "struct<`beta0`:tuple<double[], double[], double[], double[], double[]>, `beta`:^double[], `intercept`:^double[], `intercept0`:^double[], `Y`:^double[], `X`:^double[], `lambda`:double[], `nlambda`:double, `df`:double[], `method`:character, `q`:double, `ite`:tuple<integer[], integer[], integer[]>, `verbose`:logical, `runtime`:double>", 1
"flare", "print.slim", 1, 0, 0, "null", 1
"flare", "sugm.plot", -1, 0, 0, "null", 1
"flare", "sugm.plot", 0, 0, 0, "logical", 1
"flare", "sugm.plot", 1, 0, 0, "character", 1
"flare", "sugm.plot", 2, 0, 0, "double", 1
"flare", "sugm.plot", 3, 0, 0, "null", 1
