package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"flexclust", ".local", -1, 0, 0, "null", 1
"flexclust", ".local", 0, 0, 0, "null", 1
"flexclust", ".local", 0, 0, 1, "symbol", 1
"flexclust", ".local", 0, 0, 2, "character", 1
"flexclust", ".local", 0, 0, 3, "^double[]", 1
"flexclust", ".local", 0, 0, 4, "pairlist", 1
"flexclust", ".local", 0, 0, 5, "struct<>", 1
"flexclust", ".local", 1, 0, 0, "null", 1
"flexclust", ".local", 1, 0, 1, "character[]", 1
"flexclust", ".local", 1, 0, 2, "double", 1
"flexclust", ".local", 1, 0, 3, "integer[]", 1
"flexclust", ".local", 1, 0, 4, "symbol", 1
"flexclust", ".local", 1, 0, 5, "null", 1
"flexclust", ".local", 2, 0, 0, "null", 1
"flexclust", ".local", 2, 0, 1, "null", 1
"flexclust", ".local", 2, 0, 2, "any => any", 1
"flexclust", ".local", 2, 0, 3, "character", 1
"flexclust", ".local", 2, 0, 4, "logical", 1
"flexclust", ".local", 2, 0, 5, "struct<>", 1
"flexclust", ".local", 2, 0, 6, "symbol", 1
"flexclust", ".local", 3, 0, 0, "null", 1
"flexclust", ".local", 3, 0, 1, "^double[]", 1
"flexclust", ".local", 3, 0, 2, "character[]", 1
"flexclust", ".local", 3, 0, 3, "null", 1
"flexclust", ".local", 3, 0, 4, "any => any", 1
"flexclust", ".local", 3, 0, 5, "symbol", 1
"flexclust", ".local", 4, 0, 0, "null", 1
"flexclust", ".local", 4, 0, 1, "logical", 1
"flexclust", ".local", 4, 0, 2, "null", 1
"flexclust", ".local", 4, 0, 3, "language", 1
"flexclust", ".local", 5, 0, 0, "null", 1
"flexclust", ".local", 5, 0, 1, "null", 1
"flexclust", ".local", 5, 0, 2, "integer[]", 1
"flexclust", ".local", 6, 0, 0, "null", 1
"flexclust", ".local", 6, 0, 1, "character", 1
"flexclust", ".local", 6, 0, 2, "double", 1
"flexclust", ".local", 7, 0, 0, "language", 1
"flexclust", ".local", 7, 0, 1, "double[]", 1
"flexclust", ".local", 8, 0, 0, "null", 1
"flexclust", ".local", 8, 0, 1, "null", 1
"flexclust", ".local", 8, 0, 2, "^double[]", 1
"flexclust", ".local", 9, 0, 0, "double", 1
"flexclust", ".local", 9, 0, 1, "character", 1
"flexclust", ".local", 10, 0, 0, "double", 1
"flexclust", ".local", 11, 0, 0, "double", 1
"flexclust", ".local", 12, 0, 0, "logical", 1
"flexclust", ".local", 12, 0, 1, "null", 1
"flexclust", ".local", 13, 0, 0, "double", 1
"flexclust", ".local", 14, 0, 0, "logical", 1
"flexclust", ".local", 15, 0, 0, "null", 1
"flexclust", ".local", 16, 0, 0, "null", 1
"flexclust", ".local", 17, 0, 0, "null", 1
