package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"foreign", "adQuote", -1, 0, 0, "character[]", 1
"foreign", "adQuote", 0, 0, 0, "character[]", 1
"foreign", "lookup.xport", -1, 0, 0, "any", 1
"foreign", "lookup.xport", 0, 0, 0, "character", 1
"foreign", "read.arff", -1, 0, 0, "any", 1
"foreign", "read.arff", 0, 0, 0, "character", 1
"foreign", "read.dbf", -1, 0, 0, "class<`data.frame`>", 1
"foreign", "read.dbf", 0, 0, 0, "character", 1
"foreign", "read.dbf", 1, 0, 0, "logical", 1
"foreign", "read.dta", -1, 0, 0, "any", 1
"foreign", "read.dta", 0, 0, 0, "character", 1
"foreign", "read.dta", 1, 0, 0, "logical", 1
"foreign", "read.dta", 2, 0, 0, "logical", 1
"foreign", "read.dta", 3, 0, 0, "logical", 1
"foreign", "read.dta", 4, 0, 0, "logical", 1
"foreign", "read.dta", 5, 0, 0, "logical", 1
"foreign", "read.mtp", -1, 0, 0, "any", 1
"foreign", "read.mtp", 0, 0, 0, "character", 1
"foreign", "read.octave", -1, 0, 0, "any", 1
"foreign", "read.octave", 0, 0, 0, "character", 1
"foreign", "read.S", -1, 0, 0, "any", 1
"foreign", "read.S", 0, 0, 0, "character", 1
"foreign", "read.spss", -1, 0, 0, "any", 1
"foreign", "read.spss", 0, 0, 0, "character", 1
"foreign", "read.spss", 1, 0, 0, "logical", 1
"foreign", "read.spss", 2, 0, 0, "logical", 1
"foreign", "read.spss", 3, 0, 0, "double", 1
"foreign", "read.spss", 4, 0, 0, "logical", 1
"foreign", "read.spss", 5, 0, 0, "logical", 1
"foreign", "read.spss", 6, 0, 0, "null", 1
"foreign", "read.spss", 7, 0, 0, "any", 1
"foreign", "read.spss", 8, 0, 0, "character", 1
"foreign", "read.spss", 9, 0, 0, "character[]", 1
"foreign", "read.spss", 10, 0, 0, "character[]", 1
"foreign", "read.spss", 11, 0, 0, "character", 1
"foreign", "read.spss", 12, 0, 0, "...", 1
"foreign", "read.systat", -1, 0, 0, "class<`data.frame`>", 1
"foreign", "read.systat", 0, 0, 0, "character", 1
"foreign", "read.systat", 1, 0, 0, "logical", 1
"foreign", "write.arff", -1, 0, 0, "null", 1
"foreign", "write.arff", 0, 0, 0, "class<`data.frame`>", 1
"foreign", "write.arff", 1, 0, 0, "character", 1
"foreign", "write.arff", 2, 0, 0, "character", 1
"foreign", "write.arff", 3, 0, 0, "character", 1
"foreign", "write.dbf", -1, 0, 0, "null", 1
"foreign", "write.dbf", 0, 0, 0, "class<`data.frame`>", 1
"foreign", "write.dbf", 1, 0, 0, "character", 1
"foreign", "write.dbf", 2, 0, 0, "logical", 1
"foreign", "write.dbf", 3, 0, 0, "double", 1
"foreign", "write.dta", -1, 0, 0, "null", 1
"foreign", "write.dta", 0, 0, 0, "class<`data.frame`>", 1
"foreign", "write.dta", 1, 0, 0, "character", 1
"foreign", "write.dta", 2, 0, 0, "integer", 1
"foreign", "write.dta", 3, 0, 0, "logical", 1
"foreign", "write.dta", 4, 0, 0, "character", 1
"foreign", "write.dta", 5, 0, 0, "character[]", 1
"foreign", "write.foreign", -1, 0, 0, "null", 1
"foreign", "write.foreign", 0, 0, 0, "class<`data.frame`>", 1
"foreign", "write.foreign", 1, 0, 0, "character", 1
"foreign", "write.foreign", 2, 0, 0, "character", 1
"foreign", "write.foreign", 3, 0, 0, "character", 1
"foreign", "write.foreign", 4, 0, 0, "...", 1
"foreign", "writeForeignSPSS", -1, 0, 0, "null", 1
"foreign", "writeForeignSPSS", 0, 0, 0, "class<`data.frame`>", 1
"foreign", "writeForeignSPSS", 1, 0, 0, "character", 1
"foreign", "writeForeignSPSS", 2, 0, 0, "character", 1
"foreign", "writeForeignSPSS", 3, 0, 0, "null", 1
"foreign", "writeForeignSPSS", 4, 0, 0, "integer", 1
