package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"forestplot", "drawBox", -1, 0, 0, "struct<`path`:null, `name`:character, `n`:integer>", 1
"forestplot", "drawBox", 0, 0, 0, "struct<`x`:double, `y`:double, `width`:double, `height`:double, `justification`:character, `gp`:tuple<>, `clip`:logical, `xscale`:double[], `yscale`:double[], `angle`:double, `layout`:null, `layout.pos.row`:integer[], `layout.pos.col`:integer[], `valid.just`:double[], `valid.pos.row`:integer[], `valid.pos.col`:integer[], `name`:character>", 1
"forestplot", "drawBox", 1, 0, 0, "integer", 1
"forestplot", "drawBox", 2, 0, 0, "struct<`box`:character[], `lines`:character[], `summary`:character[], `zero`:character, `text`:character, `axes`:character, `hrz_lines`:character>", 1
"forestplot", "drawBox", 3, 0, 0, "tuple<struct<`label`:character, `x`:double, `y`:double, `just`:character, `hjust`:null, `vjust`:null, `rot`:double, `check.overlap`:logical, `name`:character, `gp`:struct<`fontface`:character, `cex`:double, `font`:integer>, `vp`:null>, struct<`label`:character, `x`:double, `y`:double, `just`:character, `hjust`:null, `vjust`:null, `rot`:double, `check.overlap`:logical, `name`:character, `gp`:struct<`fontface`:character, `cex`:double, `font`:integer>, `vp`:null>>", 1
"forestplot", "filter", -1, 0, 0, "logical[]", 1
"forestplot", "filter", 0, 0, 0, "character[]", 1
"forestplot", "forestplot.default", -1, 0, 0, "struct<`path`:character, `name`:character, `n`:integer>", 1
"forestplot", "forestplot.default", 0, 0, 0, "^character[]", 1
"forestplot", "forestplot.default", 0, 0, 1, "tuple<tuple<character, character, character, expression>, tuple<character, language, language, language>>", 1
"forestplot", "forestplot.default", 0, 0, 2, "tuple<tuple<character, expression>>", 1
"forestplot", "forestplot.default", 1, 0, 0, "struct<`coef`:^double[], `low`:^double[], `high`:^double[]>", 1
"forestplot", "forestplot.default", 1, 0, 1, "^double[]", 1
"forestplot", "forestplot.default", 2, 0, 0, "null", 1
"forestplot", "forestplot.default", 2, 0, 1, "^double[]", 1
"forestplot", "forestplot.default", 3, 0, 0, "null", 1
"forestplot", "forestplot.default", 3, 0, 1, "^double[]", 1
"forestplot", "forestplot.default", 4, 0, 0, "null", 1
"forestplot", "forestplot.default", 5, 0, 0, "null", 1
"forestplot", "forestplot.default", 5, 0, 1, "logical[]", 1
"forestplot", "forestplot.default", 5, 0, 2, "character", 1
"forestplot", "forestplot.default", 5, 0, 3, "integer", 1
"forestplot", "forestplot.default", 5, 0, 4, "tuple<>", 1
"forestplot", "forestplot.default", 6, 0, 0, "null", 1
"forestplot", "forestplot.default", 6, 0, 1, "integer", 1
"forestplot", "forestplot.default", 6, 0, 2, "pairlist", 1
"forestplot", "forestplot.default", 6, 0, 3, "character", 1
"forestplot", "forestplot.default", 7, 0, 0, "null", 1
"forestplot", "forestplot.default", 8, 0, 0, "double[]", 1
"forestplot", "forestplot.default", 9, 0, 0, "character", 1
"forestplot", "forestplot.default", 10, 0, 0, "double[]", 1
"forestplot", "forestplot.default", 11, 0, 0, "character", 1
"forestplot", "forestplot.default", 12, 0, 0, "null", 1
"forestplot", "forestplot.default", 13, 0, 0, "character", 1
"forestplot", "forestplot.default", 14, 0, 0, "null", 1
"forestplot", "forestplot.default", 15, 0, 0, "struct<`box`:character[], `lines`:character[], `summary`:character[], `zero`:character, `text`:character, `axes`:character, `hrz_lines`:character>", 1
"forestplot", "forestplot.default", 16, 0, 0, "struct<`label`:struct<`fontface`:character, `cex`:double>, `summary`:struct<`fontface`:character, `cex`:double>, `title`:struct<`fontface`:character, `cex`:double, `just`:character>, `xlab`:struct<`fontface`:character, `cex`:double>, `ticks`:struct<`fontface`:character, `cex`:double>, `legend`:struct<`fontface`:character, `cex`:double>, `legend.title`:struct<`fontface`:character, `cex`:double>>", 1
"forestplot", "forestplot.default", 17, 0, 0, "logical", 1
"forestplot", "forestplot.default", 18, 0, 0, "null", 1
"forestplot", "FUN", -1, 0, 0, "null", 1
"forestplot", "FUN", 0, 0, 0, "tuple<character, character, character, expression>", 1
"forestplot", "FUN", 0, 0, 1, "tuple<character, expression>", 1
"forestplot", "FUN", 0, 0, 2, "tuple<character, language, language, language>", 1
"forestplot", "FUN", 0, 0, 3, "integer", 1
