package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"formatR", "count_tokens", -1, 0, 0, "integer[]", 1
"formatR", "count_tokens", 0, 0, 0, "class<`call`>", 1
"formatR", "find_breaks", -1, 0, 0, "list<integer | null>", 1
"formatR", "find_breaks", -1, 0, 1, "list<integer[] | null>", 1
"formatR", "find_breaks", -1, 0, 2, "list<integer[]>", 1
"formatR", "find_breaks", -1, 0, 3, "list<null>", 1
"formatR", "find_breaks", 0, 0, 0, "integer[]", 1
"formatR", "find_breaks", 1, 0, 0, "any", 1
"formatR", "find_breaks", 2, 0, 0, "any", 1
"formatR", "find_breaks", 3, 0, 0, "any", 1
"formatR", "find_breaks", 4, 0, 0, "any", 1
"formatR", "fix_parse_data", -1, 0, 0, "class<`data.frame`>", 1
"formatR", "fix_parse_data", 0, 0, 0, "class<`data.frame`>", 1
"formatR", "fix_parse_data", 1, 0, 0, "any", 1
"formatR", "mask_comments", -1, 0, 0, "character[]", 1
"formatR", "mask_comments", 0, 0, 0, "character[]", 1
"formatR", "mask_comments", 1, 0, 0, "any", 1
"formatR", "mask_comments", 2, 0, 0, "logical", 1
"formatR", "mask_comments", 3, 0, 0, "logical", 1
"formatR", "mask_line_break", -1, 0, 0, "character[]", 1
"formatR", "mask_line_break", 0, 0, 0, "character[]", 1
"formatR", "overflow_message", -1, 0, 0, "character", 1
"formatR", "overflow_message", 0, 0, 0, "integer[]", 1
"formatR", "overflow_message", 1, 0, 0, "integer", 1
"formatR", "overflow_message", 2, 0, 0, "integer", 1
"formatR", "overflow_message", 3, 0, 0, "character", 1
"formatR", "parse_only", -1, 0, 0, "expression", 1
"formatR", "parse_only", 0, 0, 0, "character[]", 1
"formatR", "parse_source", -1, 0, 0, "expression", 1
"formatR", "parse_source", 0, 0, 0, "character[]", 1
"formatR", "reflow_comments", -1, 0, 0, "character[]", 1
"formatR", "reflow_comments", 0, 0, 0, "character[]", 1
"formatR", "reflow_comments", 1, 0, 0, "any", 1
"formatR", "reindent_lines", -1, 0, 0, "character[]", 1
"formatR", "reindent_lines", 0, 0, 0, "character[]", 1
"formatR", "reindent_lines", 1, 0, 0, "double", 1
"formatR", "restore_encoding", -1, 0, 0, "character[]", 1
"formatR", "restore_encoding", 0, 0, 0, "character[]", 1
"formatR", "restore_encoding", 1, 0, 0, "character[]", 1
"formatR", "special_encoding", -1, 0, 0, "character[]", 1
"formatR", "special_encoding", 0, 0, 0, "character[]", 1
"formatR", "tidy_block", -1, 0, 0, "character[]", 1
"formatR", "tidy_block", 0, 0, 0, "character[]", 1
"formatR", "tidy_block", 1, 0, 0, "integer", 1
"formatR", "tidy_block", 2, 0, 0, "logical", 1
"formatR", "tidy_dir", -1, 0, 0, "null", 1
"formatR", "tidy_dir", 0, 0, 0, "character", 1
"formatR", "tidy_dir", 1, 0, 0, "logical", 1
"formatR", "tidy_dir", 2, 0, 0, "...", 1
"formatR", "tidy_eval", -1, 0, 0, "null", 1
"formatR", "tidy_eval", 0, 0, 0, "character", 1
"formatR", "tidy_eval", 1, 0, 0, "...", 1
"formatR", "tidy_eval", 2, 0, 0, "character", 1
"formatR", "tidy_eval", 3, 0, 0, "character", 1
"formatR", "tidy_eval", 4, 0, 0, "environment", 1
"formatR", "tidy_file", -1, 0, 0, "null", 1
"formatR", "tidy_file", 0, 0, 0, "character[]", 1
"formatR", "tidy_file", 1, 0, 0, "...", 1
"formatR", "tidy_source", -1, 0, 0, "list<character[]>", 1
"formatR", "tidy_source", 0, 0, 0, "any", 1
"formatR", "tidy_source", 1, 0, 0, "logical", 1
"formatR", "tidy_source", 2, 0, 0, "logical", 1
"formatR", "tidy_source", 3, 0, 0, "logical", 1
"formatR", "tidy_source", 4, 0, 0, "logical", 1
"formatR", "tidy_source", 5, 0, 0, "double", 1
"formatR", "tidy_source", 6, 0, 0, "any", 1
"formatR", "tidy_source", 7, 0, 0, "logical", 1
"formatR", "tidy_source", 8, 0, 0, "character[]", 1
"formatR", "tidy_source", 8, 0, 1, "null", 1
"formatR", "tidy_source", 9, 0, 0, "integer", 1
"formatR", "tidy_source", 10, 0, 0, "...", 1
"formatR", "tidy_usage", -1, 0, 0, "character", 1
"formatR", "tidy_usage", 0, 0, 0, "character", 1
"formatR", "tidy_usage", 1, 0, 0, "character[]", 1
"formatR", "tidy_usage", 2, 0, 0, "double", 1
"formatR", "tidy_usage", 3, 0, 0, "double", 1
"formatR", "tidy_usage", 4, 0, 0, "character", 1
"formatR", "trimws", -1, 0, 0, "character[]", 1
"formatR", "trimws", 0, 0, 0, "character[]", 1
"formatR", "trimws", 1, 0, 0, "character", 1
"formatR", "unmask_source", -1, 0, 0, "character[]", 1
"formatR", "unmask_source", 0, 0, 0, "character[]", 1
"formatR", "usage", -1, 0, 0, "character[]", 1
"formatR", "usage", 0, 0, 0, "character", 1
"formatR", "usage", 0, 0, 1, "class<`function`>", 1
"formatR", "usage", 1, 0, 0, "double", 1
"formatR", "usage", 2, 0, 0, "logical", 1
"formatR", "usage", 3, 0, 0, "logical", 1
"formatR", "usage", 4, 0, 0, "logical", 1
"formatR", "usage", 5, 0, 0, "character[]", 1
