package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"formula.tools", "as.character.formula", -1, 0, 0, "character", 1
"formula.tools", "as.character.formula", 0, 0, 0, "class<`formula`>", 1
"formula.tools", "as.character.formula", 1, 0, 0, "...", 1
"formula.tools", "env", -1, 0, 0, "environment", 1
"formula.tools", "env", 0, 0, 0, "class<`formula`>", 1
"formula.tools", "env.formula", -1, 0, 0, "environment", 1
"formula.tools", "env.formula", 0, 0, 0, "class<`formula`>", 1
"formula.tools", "get.vars", -1, 0, 0, "character", 1
"formula.tools", "get.vars", 0, 0, 0, "class<`name`>", 1
"formula.tools", "get.vars", 1, 0, 0, "null", 1
"formula.tools", "get.vars", 2, 0, 0, "...", 1
"formula.tools", "get.vars", -1, 1, 0, "character[]", 1
"formula.tools", "get.vars", 0, 1, 0, "class<`call`>", 1
"formula.tools", "get.vars", 1, 1, 0, "null", 1
"formula.tools", "get.vars", 2, 1, 0, "...", 1
"formula.tools", "get.vars", -1, 2, 0, "character", 1
"formula.tools", "get.vars", 0, 2, 0, "class<`name`>", 1
"formula.tools", "get.vars", 1, 2, 0, "class<`data.frame`>", 1
"formula.tools", "get.vars", 2, 2, 0, "...", 1
"formula.tools", "get.vars", -1, 3, 0, "any", 1
"formula.tools", "get.vars", 0, 3, 0, "class<`call`>", 1
"formula.tools", "get.vars", 0, 3, 1, "class<`formula`>", 1
"formula.tools", "get.vars", 0, 3, 2, "double", 1
"formula.tools", "get.vars", 0, 3, 3, "null", 1
"formula.tools", "get.vars", 0, 3, 4, "class<`name`>", 1
"formula.tools", "get.vars", 1, 3, 0, "class<`data.frame`>", 1
"formula.tools", "get.vars", 1, 3, 1, "null", 1
"formula.tools", "get.vars", 2, 3, 0, "...", 1
"formula.tools", "get.vars", -1, 4, 0, "null", 1
"formula.tools", "get.vars", 0, 4, 0, "null", 1
"formula.tools", "get.vars", 1, 4, 0, "null", 1
"formula.tools", "get.vars", 2, 4, 0, "...", 1
"formula.tools", "get.vars", -1, 5, 0, "any", 1
"formula.tools", "get.vars", 0, 5, 0, "class<`formula`>", 1
"formula.tools", "get.vars", 1, 5, 0, "null", 1
"formula.tools", "get.vars", 2, 5, 0, "...", 1
"formula.tools", "get.vars", -1, 6, 0, "character[]", 1
"formula.tools", "get.vars", 0, 6, 0, "class<`call`>", 1
"formula.tools", "get.vars", 1, 6, 0, "class<`data.frame`>", 1
"formula.tools", "get.vars", 2, 6, 0, "...", 1
"formula.tools", "get.vars", -1, 7, 0, "character[]", 1
"formula.tools", "get.vars", 0, 7, 0, "class<`formula`>", 1
"formula.tools", "get.vars", 1, 7, 0, "class<`data.frame`>", 1
"formula.tools", "get.vars", 2, 7, 0, "...", 1
"formula.tools", "get.vars", -1, 8, 0, "character[]", 1
"formula.tools", "get.vars", 0, 8, 0, "null", 1
"formula.tools", "get.vars", 1, 8, 0, "null", 1
"formula.tools", "get.vars", 2, 8, 0, "...", 1
"formula.tools", "get.vars", -1, 9, 0, "character[]", 1
"formula.tools", "get.vars", 0, 9, 0, "double", 1
"formula.tools", "get.vars", 1, 9, 0, "null", 1
"formula.tools", "get.vars", 2, 9, 0, "...", 1
"formula.tools", "invert", -1, 0, 0, "class<`call`>", 1
"formula.tools", "invert", 0, 0, 0, "class<`call`>", 1
"formula.tools", "invert", 1, 0, 0, "...", 1
"formula.tools", "invert", -1, 1, 0, "class<`call`>", 1
"formula.tools", "invert", 0, 1, 0, "class<`call`>", 1
"formula.tools", "invert", 1, 1, 0, "...", 1
"formula.tools", "is.one.sided", -1, 0, 0, "logical", 1
"formula.tools", "is.one.sided", 0, 0, 0, "class<`call`>", 1
"formula.tools", "is.one.sided", 1, 0, 0, "...", 1
"formula.tools", "is.one.sided", -1, 1, 0, "logical", 1
"formula.tools", "is.one.sided", 0, 1, 0, "class<`call`>", 1
"formula.tools", "is.one.sided", 0, 1, 1, "class<`formula`>", 1
"formula.tools", "is.one.sided", 1, 1, 0, "...", 1
"formula.tools", "is.one.sided", -1, 2, 0, "logical", 1
"formula.tools", "is.one.sided", 0, 2, 0, "class<`formula`>", 1
"formula.tools", "is.one.sided", 1, 2, 0, "...", 1
"formula.tools", "is.two.sided", -1, 0, 0, "logical", 1
"formula.tools", "is.two.sided", 0, 0, 0, "class<`formula`>", 1
"formula.tools", "is.two.sided", 1, 0, 0, "...", 1
"formula.tools", "is.two.sided", -1, 1, 0, "logical", 1
"formula.tools", "is.two.sided", 0, 1, 0, "class<`call`>", 1
"formula.tools", "is.two.sided", 0, 1, 1, "class<`formula`>", 1
"formula.tools", "is.two.sided", 1, 1, 0, "...", 1
"formula.tools", "is.two.sided", -1, 2, 0, "logical", 1
"formula.tools", "is.two.sided", 0, 2, 0, "class<`call`>", 1
"formula.tools", "is.two.sided", 1, 2, 0, "...", 1
"formula.tools", "lhs", -1, 0, 0, "class<`name`>", 1
"formula.tools", "lhs", 0, 0, 0, "class<`<-`>", 1
"formula.tools", "lhs", 1, 0, 0, "...", 1
"formula.tools", "lhs", -1, 1, 0, "class<`call`>", 1
"formula.tools", "lhs", -1, 1, 1, "class<`name`>", 1
"formula.tools", "lhs", -1, 1, 2, "double", 1
"formula.tools", "lhs", -1, 1, 3, "expression", 1
"formula.tools", "lhs", -1, 1, 4, "null", 1
"formula.tools", "lhs", 0, 1, 0, "class<`call`>", 1
"formula.tools", "lhs", 0, 1, 1, "class<`formula`>", 1
"formula.tools", "lhs", 0, 1, 2, "class<`<-`>", 1
"formula.tools", "lhs", 0, 1, 3, "expression", 1
"formula.tools", "lhs", 1, 1, 0, "...", 1
"formula.tools", "lhs", -1, 2, 0, "expression", 1
"formula.tools", "lhs", 0, 2, 0, "expression", 1
"formula.tools", "lhs", 1, 2, 0, "...", 1
"formula.tools", "lhs", -1, 3, 0, "class<`call`>", 1
"formula.tools", "lhs", -1, 3, 1, "class<`name`>", 1
"formula.tools", "lhs", -1, 3, 2, "double", 1
"formula.tools", "lhs", -1, 3, 3, "null", 1
"formula.tools", "lhs", 0, 3, 0, "class<`formula`>", 1
"formula.tools", "lhs", 1, 3, 0, "...", 1
"formula.tools", "lhs", -1, 4, 0, "class<`call`>", 1
"formula.tools", "lhs", -1, 4, 1, "class<`name`>", 1
"formula.tools", "lhs", -1, 4, 2, "double", 1
"formula.tools", "lhs", -1, 4, 3, "null", 1
"formula.tools", "lhs", 0, 4, 0, "class<`call`>", 1
"formula.tools", "lhs", 1, 4, 0, "...", 1
"formula.tools", "lhs<-", -1, 0, 0, "class<`formula`>", 1
"formula.tools", "lhs<-", 0, 0, 0, "class<`formula`>", 1
"formula.tools", "lhs<-", 1, 0, 0, "class<`call`>", 1
"formula.tools", "lhs<-", 1, 0, 1, "class<`name`>", 1
"formula.tools", "lhs<-", -1, 1, 0, "class<`call`>", 1
"formula.tools", "lhs<-", 0, 1, 0, "class<`call`>", 1
"formula.tools", "lhs<-", 1, 1, 0, "class<`name`>", 1
"formula.tools", "lhs<-", -1, 2, 0, "class<`call`>", 1
"formula.tools", "lhs<-", -1, 2, 1, "class<`formula`>", 1
"formula.tools", "lhs<-", 0, 2, 0, "class<`call`>", 1
"formula.tools", "lhs<-", 0, 2, 1, "class<`formula`>", 1
"formula.tools", "lhs<-", 1, 2, 0, "class<`name`>", 1
"formula.tools", "lhs<-", 1, 2, 1, "class<`call`>", 1
"formula.tools", "lhs.vars", -1, 0, 0, "character[]", 1
"formula.tools", "lhs.vars", -1, 0, 1, "null", 1
"formula.tools", "lhs.vars", 0, 0, 0, "class<`formula`>", 1
"formula.tools", "lhs.vars", 1, 0, 0, "...", 1
"formula.tools", "lhs.vars", -1, 1, 0, "character[]", 1
"formula.tools", "lhs.vars", -1, 1, 1, "null", 1
"formula.tools", "lhs.vars", 0, 1, 0, "class<`formula`>", 1
"formula.tools", "lhs.vars", 1, 1, 0, "...", 1
"formula.tools", "op", -1, 0, 0, "class<`name`>", 1
"formula.tools", "op", 0, 0, 0, "class<`call`>", 1
"formula.tools", "op", -1, 1, 0, "class<`name`>", 1
"formula.tools", "op", 0, 1, 0, "class<`formula`>", 1
"formula.tools", "op", -1, 2, 0, "class<`name`>", 1
"formula.tools", "op", 0, 2, 0, "class<`<-`>", 1
"formula.tools", "op", -1, 3, 0, "class<`name`>", 1
"formula.tools", "op", -1, 3, 1, "expression", 1
"formula.tools", "op", -1, 3, 2, "null", 1
"formula.tools", "op", 0, 3, 0, "class<`<-`>", 1
"formula.tools", "op", 0, 3, 1, "class<`call`>", 1
"formula.tools", "op", 0, 3, 2, "class<`formula`>", 1
"formula.tools", "op", 0, 3, 3, "expression", 1
"formula.tools", "op", 0, 3, 4, "class<`name`>", 1
"formula.tools", "op", -1, 4, 0, "expression", 1
"formula.tools", "op", 0, 4, 0, "expression", 1
"formula.tools", "op", -1, 5, 0, "null", 1
"formula.tools", "op", 0, 5, 0, "class<`name`>", 1
"formula.tools", "op<-", -1, 0, 0, "class<`call`>", 1
"formula.tools", "op<-", 0, 0, 0, "class<`call`>", 1
"formula.tools", "op<-", 1, 0, 0, "class<`name`>", 1
"formula.tools", "op<-", -1, 1, 0, "class<`call`>", 1
