package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"fpc", "@", -1, 0, 0, "double[]", 1
"fpc", "@", 0, 0, 0, "language", 1
"fpc", "@", 0, 0, 1, "^double[]", 1
"fpc", "@", 1, 0, 0, "^double[]", 1
"fpc", "@", 2, 0, 0, "double[]", 1
"fpc", "adcoord", -1, 0, 0, "struct<`ev`:double[], `units`:^double[], `proj`:^double[]>", 1
"fpc", "adcoord", 0, 0, 0, "^double[]", 1
"fpc", "adcoord", 1, 0, 0, "logical[]", 1
"fpc", "adcoord", 2, 0, 0, "double", 1
"fpc", "ancoord", -1, 0, 0, "struct<`ev`:double[], `units`:^double[], `proj`:^double[], `nn`:double>", 1
"fpc", "ancoord", 0, 0, 0, "^double[]", 1
"fpc", "ancoord", 1, 0, 0, "logical[]", 1
"fpc", "ancoord", 2, 0, 0, "double", 1
"fpc", "ancoord", 3, 0, 0, "double", 1
"fpc", "ancoord", 4, 0, 0, "character", 1
"fpc", "ancoord", 5, 0, 0, "double", 1
"fpc", "ancoord", 6, 0, 0, "null", 1
"fpc", "awcoord", -1, 0, 0, "struct<`ev`:double[], `units`:^double[], `proj`:^double[], `wg`:double[]>", 1
"fpc", "awcoord", 0, 0, 0, "^double[]", 1
"fpc", "awcoord", 1, 0, 0, "integer[]", 1
"fpc", "awcoord", 2, 0, 0, "double", 1
"fpc", "awcoord", 3, 0, 0, "character", 1
"fpc", "awcoord", 4, 0, 0, "character", 1
"fpc", "awcoord", 5, 0, 0, "logical", 1
"fpc", "awcoord", 6, 0, 0, "double", 1
"fpc", "awcoord", 7, 0, 0, "double", 1
"fpc", "awcoord", 8, 0, 0, "double", 1
"fpc", "awcoord", 9, 0, 0, "null", 1
"fpc", "batcoord", -1, 0, 0, "struct<`ev`:double[], `rev`:double[], `units`:^double[], `proj`:^double[]>", 1
"fpc", "batcoord", 0, 0, 0, "^double[]", 1
"fpc", "batcoord", 1, 0, 0, "logical[]", 1
"fpc", "batcoord", 2, 0, 0, "double", 1
"fpc", "batcoord", 3, 0, 0, "character", 1
"fpc", "batvarcoord", -1, 0, 0, "struct<`ev`:double[], `rev`:double[], `units`:^double[], `proj`:^double[], `W`:^double[], `S1`:^double[], `S2`:^double[]>", 1
"fpc", "batvarcoord", 0, 0, 0, "^double[]", 1
"fpc", "batvarcoord", 1, 0, 0, "integer[]", 1
"fpc", "batvarcoord", 2, 0, 0, "double", 1
"fpc", "bhattacharyya.matrix", -1, 0, 0, "^double[]", 1
"fpc", "bhattacharyya.matrix", 0, 0, 0, "^double[]", 1
"fpc", "bhattacharyya.matrix", 1, 0, 0, "double[]", 1
"fpc", "bhattacharyya.matrix", 2, 0, 0, "tuple<double[], double[]>", 1
"fpc", "bhattacharyya.matrix", 3, 0, 0, "logical", 1
"fpc", "calinhara", -1, 0, 0, "double", 1
"fpc", "calinhara", 0, 0, 0, "struct<`Sepal.Length`:double[], `Sepal.Width`:double[], `Petal.Length`:double[], `Petal.Width`:double[]>", 1
"fpc", "calinhara", 0, 0, 1, "^double[]", 1
"fpc", "calinhara", 1, 0, 0, "integer[]", 1
"fpc", "calinhara", 2, 0, 0, "integer", 1
"fpc", "can", -1, 0, 0, "double", 1
"fpc", "can", 0, 0, 0, "double", 1
"fpc", "can", 1, 0, 0, "double", 1
"fpc", "cat2bin", -1, 0, 0, "struct<`data`:^double[], `variableinfo`:tuple<struct<`type`:character, `varnum`:double>, struct<`type`:character, `varnum`:double>, struct<`type`:character, `levels`:character[], `ncat`:integer, `varnum`:integer[]>, struct<`type`:character, `levels`:character[], `ncat`:integer, `varnum`:integer[]>>>", 1
"fpc", "cat2bin", 0, 0, 0, "^double[]", 1
"fpc", "cat2bin", 1, 0, 0, "integer[]", 1
"fpc", "cdbw", -1, 0, 0, "struct<`cdbw`:double, `cohesion`:double, `compactness`:double, `sep`:double>", 1
"fpc", "cdbw", 0, 0, 0, "^double[]", 1
"fpc", "cdbw", 1, 0, 0, "double[]", 1
"fpc", "cdbw", 2, 0, 0, "double", 1
"fpc", "cdbw", 3, 0, 0, "double[]", 1
"fpc", "cdbw", 4, 0, 0, "logical", 1
"fpc", "cdbw", 5, 0, 0, "logical", 1
"fpc", "cgrestandard", -1, 0, 0, "struct<``:tuple<null, struct<`avewithin`:double, `mnnd`:double, `cvnnd`:double, `maxdiameter`:double, `widestgap`:double, `sindex`:double, `minsep`:double, `asw`:double, `dindex`:double, `denscut`:double, `highdgap`:double, `pearsongamma`:double, `withinss`:double, `entropy`:double, `pamc`:double, `dmode`:double>, struct<`avewithin`:double, `mnnd`:double, `cvnnd`:double, `maxdiameter`:double, `widestgap`:double, `sindex`:double, `minsep`:double, `asw`:double, `dindex`:double, `denscut`:double, `highdgap`:double, `pearsongamma`:double, `withinss`:double, `entropy`:double, `pamc`:double, `dmode`:double>>, ``:tuple<null, struct<`avewithin`:double, `mnnd`:double, `cvnnd`:double, `maxdiameter`:double, `widestgap`:double, `sindex`:double, `minsep`:double, `asw`:double, `dindex`:double, `denscut`:double, `highdgap`:double, `pearsongamma`:double, `withinss`:double, `entropy`:double, `pamc`:double, `dmode`:double>, struct<`avewithin`:double, `mnnd`:double, `cvnnd`:double, `maxdiameter`:double, `widestgap`:double, `sindex`:double, `minsep`:double, `asw`:double, `dindex`:double, `denscut`:double, `highdgap`:double, `pearsongamma`:double, `withinss`:double, `entropy`:double, `pamc`:double, `dmode`:double>>, `maxG`:double, `minG`:double, `method`:character[], `name`:character[]>", 1
"fpc", "cgrestandard", 0, 0, 0, "struct<``:tuple<null, struct<`avewithin`:double, `mnnd`:double, `cvnnd`:double, `maxdiameter`:double, `widestgap`:double, `sindex`:double, `minsep`:double, `asw`:double, `dindex`:double, `denscut`:double, `highdgap`:double, `pearsongamma`:double, `withinss`:double, `entropy`:double, `pamc`:double>, struct<`avewithin`:double, `mnnd`:double, `cvnnd`:double, `maxdiameter`:double, `widestgap`:double, `sindex`:double, `minsep`:double, `asw`:double, `dindex`:double, `denscut`:double, `highdgap`:double, `pearsongamma`:double, `withinss`:double, `entropy`:double, `pamc`:double>>, ``:tuple<null, struct<`avewithin`:double, `mnnd`:double, `cvnnd`:double, `maxdiameter`:double, `widestgap`:double, `sindex`:double, `minsep`:double, `asw`:double, `dindex`:double, `denscut`:double, `highdgap`:double, `pearsongamma`:double, `withinss`:double, `entropy`:double, `pamc`:double>, struct<`avewithin`:double, `mnnd`:double, `cvnnd`:double, `maxdiameter`:double, `widestgap`:double, `sindex`:double, `minsep`:double, `asw`:double, `dindex`:double, `denscut`:double, `highdgap`:double, `pearsongamma`:double, `withinss`:double, `entropy`:double, `pamc`:double>>, `maxG`:double, `minG`:double, `method`:character[], `name`:character[]>", 1
