package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"fracdiff", "coef.fracdiff", -1, 0, 0, "double[]", 1
"fracdiff", "coef.fracdiff", 0, 0, 0, "class<`fracdiff`>", 1
"fracdiff", "coef.fracdiff", 1, 0, 0, "...", 1
"fracdiff", "confint.fracdiff", -1, 0, 0, "class<`matrix`>", 1
"fracdiff", "confint.fracdiff", 0, 0, 0, "class<`fracdiff`>", 1
"fracdiff", "confint.fracdiff", 1, 0, 0, "any", 1
"fracdiff", "confint.fracdiff", 2, 0, 0, "double", 1
"fracdiff", "confint.fracdiff", 3, 0, 0, "...", 1
"fracdiff", "diffseries", -1, 0, 0, "double[]", 1
"fracdiff", "diffseries", 0, 0, 0, "double[]", 1
"fracdiff", "diffseries", 1, 0, 0, "double", 1
"fracdiff", ".fdcov", -1, 0, 0, "list<any>", 1
"fracdiff", ".fdcov", 0, 0, 0, "double[]", 1
"fracdiff", ".fdcov", 1, 0, 0, "double", 1
"fracdiff", ".fdcov", 2, 0, 0, "any", 1
"fracdiff", ".fdcov", 3, 0, 0, "double", 1
"fracdiff", ".fdcov", 4, 0, 0, "double", 1
"fracdiff", ".fdcov", 5, 0, 0, "class<`matrix`>", 1
"fracdiff", ".fdcov", 6, 0, 0, "double[]", 1
"fracdiff", "fdGPH", -1, 0, 0, "list<double>", 1
"fracdiff", "fdGPH", 0, 0, 0, "double[]", 1
"fracdiff", "fdGPH", 1, 0, 0, "double", 1
"fracdiff", "fdSperio", -1, 0, 0, "list<double>", 1
"fracdiff", "fdSperio", 0, 0, 0, "double[]", 1
"fracdiff", "fdSperio", 1, 0, 0, "double", 1
"fracdiff", "fdSperio", 2, 0, 0, "double", 1
"fracdiff", "fracdiff", -1, 0, 0, "class<`fracdiff`>", 1
"fracdiff", "fracdiff", 0, 0, 0, "double[]", 1
"fracdiff", "fracdiff", 1, 0, 0, "double", 1
"fracdiff", "fracdiff", 2, 0, 0, "double", 1
"fracdiff", "fracdiff", 3, 0, 0, "null", 1
"fracdiff", "fracdiff", 3, 0, 1, "^logical[]", 1
"fracdiff", "fracdiff", 4, 0, 0, "null", 1
"fracdiff", "fracdiff", 5, 0, 0, "double", 1
"fracdiff", "fracdiff", 5, 0, 1, "null", 1
"fracdiff", "fracdiff", 6, 0, 0, "double[]", 1
"fracdiff", "fracdiff", 7, 0, 0, "any", 1
"fracdiff", "fracdiff", 8, 0, 0, "double", 1
"fracdiff", "fracdiff", 9, 0, 0, "double", 1
"fracdiff", "fracdiff.sim", -1, 0, 0, "list<double[] | double[] | null>", 1
"fracdiff", "fracdiff.sim", 0, 0, 0, "double", 1
"fracdiff", "fracdiff.sim", 1, 0, 0, "double[]", 1
"fracdiff", "fracdiff.sim", 1, 0, 1, "null", 1
"fracdiff", "fracdiff.sim", 2, 0, 0, "double[]", 1
"fracdiff", "fracdiff.sim", 2, 0, 1, "null", 1
"fracdiff", "fracdiff.sim", 3, 0, 0, "double", 1
"fracdiff", "fracdiff.sim", 4, 0, 0, "class<`function`>", 1
"fracdiff", "fracdiff.sim", 5, 0, 0, "double[]", 1
"fracdiff", "fracdiff.sim", 6, 0, 0, "double", 1
"fracdiff", "fracdiff.sim", 6, 0, 1, "null", 1
"fracdiff", "fracdiff.sim", 7, 0, 0, "logical", 1
"fracdiff", "fracdiff.sim", 8, 0, 0, "logical", 1
"fracdiff", "fracdiff.sim", 9, 0, 0, "double[]", 1
"fracdiff", "fracdiff.sim", 10, 0, 0, "...", 1
"fracdiff", "fracdiff.sim", 11, 0, 0, "double", 1
"fracdiff", "fracdiff.var", -1, 0, 0, "class<`fracdiff`>", 1
"fracdiff", "fracdiff.var", 0, 0, 0, "double[]", 1
"fracdiff", "fracdiff.var", 1, 0, 0, "class<`fracdiff`>", 1
"fracdiff", "fracdiff.var", 2, 0, 0, "double", 1
"fracdiff", "logLik.fracdiff", -1, 0, 0, "class<`logLik`>", 1
"fracdiff", "logLik.fracdiff", 0, 0, 0, "class<`fracdiff`>", 1
"fracdiff", "logLik.fracdiff", 1, 0, 0, "...", 1
"fracdiff", "summary.fracdiff", -1, 0, 0, "class<`summary.fracdiff`>", 1
"fracdiff", "summary.fracdiff", 0, 0, 0, "class<`fracdiff`>", 1
"fracdiff", "summary.fracdiff", 1, 0, 0, "logical", 1
"fracdiff", "summary.fracdiff", 2, 0, 0, "...", 1
"fracdiff", "vcov.fracdiff", -1, 0, 0, "class<`matrix`>", 1
"fracdiff", "vcov.fracdiff", 0, 0, 0, "class<`fracdiff`>", 1
"fracdiff", "vcov.fracdiff", 1, 0, 0, "...", 1
