package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"fs", "::", -1, 0, 0, "character[]", 1
"fs", "::", 0, 0, 0, "character[]", 1
"fs", "::", 0, 0, 1, "null", 1
"fs", "::", 1, 0, 0, "character", 1
"fs", "::", 1, 0, 1, "null", 1
"fs", "::", 1, 0, 2, "logical", 1
"fs", "::", 2, 0, 0, "character", 1
"fs", "::", 2, 0, 1, "logical", 1
"fs", "::", 3, 0, 0, "logical", 1
"fs", "::", 3, 0, 1, "character", 1
"fs", "::", 4, 0, 0, "null", 1
"fs", "::", 4, 0, 1, "character", 1
"fs", "::", 5, 0, 0, "null", 1
"fs", "::", 6, 0, 0, "logical", 1
"fs", "::", 7, 0, 0, "logical", 1
"fs", "::", 8, 0, 0, "null", 1
"fs", "::", 9, 0, 0, "null", 1
