package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"functional", "cadr", -1, 0, 0, "double", 1
"functional", "cadr", 0, 0, 0, "double[]", 1
"functional", "Compose", -1, 0, 0, "any => any", 1
"functional", "Compose", 0, 0, 0, "any => any", 1
"functional", "Curry", -1, 0, 0, "any => any", 1
"functional", "Curry", 0, 0, 0, "symbol", 1
"functional", "Curry", 1, 0, 0, "double", 1
"functional", "CurryL", -1, 0, 0, "any => any", 1
"functional", "CurryL", 0, 0, 0, "language", 1
"functional", "CurryL", 1, 0, 0, "double", 1
