package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"gclus", "filter", -1, 0, 0, "logical[]", 1
"gclus", "filter", 0, 0, 0, "character[]", 1
"gclus", "ac", -1, 0, 0, "double", 1
"gclus", "ac", 0, 0, 0, "double[]", 1
"gclus", "ac", 1, 0, 0, "double[]", 1
"gclus", "ac", 2, 0, 0, "null", 1
"gclus", "between.order", -1, 0, 0, "integer[]", 1
"gclus", "between.order", 0, 0, 0, "^double[]", 1
"gclus", "between.order", 1, 0, 0, "list<integer[]>", 1
"gclus", "clus2memship", -1, 0, 0, "double[]", 1
"gclus", "clus2memship", 0, 0, 0, "tuple<double[], double[], double>", 1
"gclus", "clus2memship", 0, 0, 1, "list<integer[]>", 1
"gclus", "colpairs", -1, 0, 0, "^double[]", 1
"gclus", "colpairs", 0, 0, 0, "^double[]", 1
"gclus", "colpairs", 1, 0, 0, "any => any", 1
"gclus", "colpairs", 2, 0, 0, "double", 1
"gclus", "colpairs", 3, 0, 0, "logical", 1
"gclus", "colpairs", 4, 0, 0, "any => any", 1
"gclus", "colpairs", 4, 0, 1, "null", 1
"gclus", "cpairs", -1, 0, 0, "null", 1
"gclus", "cpairs", 0, 0, 0, "struct<`CONT`:double[], `INTG`:double[], `DMNR`:double[], `DILG`:double[], `CFMG`:double[], `DECI`:double[], `PREP`:double[], `FAMI`:double[], `ORAL`:double[], `WRIT`:double[], `PHYS`:double[], `RTEN`:double[]>", 1
"gclus", "cpairs", 0, 0, 1, "^double[]", 1
"gclus", "cpairs", 1, 0, 0, "null", 1
"gclus", "cpairs", 1, 0, 1, "integer[]", 1
"gclus", "cpairs", 2, 0, 0, "^character[]", 1
"gclus", "cpairs", 3, 0, 0, "character", 1
"gclus", "cpairs", 4, 0, 0, "logical", 1
"gclus", "cpairs", 5, 0, 0, "character", 1
"gclus", "cpairs", 5, 0, 1, "null", 1
"gclus", "cpairs", 5, 0, 2, "double", 1
"gclus", "cparcoord", -1, 0, 0, "null", 1
"gclus", "cparcoord", 0, 0, 0, "struct<`GNP.deflator`:double[], `GNP`:double[], `Unemployed`:double[], `Armed.Forces`:double[], `Population`:double[], `Year`:integer[], `Employed`:double[]>", 1
"gclus", "cparcoord", 0, 0, 1, "^double[]", 1
"gclus", "cparcoord", 1, 0, 0, "null", 1
"gclus", "cparcoord", 1, 0, 1, "integer[]", 1
"gclus", "cparcoord", 2, 0, 0, "^character[]", 1
"gclus", "cparcoord", 3, 0, 0, "double", 1
"gclus", "cparcoord", 4, 0, 0, "double", 1
"gclus", "cparcoord", 5, 0, 0, "logical", 1
"gclus", "cparcoord", 6, 0, 0, "null", 1
"gclus", "cparcoord", 6, 0, 1, "double[]", 1
"gclus", "cparcoord", 7, 0, 0, "null", 1
"gclus", "diag.off", -1, 0, 0, "character[]", 1
"gclus", "diag.off", 0, 0, 0, "^character[]", 1
"gclus", "diag.off", 0, 0, 1, "^double[]", 1
"gclus", "diag.off", 1, 0, 0, "double", 1
