package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"gdalUtils", "gdaladdo", -1, 0, 0, "null", 1
"gdalUtils", "gdaladdo", 0, 0, 0, "character", 1
"gdalUtils", "gdaladdo", 1, 0, 0, "double[]", 1
"gdalUtils", "gdaladdo", 2, 0, 0, "character", 1
"gdalUtils", "gdaladdo", 3, 0, 0, "any", 1
"gdalUtils", "gdaladdo", 4, 0, 0, "any", 1
"gdalUtils", "gdaladdo", 5, 0, 0, "any", 1
"gdalUtils", "gdaladdo", 6, 0, 0, "any", 1
"gdalUtils", "gdaladdo", 7, 0, 0, "logical", 1
"gdalUtils", "gdalbuildvrt", -1, 0, 0, "null", 1
"gdalUtils", "gdalbuildvrt", 0, 0, 0, "any", 1
"gdalUtils", "gdalbuildvrt", 1, 0, 0, "character", 1
"gdalUtils", "gdalbuildvrt", 2, 0, 0, "any", 1
"gdalUtils", "gdalbuildvrt", 3, 0, 0, "any", 1
"gdalUtils", "gdalbuildvrt", 4, 0, 0, "any", 1
"gdalUtils", "gdalbuildvrt", 5, 0, 0, "any", 1
"gdalUtils", "gdalbuildvrt", 6, 0, 0, "any", 1
"gdalUtils", "gdalbuildvrt", 7, 0, 0, "logical", 1
"gdalUtils", "gdal_chooseInstallation", -1, 0, 0, "integer", 1
"gdalUtils", "gdal_chooseInstallation", 0, 0, 0, "any", 1
"gdalUtils", "gdal_cmd_builder", -1, 0, 0, "character", 1
"gdalUtils", "gdal_cmd_builder", 0, 0, 0, "character", 1
"gdalUtils", "gdal_cmd_builder", 1, 0, 0, "list<list<character[]>>", 1
"gdalUtils", "gdal_cmd_builder", 1, 0, 1, "list<list<character[] | null>>", 1
"gdalUtils", "gdal_cmd_builder", 2, 0, 0, "list<any>", 1
"gdalUtils", "gdal_cmd_builder", 3, 0, 0, "character[]", 1
"gdalUtils", "gdal_cmd_builder", 4, 0, 0, "character[]", 1
"gdalUtils", "gdal_cmd_builder", 5, 0, 0, "any", 1
"gdalUtils", "gdal_cmd_builder", 6, 0, 0, "any", 1
"gdalUtils", "gdal_cmd_builder", 7, 0, 0, "double", 1
"gdalUtils", "gdal_contour", -1, 0, 0, "class<`SpatialLinesDataFrame`>", 1
"gdalUtils", "gdal_contour", 0, 0, 0, "character", 1
"gdalUtils", "gdal_contour", 1, 0, 0, "character", 1
"gdalUtils", "gdal_contour", 2, 0, 0, "any", 1
"gdalUtils", "gdal_contour", 3, 0, 0, "character", 1
"gdalUtils", "gdal_contour", 4, 0, 0, "any", 1
"gdalUtils", "gdal_contour", 5, 0, 0, "any", 1
"gdalUtils", "gdal_contour", 6, 0, 0, "any", 1
"gdalUtils", "gdal_contour", 7, 0, 0, "double", 1
"gdalUtils", "gdaldem", -1, 0, 0, "class<`RasterBrick`>", 1
"gdalUtils", "gdaldem", 0, 0, 0, "character", 1
"gdalUtils", "gdaldem", 1, 0, 0, "character", 1
"gdalUtils", "gdaldem", 2, 0, 0, "character", 1
"gdalUtils", "gdaldem", 3, 0, 0, "any", 1
"gdalUtils", "gdaldem", 4, 0, 0, "any", 1
"gdalUtils", "gdaldem", 5, 0, 0, "any", 1
"gdalUtils", "gdaldem", 6, 0, 0, "any", 1
"gdalUtils", "gdaldem", 7, 0, 0, "any", 1
"gdalUtils", "gdal_grid", -1, 0, 0, "class<`RasterBrick`>", 1
"gdalUtils", "gdal_grid", 0, 0, 0, "character", 1
"gdalUtils", "gdal_grid", 1, 0, 0, "character", 1
"gdalUtils", "gdal_grid", 2, 0, 0, "character", 1
"gdalUtils", "gdal_grid", 3, 0, 0, "character", 1
"gdalUtils", "gdal_grid", 4, 0, 0, "double[]", 1
"gdalUtils", "gdal_grid", 5, 0, 0, "double[]", 1
"gdalUtils", "gdal_grid", 6, 0, 0, "double[]", 1
"gdalUtils", "gdal_grid", 7, 0, 0, "any", 1
"gdalUtils", "gdalinfo", -1, 0, 0, "character[]", 1
"gdalUtils", "gdalinfo", -1, 0, 1, "list<double | character | class<`matrix`>>", 1
"gdalUtils", "gdalinfo", 0, 0, 0, "character", 1
"gdalUtils", "gdalinfo", 1, 0, 0, "any", 1
"gdalUtils", "gdalinfo", 2, 0, 0, "any", 1
"gdalUtils", "gdalinfo", 3, 0, 0, "any", 1
