package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"gdata", ".checkLevelsMap", -1, 0, 0, "null", 1
"gdata", ".checkLevelsMap", 0, 0, 0, "struct<`0`:character, `1`:character, `2`:character, `3`:character, `999`:character>", 1
"gdata", ".checkLevelsMap", 0, 0, 1, "struct<`0`:character, `1`:character, `2`:character, `3`:character, `NA`:character>", 1
"gdata", ".checkLevelsMap", 0, 0, 2, "struct<`a`:character, `b`:character, `c`:character, `d`:character, `e`:character, `f`:character, `g`:character, `h`:character, `i`:character, `j`:character, `k`:character, `l`:character, `m`:character, `n`:character>", 1
"gdata", ".checkLevelsMap", 0, 0, 3, "struct<`b`:integer, `c`:integer, `d`:integer, `e`:integer, `l`:integer, `m`:integer, `n`:integer, `o`:integer, `p`:integer, `s`:integer, `w`:integer, `x`:integer, `y`:integer, `z`:integer>", 1
"gdata", ".checkLevelsMap", 1, 0, 0, "character", 1
"gdata", ".unknownList", -1, 0, 0, "character[]", 1
"gdata", ".unknownList", 0, 0, 0, "struct<`xFac`:^integer[], `xInt`:^double[]>", 1
"gdata", ".unknownList", 1, 0, 0, "character[]", 1
"gdata", ".unknownList", 1, 0, 1, "double", 1
"gdata", ".unknownList", 1, 0, 2, "tuple<character, double>", 1
"gdata", ".unknownList", 1, 0, 3, "struct<`.default`:double, `xFac`:character>", 1
