package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"gdtools", "base64_raster_encode", -1, 0, 0, "character", 1
"gdtools", "base64_raster_encode", 0, 0, 0, "class<`raster`>", 1
"gdtools", "base64_raster_encode", 1, 0, 0, "integer", 1
"gdtools", "base64_raster_encode", 2, 0, 0, "integer", 1
"gdtools", "base64_raster_encode", 3, 0, 0, "double", 1
"gdtools", "base64_raster_encode", 4, 0, 0, "double", 1
"gdtools", "base64_raster_encode", 5, 0, 0, "logical", 1
"gdtools", "font_family_exists", -1, 0, 0, "logical", 1
"gdtools", "font_family_exists", 0, 0, 0, "character", 1
"gdtools", "glyphs_match", -1, 0, 0, "logical[]", 1
"gdtools", "glyphs_match", 0, 0, 0, "character[]", 1
"gdtools", "glyphs_match", 1, 0, 0, "character", 1
"gdtools", "glyphs_match", 2, 0, 0, "logical", 1
"gdtools", "glyphs_match", 3, 0, 0, "logical", 1
"gdtools", "glyphs_match", 4, 0, 0, "character", 1
"gdtools", "glyphs_match_", -1, 0, 0, "logical[]", 1
"gdtools", "glyphs_match_", 0, 0, 0, "character[]", 1
"gdtools", "glyphs_match_", 1, 0, 0, "character", 1
"gdtools", "glyphs_match_", 2, 0, 0, "logical", 1
"gdtools", "glyphs_match_", 3, 0, 0, "logical", 1
"gdtools", "glyphs_match_", 4, 0, 0, "character", 1
"gdtools", "match_family", -1, 0, 0, "character", 1
"gdtools", "match_family", 0, 0, 0, "character", 1
"gdtools", "match_family", 1, 0, 0, "logical", 1
"gdtools", "match_family", 2, 0, 0, "logical", 1
"gdtools", "match_family", 3, 0, 0, "null", 1
"gdtools", "m_str_extents", -1, 0, 0, "class<`matrix`>", 1
"gdtools", "m_str_extents", 0, 0, 0, "character[]", 1
"gdtools", "m_str_extents", 1, 0, 0, "character[]", 1
"gdtools", "m_str_extents", 2, 0, 0, "double", 1
"gdtools", "m_str_extents", 2, 0, 1, "integer[]", 1
"gdtools", "m_str_extents", 3, 0, 0, "logical[]", 1
"gdtools", "m_str_extents", 4, 0, 0, "logical[]", 1
"gdtools", "m_str_extents", 5, 0, 0, "null", 1
"gdtools", "m_str_extents_", -1, 0, 0, "class<`matrix`>", 1
"gdtools", "m_str_extents_", 0, 0, 0, "character[]", 1
"gdtools", "m_str_extents_", 1, 0, 0, "character[]", 1
"gdtools", "m_str_extents_", 2, 0, 0, "double[]", 1
"gdtools", "m_str_extents_", 3, 0, 0, "logical[]", 1
"gdtools", "m_str_extents_", 4, 0, 0, "logical[]", 1
"gdtools", "m_str_extents_", 5, 0, 0, "character[]", 1
"gdtools", "raster_png_", -1, 0, 0, "logical", 1
"gdtools", "raster_png_", 0, 0, 0, "class<`raster`>", 1
"gdtools", "raster_png_", 1, 0, 0, "integer", 1
"gdtools", "raster_png_", 2, 0, 0, "integer", 1
"gdtools", "raster_png_", 3, 0, 0, "double", 1
"gdtools", "raster_png_", 4, 0, 0, "double", 1
"gdtools", "raster_png_", 5, 0, 0, "logical", 1
"gdtools", "raster_png_", 6, 0, 0, "character", 1
"gdtools", "raster_str", -1, 0, 0, "character", 1
"gdtools", "raster_str", 0, 0, 0, "class<`raster`>", 1
"gdtools", "raster_str", 1, 0, 0, "double", 1
"gdtools", "raster_str", 2, 0, 0, "double", 1
"gdtools", "raster_str", 3, 0, 0, "logical", 1
"gdtools", "raster_write", -1, 0, 0, "character", 1
"gdtools", "raster_write", 0, 0, 0, "class<`raster`>", 1
"gdtools", "raster_write", 1, 0, 0, "character", 1
"gdtools", "raster_write", 2, 0, 0, "double", 1
"gdtools", "raster_write", 3, 0, 0, "double", 1
"gdtools", "raster_write", 4, 0, 0, "logical", 1
"gdtools", "str_extents", -1, 0, 0, "class<`matrix`>", 1
"gdtools", "str_extents", 0, 0, 0, "character[]", 1
"gdtools", "str_extents", 1, 0, 0, "character", 1
"gdtools", "str_extents", 2, 0, 0, "double", 1
"gdtools", "str_extents", 3, 0, 0, "logical", 1
"gdtools", "str_extents", 4, 0, 0, "logical", 1
"gdtools", "str_extents", 5, 0, 0, "character", 1
"gdtools", "str_extents_", -1, 0, 0, "class<`matrix`>", 1
"gdtools", "str_extents_", 0, 0, 0, "character[]", 1
"gdtools", "str_extents_", 1, 0, 0, "character", 1
"gdtools", "str_extents_", 2, 0, 0, "double", 1
"gdtools", "str_extents_", 3, 0, 0, "logical", 1
"gdtools", "str_extents_", 4, 0, 0, "logical", 1
"gdtools", "str_extents_", 5, 0, 0, "character", 1
"gdtools", "str_metrics", -1, 0, 0, "double[]", 1
"gdtools", "str_metrics", 0, 0, 0, "character", 1
"gdtools", "str_metrics", 1, 0, 0, "character", 1
"gdtools", "str_metrics", 2, 0, 0, "double", 1
"gdtools", "str_metrics", 3, 0, 0, "logical", 1
"gdtools", "str_metrics", 4, 0, 0, "logical", 1
"gdtools", "str_metrics", 5, 0, 0, "character", 1
"gdtools", "str_metrics_", -1, 0, 0, "double[]", 1
"gdtools", "str_metrics_", 0, 0, 0, "character", 1
"gdtools", "str_metrics_", 1, 0, 0, "character", 1
"gdtools", "str_metrics_", 2, 0, 0, "double", 1
"gdtools", "str_metrics_", 3, 0, 0, "logical", 1
"gdtools", "str_metrics_", 4, 0, 0, "logical", 1
"gdtools", "str_metrics_", 5, 0, 0, "character", 1
"gdtools", "sys_fonts", -1, 0, 0, "class<`data.frame`, `tbl`, `tbl_df`>", 1
