package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"gee", "filter", -1, 0, 0, "logical[]", 1
"gee", "filter", 0, 0, 0, "character[]", 1
"gee", "gee", -1, 0, 0, "struct<`title`:character, `version`:character, `model`:struct<`link`:character, `varfun`:character, `corstr`:character>, `call`:language, `terms`:language, `contrasts`:struct<`OME`:character>, `nobs`:integer, `iterations`:integer, `coefficients`:double[], `nas`:logical[], `linear.predictors`:double[], `fitted.values`:double[], `residuals`:double[], `family`:struct<`family`:character, `link`:character, `linkfun`:any => any, `linkinv`:any => any, `variance`:any => any, `dev.resids`:any => any, `aic`:any => any, `mu.eta`:any => any, `initialize`:expression, `validmu`:any => any, `valideta`:any => any, `simulate`:any => any>, `y`:double[], `id`:double[], `max.id`:integer, `working.correlation`:^double[], `scale`:double, `robust.variance`:^double[], `naive.variance`:^double[], `xnames`:character[], `error`:integer>", 1
"gee", "gee", 0, 0, 0, "language", 1
"gee", "gee", 1, 0, 0, "symbol", 1
"gee", "gee", 2, 0, 0, "symbol", 1
"gee", "gee", 3, 0, 0, "null", 1
"gee", "gee", 4, 0, 0, "null", 1
"gee", "gee", 5, 0, 0, "null", 1
"gee", "gee", 6, 0, 0, "null", 1
"gee", "gee", 7, 0, 0, "double", 1
"gee", "gee", 8, 0, 0, "double", 1
"gee", "gee", 9, 0, 0, "any => any", 1
"gee", "gee", 10, 0, 0, "character", 1
"gee", "gee", 11, 0, 0, "double", 1
"gee", "gee", 12, 0, 0, "logical", 1
"gee", "gee", 13, 0, 0, "null", 1
"gee", "gee", 14, 0, 0, "logical", 1
"gee", "gee", 15, 0, 0, "double", 1
"gee", "gee", 16, 0, 0, "logical", 1
