package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"genalg", "plot.rbga", -1, 0, 0, "(null | list<integer[]>)", 1
"genalg", "plot.rbga", 0, 0, 0, "class<`rbga`>", 1
"genalg", "plot.rbga", 1, 0, 0, "character", 1
"genalg", "plot.rbga", 2, 0, 0, "double", 1
"genalg", "plot.rbga", 3, 0, 0, "...", 1
"genalg", "rbga", -1, 0, 0, "class<`rbga`>", 1
"genalg", "rbga", 0, 0, 0, "double[]", 1
"genalg", "rbga", 1, 0, 0, "double[]", 1
"genalg", "rbga", 2, 0, 0, "null", 1
"genalg", "rbga", 3, 0, 0, "double", 1
"genalg", "rbga", 4, 0, 0, "double", 1
"genalg", "rbga", 5, 0, 0, "double", 1
"genalg", "rbga", 6, 0, 0, "null", 1
"genalg", "rbga", 7, 0, 0, "class<`function`>", 1
"genalg", "rbga", 8, 0, 0, "class<`function`>", 1
"genalg", "rbga", 9, 0, 0, "logical", 1
"genalg", "rbga", 10, 0, 0, "logical", 1
"genalg", "rbga.bin", -1, 0, 0, "class<`rbga`>", 1
"genalg", "rbga.bin", 0, 0, 0, "double", 1
"genalg", "rbga.bin", 1, 0, 0, "null", 1
"genalg", "rbga.bin", 2, 0, 0, "double", 1
"genalg", "rbga.bin", 3, 0, 0, "double", 1
"genalg", "rbga.bin", 4, 0, 0, "double", 1
"genalg", "rbga.bin", 5, 0, 0, "null", 1
"genalg", "rbga.bin", 6, 0, 0, "double", 1
"genalg", "rbga.bin", 7, 0, 0, "null", 1
"genalg", "rbga.bin", 8, 0, 0, "class<`function`>", 1
"genalg", "rbga.bin", 9, 0, 0, "logical", 1
"genalg", "rbga.bin", 10, 0, 0, "logical", 1
"genalg", "summary.rbga", -1, 0, 0, "character", 1
"genalg", "summary.rbga", 0, 0, 0, "class<`rbga`>", 1
"genalg", "summary.rbga", 1, 0, 0, "logical", 1
"genalg", "summary.rbga", 2, 0, 0, "...", 1
