package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"geodist", "convert_to_matrix", -1, 0, 0, "class<`matrix`>", 1
"geodist", "convert_to_matrix", 0, 0, 0, "class<`matrix`>", 1
"geodist", "convert_to_matrix", 0, 0, 1, "double[]", 1
"geodist", "filter", -1, 0, 0, "logical[]", 1
"geodist", "filter", 0, 0, 0, "character[]", 1
"geodist", "find_xy_cols", -1, 0, 0, "integer[]", 1
"geodist", "find_xy_cols", 0, 0, 0, "class<`matrix`>", 1
"geodist", "find_xy_cols", 0, 0, 1, "double[]", 1
"geodist", "fn", -1, 0, 0, "double", 1
"geodist", "fn", 0, 0, 0, "double", 1
"geodist", "fn", 1, 0, 0, "double", 1
"geodist", "fn", 2, 0, 0, "double", 1
"geodist", "fn", 3, 0, 0, "double", 1
"geodist", "FUN", -1, 0, 0, "double[]", 1
"geodist", "FUN", 0, 0, 0, "character", 1
"geodist", "FUN", -1, 1, 0, "double", 1
"geodist", "FUN", 0, 1, 0, "double[]", 1
"geodist", "FUN", -1, 2, 0, "double", 1
"geodist", "FUN", 0, 2, 0, "double[]", 1
"geodist", "geodist", -1, 0, 0, "(class<`matrix`> | ^double[])", 1
"geodist", "geodist", 0, 0, 0, "class<`matrix`>", 1
"geodist", "geodist", 0, 0, 1, "double[]", 1
"geodist", "geodist", 1, 0, 0, "any", 1
"geodist", "geodist", 2, 0, 0, "logical", 1
"geodist", "geodist", 3, 0, 0, "logical", 1
"geodist", "geodist", 4, 0, 0, "logical", 1
"geodist", "geodist", 5, 0, 0, "character", 1
"geodist", "geodist_benchmark", -1, 0, 0, "class<`matrix`>", 1
"geodist", "geodist_benchmark", 0, 0, 0, "double", 1
"geodist", "geodist_benchmark", 1, 0, 0, "double", 1
"geodist", "geodist_benchmark", 2, 0, 0, "double", 1
"geodist", "geodist_seq", -1, 0, 0, "^double[]", 1
"geodist", "geodist_seq", 0, 0, 0, "class<`matrix`>", 1
"geodist", "geodist_seq", 1, 0, 0, "character", 1
"geodist", "geodist_seq", 2, 0, 0, "logical", 1
"geodist", "geodist_x", -1, 0, 0, "class<`matrix`>", 1
"geodist", "geodist_x", 0, 0, 0, "class<`matrix`>", 1
"geodist", "geodist_x", 1, 0, 0, "character", 1
"geodist", "geodist_xy", -1, 0, 0, "class<`matrix`>", 1
"geodist", "geodist_xy", 0, 0, 0, "class<`matrix`>", 1
"geodist", "geodist_xy", 1, 0, 0, "class<`matrix`>", 1
"geodist", "geodist_xy", 2, 0, 0, "character", 1
"geodist", "georange", -1, 0, 0, "double[]", 1
"geodist", "georange", 0, 0, 0, "class<`matrix`>", 1
"geodist", "georange", 1, 0, 0, "any", 1
"geodist", "georange", 2, 0, 0, "logical", 1
"geodist", "georange", 3, 0, 0, "character", 1
"geodist", "georange_seq", -1, 0, 0, "double[]", 1
"geodist", "georange_seq", 0, 0, 0, "class<`matrix`>", 1
"geodist", "georange_seq", 1, 0, 0, "character", 1
"geodist", "georange_x", -1, 0, 0, "double[]", 1
"geodist", "georange_x", 0, 0, 0, "class<`matrix`>", 1
"geodist", "georange_x", 1, 0, 0, "character", 1
"geodist", "georange_xy", -1, 0, 0, "double[]", 1
"geodist", "georange_xy", 0, 0, 0, "class<`matrix`>", 1
"geodist", "georange_xy", 1, 0, 0, "class<`matrix`>", 1
"geodist", "georange_xy", 2, 0, 0, "character", 1
"geodist", "get_delta", -1, 0, 0, "double", 1
"geodist", "get_delta", 0, 0, 0, "double", 1
"geodist", "get_delta", 1, 0, 0, "double", 1
"geodist", "get_delta", 2, 0, 0, "double", 1
