package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"ggbeeswarm", "filter", -1, 0, 0, "logical[]", 1
"ggbeeswarm", "filter", 0, 0, 0, "character[]", 1
"ggbeeswarm", "geom_beeswarm", -1, 0, 0, "class<`Layer`, `LayerInstance`, `gg`, `ggproto`>", 1
"ggbeeswarm", "geom_beeswarm", 0, 0, 0, "null", 1
"ggbeeswarm", "geom_beeswarm", 1, 0, 0, "null", 1
"ggbeeswarm", "geom_beeswarm", 2, 0, 0, "character[]", 1
"ggbeeswarm", "geom_beeswarm", 3, 0, 0, "double", 1
"ggbeeswarm", "geom_beeswarm", 4, 0, 0, "null", 1
"ggbeeswarm", "geom_beeswarm", 5, 0, 0, "double", 1
"ggbeeswarm", "geom_beeswarm", 6, 0, 0, "character", 1
"ggbeeswarm", "geom_beeswarm", 7, 0, 0, "logical", 1
"ggbeeswarm", "geom_beeswarm", 8, 0, 0, "null", 1
"ggbeeswarm", "geom_beeswarm", 9, 0, 0, "logical", 1
"ggbeeswarm", "geom_beeswarm", 10, 0, 0, "...", 1
"ggbeeswarm", "geom_quasirandom", -1, 0, 0, "class<`Layer`, `LayerInstance`, `gg`, `ggproto`>", 1
"ggbeeswarm", "geom_quasirandom", 0, 0, 0, "null", 1
"ggbeeswarm", "geom_quasirandom", 1, 0, 0, "null", 1
"ggbeeswarm", "geom_quasirandom", 2, 0, 0, "double", 1
"ggbeeswarm", "geom_quasirandom", 2, 0, 1, "null", 1
"ggbeeswarm", "geom_quasirandom", 3, 0, 0, "logical", 1
"ggbeeswarm", "geom_quasirandom", 4, 0, 0, "double", 1
"ggbeeswarm", "geom_quasirandom", 5, 0, 0, "null", 1
"ggbeeswarm", "geom_quasirandom", 6, 0, 0, "character", 1
"ggbeeswarm", "geom_quasirandom", 7, 0, 0, "null", 1
"ggbeeswarm", "geom_quasirandom", 8, 0, 0, "double", 1
"ggbeeswarm", "geom_quasirandom", 9, 0, 0, "character", 1
"ggbeeswarm", "geom_quasirandom", 10, 0, 0, "character", 1
"ggbeeswarm", "geom_quasirandom", 11, 0, 0, "logical", 1
"ggbeeswarm", "position_beeswarm", -1, 0, 0, "class<`Position`, `PositionBeeswarm`, `gg`, `ggproto`>", 1
"ggbeeswarm", "position_beeswarm", 0, 0, 0, "character[]", 1
"ggbeeswarm", "position_beeswarm", 1, 0, 0, "double", 1
"ggbeeswarm", "position_beeswarm", 2, 0, 0, "null", 1
"ggbeeswarm", "position_beeswarm", 3, 0, 0, "double", 1
"ggbeeswarm", "position_quasirandom", -1, 0, 0, "class<`Position`, `PositionQuasirandom`, `gg`, `ggproto`>", 1
"ggbeeswarm", "position_quasirandom", 0, 0, 0, "double", 1
"ggbeeswarm", "position_quasirandom", 0, 0, 1, "null", 1
"ggbeeswarm", "position_quasirandom", 1, 0, 0, "logical", 1
"ggbeeswarm", "position_quasirandom", 2, 0, 0, "double", 1
"ggbeeswarm", "position_quasirandom", 3, 0, 0, "null", 1
"ggbeeswarm", "position_quasirandom", 4, 0, 0, "character", 1
"ggbeeswarm", "position_quasirandom", 5, 0, 0, "null", 1
"ggbeeswarm", "position_quasirandom", 6, 0, 0, "double", 1
