package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"ggfittext", "geom_bar_text", -1, 0, 0, "class<`Layer`, `LayerInstance`, `gg`, `ggproto`>", 1
"ggfittext", "geom_bar_text", 0, 0, 0, "null", 1
"ggfittext", "geom_bar_text", 1, 0, 0, "null", 1
"ggfittext", "geom_bar_text", 2, 0, 0, "character", 1
"ggfittext", "geom_bar_text", 3, 0, 0, "character", 1
"ggfittext", "geom_bar_text", 4, 0, 0, "logical", 1
"ggfittext", "geom_bar_text", 5, 0, 0, "null", 1
"ggfittext", "geom_bar_text", 6, 0, 0, "logical", 1
"ggfittext", "geom_bar_text", 7, 0, 0, "class<`unit`>", 1
"ggfittext", "geom_bar_text", 8, 0, 0, "class<`unit`>", 1
"ggfittext", "geom_bar_text", 9, 0, 0, "double", 1
"ggfittext", "geom_bar_text", 10, 0, 0, "character", 1
"ggfittext", "geom_bar_text", 11, 0, 0, "logical", 1
"ggfittext", "geom_bar_text", 12, 0, 0, "logical", 1
"ggfittext", "geom_bar_text", 13, 0, 0, "null", 1
"ggfittext", "geom_bar_text", 14, 0, 0, "null", 1
"ggfittext", "geom_bar_text", 15, 0, 0, "null", 1
"ggfittext", "geom_bar_text", 16, 0, 0, "null", 1
"ggfittext", "geom_bar_text", 17, 0, 0, "null", 1
"ggfittext", "geom_bar_text", 18, 0, 0, "null", 1
"ggfittext", "geom_bar_text", 19, 0, 0, "logical", 1
"ggfittext", "geom_fit_text", -1, 0, 0, "class<`Layer`, `LayerInstance`, `gg`, `ggproto`>", 1
"ggfittext", "geom_fit_text", 0, 0, 0, "null", 1
"ggfittext", "geom_fit_text", 1, 0, 0, "null", 1
"ggfittext", "geom_fit_text", 2, 0, 0, "character", 1
"ggfittext", "geom_fit_text", 3, 0, 0, "character", 1
"ggfittext", "geom_fit_text", 4, 0, 0, "logical", 1
"ggfittext", "geom_fit_text", 5, 0, 0, "null", 1
"ggfittext", "geom_fit_text", 6, 0, 0, "logical", 1
"ggfittext", "geom_fit_text", 7, 0, 0, "class<`unit`>", 1
"ggfittext", "geom_fit_text", 8, 0, 0, "class<`unit`>", 1
"ggfittext", "geom_fit_text", 9, 0, 0, "double", 1
"ggfittext", "geom_fit_text", 10, 0, 0, "character", 1
"ggfittext", "geom_fit_text", 11, 0, 0, "logical", 1
"ggfittext", "geom_fit_text", 12, 0, 0, "logical", 1
"ggfittext", "geom_fit_text", 13, 0, 0, "logical", 1
"ggfittext", "geom_fit_text", 14, 0, 0, "null", 1
"ggfittext", "geom_fit_text", 15, 0, 0, "null", 1
"ggfittext", "geom_fit_text", 16, 0, 0, "null", 1
"ggfittext", "geom_fit_text", 17, 0, 0, "null", 1
"ggfittext", "geom_fit_text", 18, 0, 0, "null", 1
"ggfittext", "geom_fit_text", 19, 0, 0, "null", 1
