package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"ggnetwork", "filter", -1, 0, 0, "logical[]", 1
"ggnetwork", "filter", 0, 0, 0, "character[]", 1
"ggnetwork", "format_fortify", -1, 0, 0, "class<`data.frame`>", 1
"ggnetwork", "format_fortify", 0, 0, 0, "class<`network`>", 1
"ggnetwork", "format_fortify", 1, 0, 0, "class<`matrix`>", 1
"ggnetwork", "format_fortify", 2, 0, 0, "character", 1
"ggnetwork", "format_fortify", 2, 0, 1, "null", 1
"ggnetwork", "format_fortify", 3, 0, 0, "double", 1
"ggnetwork", "format_fortify", 4, 0, 0, "null", 1
"ggnetwork", "format_fortify", 4, 0, 1, "character", 1
"ggnetwork", "format_fortify", 5, 0, 0, "logical", 1
"ggnetwork", "format_fortify", 6, 0, 0, "logical", 1
"ggnetwork", "format_fortify", 7, 0, 0, "class<`function`>", 1
"ggnetwork", "format_fortify", 8, 0, 0, "class<`function`>", 1
"ggnetwork", "format_fortify", 9, 0, 0, "class<`function`>", 1
"ggnetwork", "format_fortify", 10, 0, 0, "class<`function`>", 1
"ggnetwork", "format_fortify", 11, 0, 0, "class<`function`>", 1
"ggnetwork", "fortify.network", -1, 0, 0, "class<`data.frame`>", 1
"ggnetwork", "fortify.network", 0, 0, 0, "class<`network`>", 1
"ggnetwork", "fortify.network", 1, 0, 0, "null", 1
"ggnetwork", "fortify.network", 2, 0, 0, "character", 1
"ggnetwork", "fortify.network", 2, 0, 1, "class<`matrix`>", 1
"ggnetwork", "fortify.network", 3, 0, 0, "character", 1
"ggnetwork", "fortify.network", 3, 0, 1, "null", 1
"ggnetwork", "fortify.network", 4, 0, 0, "double", 1
"ggnetwork", "fortify.network", 5, 0, 0, "null", 1
"ggnetwork", "fortify.network", 5, 0, 1, "character", 1
"ggnetwork", "fortify.network", 6, 0, 0, "logical", 1
"ggnetwork", "fortify.network", 7, 0, 0, "logical", 1
"ggnetwork", "fortify.network", 8, 0, 0, "...", 1
"ggnetwork", "FUN", -1, 0, 0, "(character[] | ^double[])", 1
"ggnetwork", "FUN", 0, 0, 0, "character", 1
"ggnetwork", "FUN", 1, 0, 0, "class<`network`>", 1
"ggnetwork", "FUN", -1, 1, 0, "class<`data.frame`>", 1
"ggnetwork", "FUN", 0, 1, 0, "double", 1
"ggnetwork", "FUN", -1, 2, 0, "(character[] | double[])", 1
"ggnetwork", "FUN", 0, 2, 0, "character", 1
"ggnetwork", "FUN", 1, 2, 0, "class<`network`>", 1
"ggnetwork", "geom_edges", -1, 0, 0, "class<`Layer`, `LayerInstance`, `gg`, `ggproto`>", 1
"ggnetwork", "geom_edges", 0, 0, 0, "class<`uneval`>", 1
"ggnetwork", "geom_edges", 0, 0, 1, "null", 1
"ggnetwork", "geom_edges", 1, 0, 0, "class<`function`>", 1
"ggnetwork", "geom_edges", 1, 0, 1, "null", 1
"ggnetwork", "geom_edges", 2, 0, 0, "character", 1
"ggnetwork", "geom_edges", 3, 0, 0, "null", 1
"ggnetwork", "geom_edges", 3, 0, 1, "class<`arrow`>", 1
"ggnetwork", "geom_edges", 4, 0, 0, "double", 1
"ggnetwork", "geom_edges", 5, 0, 0, "double", 1
"ggnetwork", "geom_edges", 6, 0, 0, "double", 1
"ggnetwork", "geom_edges", 7, 0, 0, "logical", 1
"ggnetwork", "geom_edges", 8, 0, 0, "null", 1
"ggnetwork", "geom_edges", 9, 0, 0, "logical", 1
"ggnetwork", "geom_edges", 10, 0, 0, "...", 1
"ggnetwork", "geom_edgetext", -1, 0, 0, "class<`Layer`, `LayerInstance`, `gg`, `ggproto`>", 1
"ggnetwork", "geom_edgetext", 0, 0, 0, "class<`uneval`>", 1
"ggnetwork", "geom_edgetext", 0, 0, 1, "null", 1
"ggnetwork", "geom_edgetext", 1, 0, 0, "null", 1
"ggnetwork", "geom_edgetext", 1, 0, 1, "class<`function`>", 1
"ggnetwork", "geom_edgetext", 2, 0, 0, "character", 1
"ggnetwork", "geom_edgetext", 3, 0, 0, "logical", 1
"ggnetwork", "geom_edgetext", 4, 0, 0, "...", 1
"ggnetwork", "geom_edgetext", 5, 0, 0, "double", 1
"ggnetwork", "geom_edgetext", 6, 0, 0, "double", 1
"ggnetwork", "geom_edgetext", 7, 0, 0, "class<`unit`>", 1
"ggnetwork", "geom_edgetext", 8, 0, 0, "class<`unit`>", 1
"ggnetwork", "geom_edgetext", 9, 0, 0, "double", 1
"ggnetwork", "geom_edgetext", 10, 0, 0, "logical", 1
"ggnetwork", "geom_edgetext", 11, 0, 0, "null", 1
"ggnetwork", "geom_edgetext_repel", -1, 0, 0, "class<`Layer`, `LayerInstance`, `gg`, `ggproto`>", 1
"ggnetwork", "geom_edgetext_repel", 0, 0, 0, "class<`uneval`>", 1
"ggnetwork", "geom_edgetext_repel", 1, 0, 0, "class<`function`>", 1
"ggnetwork", "geom_edgetext_repel", 1, 0, 1, "null", 1
"ggnetwork", "geom_edgetext_repel", 2, 0, 0, "logical", 1
"ggnetwork", "geom_edgetext_repel", 3, 0, 0, "...", 1
"ggnetwork", "geom_edgetext_repel", 4, 0, 0, "class<`unit`>", 1
"ggnetwork", "geom_edgetext_repel", 5, 0, 0, "class<`unit`>", 1
"ggnetwork", "geom_edgetext_repel", 6, 0, 0, "class<`unit`>", 1
"ggnetwork", "geom_edgetext_repel", 7, 0, 0, "class<`unit`>", 1
"ggnetwork", "geom_edgetext_repel", 8, 0, 0, "double", 1
"ggnetwork", "geom_edgetext_repel", 9, 0, 0, "character", 1
"ggnetwork", "geom_edgetext_repel", 10, 0, 0, "double", 1
"ggnetwork", "geom_edgetext_repel", 11, 0, 0, "null", 1
"ggnetwork", "geom_nodelabel", -1, 0, 0, "class<`Layer`, `LayerInstance`, `gg`, `ggproto`>", 1
"ggnetwork", "geom_nodelabel", 0, 0, 0, "class<`uneval`>", 1
"ggnetwork", "geom_nodelabel", 1, 0, 0, "class<`function`>", 1
"ggnetwork", "geom_nodelabel", 1, 0, 1, "null", 1
"ggnetwork", "geom_nodelabel", 2, 0, 0, "character", 1
"ggnetwork", "geom_nodelabel", 3, 0, 0, "...", 1
"ggnetwork", "geom_nodelabel", 4, 0, 0, "logical", 1
"ggnetwork", "geom_nodelabel", 5, 0, 0, "double", 1
"ggnetwork", "geom_nodelabel", 6, 0, 0, "double", 1
"ggnetwork", "geom_nodelabel", 7, 0, 0, "class<`unit`>", 1
"ggnetwork", "geom_nodelabel", 8, 0, 0, "class<`unit`>", 1
"ggnetwork", "geom_nodelabel", 9, 0, 0, "double", 1
"ggnetwork", "geom_nodelabel", 10, 0, 0, "logical", 1
"ggnetwork", "geom_nodelabel", 11, 0, 0, "null", 1
"ggnetwork", "geom_nodelabel_repel", -1, 0, 0, "class<`Layer`, `LayerInstance`, `gg`, `ggproto`>", 1
"ggnetwork", "geom_nodelabel_repel", 0, 0, 0, "class<`uneval`>", 1
"ggnetwork", "geom_nodelabel_repel", 1, 0, 0, "class<`function`>", 1
"ggnetwork", "geom_nodelabel_repel", 1, 0, 1, "null", 1
"ggnetwork", "geom_nodelabel_repel", 2, 0, 0, "logical", 1
"ggnetwork", "geom_nodelabel_repel", 3, 0, 0, "...", 1
"ggnetwork", "geom_nodelabel_repel", 4, 0, 0, "class<`unit`>", 1
"ggnetwork", "geom_nodelabel_repel", 5, 0, 0, "class<`unit`>", 1
"ggnetwork", "geom_nodelabel_repel", 6, 0, 0, "class<`unit`>", 1
"ggnetwork", "geom_nodelabel_repel", 7, 0, 0, "class<`unit`>", 1
"ggnetwork", "geom_nodelabel_repel", 8, 0, 0, "double", 1
"ggnetwork", "geom_nodelabel_repel", 9, 0, 0, "character", 1
"ggnetwork", "geom_nodelabel_repel", 10, 0, 0, "double", 1
"ggnetwork", "geom_nodelabel_repel", 11, 0, 0, "null", 1
"ggnetwork", "geom_nodes", -1, 0, 0, "class<`Layer`, `LayerInstance`, `gg`, `ggproto`>", 1
"ggnetwork", "geom_nodes", 0, 0, 0, "class<`uneval`>", 1
"ggnetwork", "geom_nodes", 0, 0, 1, "null", 1
"ggnetwork", "geom_nodes", 1, 0, 0, "null", 1
"ggnetwork", "geom_nodes", 2, 0, 0, "character", 1
"ggnetwork", "geom_nodes", 3, 0, 0, "logical", 1
"ggnetwork", "geom_nodes", 4, 0, 0, "null", 1
"ggnetwork", "geom_nodes", 5, 0, 0, "logical", 1
"ggnetwork", "geom_nodes", 6, 0, 0, "...", 1
"ggnetwork", "geom_nodetext", -1, 0, 0, "class<`Layer`, `LayerInstance`, `gg`, `ggproto`>", 1
"ggnetwork", "geom_nodetext", 0, 0, 0, "class<`uneval`>", 1
"ggnetwork", "geom_nodetext", 1, 0, 0, "null", 1
"ggnetwork", "geom_nodetext", 2, 0, 0, "character", 1
"ggnetwork", "geom_nodetext", 3, 0, 0, "...", 1
"ggnetwork", "geom_nodetext", 4, 0, 0, "logical", 1
"ggnetwork", "geom_nodetext", 5, 0, 0, "double", 1
"ggnetwork", "geom_nodetext", 6, 0, 0, "double", 1
"ggnetwork", "geom_nodetext", 7, 0, 0, "logical", 1
"ggnetwork", "geom_nodetext", 8, 0, 0, "logical", 1
"ggnetwork", "geom_nodetext", 9, 0, 0, "null", 1
"ggnetwork", "geom_nodetext", 10, 0, 0, "logical", 1
"ggnetwork", "geom_nodetext_repel", -1, 0, 0, "class<`Layer`, `LayerInstance`, `gg`, `ggproto`>", 1
"ggnetwork", "geom_nodetext_repel", 0, 0, 0, "class<`uneval`>", 1
"ggnetwork", "geom_nodetext_repel", 1, 0, 0, "null", 1
"ggnetwork", "geom_nodetext_repel", 2, 0, 0, "logical", 1
"ggnetwork", "geom_nodetext_repel", 3, 0, 0, "...", 1
"ggnetwork", "geom_nodetext_repel", 4, 0, 0, "class<`unit`>", 1
