package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"ggrepel", "%||%", -1, 0, 0, "character", 1
"ggrepel", "%||%", -1, 0, 1, "null", 1
"ggrepel", "%||%", 0, 0, 0, "character", 1
"ggrepel", "%||%", 0, 0, 1, "null", 1
"ggrepel", "%||%", 1, 0, 0, "any", 1
"ggrepel", "centroid", -1, 0, 0, "double[]", 1
"ggrepel", "centroid", 0, 0, 0, "double[]", 1
"ggrepel", "centroid", 1, 0, 0, "double", 1
"ggrepel", "centroid", 2, 0, 0, "double", 1
"ggrepel", "euclid", -1, 0, 0, "double", 1
"ggrepel", "euclid", 0, 0, 0, "double[]", 1
"ggrepel", "euclid", 1, 0, 0, "double[]", 1
"ggrepel", "geom_label_repel", -1, 0, 0, "class<`Layer`, `LayerInstance`, `gg`, `ggproto`>", 1
"ggrepel", "geom_label_repel", 0, 0, 0, "null", 1
"ggrepel", "geom_label_repel", 1, 0, 0, "null", 1
"ggrepel", "geom_label_repel", 2, 0, 0, "character", 1
"ggrepel", "geom_label_repel", 3, 0, 0, "character", 1
"ggrepel", "geom_label_repel", 4, 0, 0, "logical", 1
"ggrepel", "geom_label_repel", 5, 0, 0, "...", 1
"ggrepel", "geom_label_repel", 6, 0, 0, "double", 1
"ggrepel", "geom_label_repel", 7, 0, 0, "double", 1
"ggrepel", "geom_label_repel", 8, 0, 0, "double", 1
"ggrepel", "geom_label_repel", 9, 0, 0, "double", 1
"ggrepel", "geom_label_repel", 10, 0, 0, "double", 1
"ggrepel", "geom_label_repel", 11, 0, 0, "null", 1
"ggrepel", "geom_label_repel", 12, 0, 0, "null", 1
"ggrepel", "geom_label_repel", 13, 0, 0, "double", 1
"ggrepel", "geom_label_repel", 14, 0, 0, "null", 1
"ggrepel", "geom_label_repel", 15, 0, 0, "double", 1
"ggrepel", "geom_label_repel", 16, 0, 0, "class<`arrow`>", 1
"ggrepel", "geom_label_repel", 16, 0, 1, "null", 1
"ggrepel", "geom_label_repel", 17, 0, 0, "double", 1
"ggrepel", "geom_label_repel", 18, 0, 0, "double", 1
"ggrepel", "geom_label_repel", 19, 0, 0, "double", 1
"ggrepel", "geom_text_repel", -1, 0, 0, "class<`Layer`, `LayerInstance`, `gg`, `ggproto`>", 1
"ggrepel", "geom_text_repel", 0, 0, 0, "null", 1
"ggrepel", "geom_text_repel", 1, 0, 0, "class<`data.frame`>", 1
"ggrepel", "geom_text_repel", 1, 0, 1, "null", 1
"ggrepel", "geom_text_repel", 2, 0, 0, "character", 1
"ggrepel", "geom_text_repel", 3, 0, 0, "character", 1
"ggrepel", "geom_text_repel", 4, 0, 0, "logical", 1
"ggrepel", "geom_text_repel", 5, 0, 0, "...", 1
"ggrepel", "geom_text_repel", 6, 0, 0, "double", 1
"ggrepel", "geom_text_repel", 7, 0, 0, "double", 1
"ggrepel", "geom_text_repel", 7, 0, 1, "null", 1
"ggrepel", "geom_text_repel", 8, 0, 0, "null", 1
"ggrepel", "geom_text_repel", 9, 0, 0, "character", 1
"ggrepel", "geom_text_repel", 9, 0, 1, "null", 1
"ggrepel", "geom_text_repel", 10, 0, 0, "double", 1
"ggrepel", "geom_text_repel", 11, 0, 0, "null", 1
"ggrepel", "geom_text_repel", 12, 0, 0, "double", 1
"ggrepel", "geom_text_repel", 13, 0, 0, "null", 1
"ggrepel", "geom_text_repel", 14, 0, 0, "double", 1
"ggrepel", "geom_text_repel", 15, 0, 0, "double", 1
"ggrepel", "geom_text_repel", 16, 0, 0, "double[]", 1
"ggrepel", "geom_text_repel", 17, 0, 0, "double[]", 1
"ggrepel", "geom_text_repel", 18, 0, 0, "^logical[]", 1
"ggrepel", "geom_text_repel", 19, 0, 0, "^logical[]", 1
"ggrepel", "ggname", -1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `textrepeltree`>", 1
"ggrepel", "ggname", 0, 0, 0, "character", 1
"ggrepel", "ggname", 1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `textrepeltree`>", 1
"ggrepel", "intersect_line_rectangle", -1, 0, 0, "double[]", 1
"ggrepel", "intersect_line_rectangle", 0, 0, 0, "double[]", 1
"ggrepel", "intersect_line_rectangle", 1, 0, 0, "double[]", 1
"ggrepel", "intersect_line_rectangle", 2, 0, 0, "double[]", 1
"ggrepel", "makeContent.textrepelgrob", -1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `textrepelgrob`>", 1
"ggrepel", "makeContent.textrepelgrob", 0, 0, 0, "class<`gDesc`, `gTree`, `grob`, `textrepelgrob`>", 1
"ggrepel", "makeContent.textrepeltree", -1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `textrepeltree`>", 1
"ggrepel", "makeContent.textrepeltree", 0, 0, 0, "class<`gDesc`, `gTree`, `grob`, `textrepeltree`>", 1
"ggrepel", "not_empty", -1, 0, 0, "logical[]", 1
"ggrepel", "not_empty", 0, 0, 0, "character[]", 1
"ggrepel", "repel_boxes", -1, 0, 0, "class<`data.frame`>", 1
"ggrepel", "repel_boxes", 0, 0, 0, "class<`matrix`>", 1
"ggrepel", "repel_boxes", 1, 0, 0, "double", 1
"ggrepel", "repel_boxes", 2, 0, 0, "double", 1
"ggrepel", "repel_boxes", 3, 0, 0, "class<`matrix`>", 1
"ggrepel", "repel_boxes", 4, 0, 0, "double[]", 1
"ggrepel", "repel_boxes", 5, 0, 0, "double[]", 1
"ggrepel", "repel_boxes", 6, 0, 0, "double[]", 1
"ggrepel", "repel_boxes", 7, 0, 0, "double[]", 1
"ggrepel", "repel_boxes", 8, 0, 0, "double", 1
"ggrepel", "repel_boxes", 9, 0, 0, "double", 1
"ggrepel", "repel_boxes", 10, 0, 0, "character", 1
"ggrepel", "select_line_connection", -1, 0, 0, "double[]", 1
"ggrepel", "select_line_connection", 0, 0, 0, "double[]", 1
"ggrepel", "select_line_connection", 1, 0, 0, "double[]", 1
"ggrepel", "textRepelGrob", -1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `textrepelgrob`>", 1
"ggrepel", "textRepelGrob", 0, 0, 0, "character", 1
"ggrepel", "textRepelGrob", 1, 0, 0, "class<`unit`>", 1
"ggrepel", "textRepelGrob", 2, 0, 0, "class<`unit`>", 1
"ggrepel", "textRepelGrob", 3, 0, 0, "class<`unit`>", 1
"ggrepel", "textRepelGrob", 4, 0, 0, "class<`unit`>", 1
"ggrepel", "textRepelGrob", 5, 0, 0, "double", 1
"ggrepel", "textRepelGrob", 6, 0, 0, "character", 1
"ggrepel", "textRepelGrob", 7, 0, 0, "character", 1
"ggrepel", "textRepelGrob", 8, 0, 0, "class<`unit`>", 1
"ggrepel", "textRepelGrob", 9, 0, 0, "class<`unit`>", 1
"ggrepel", "textRepelGrob", 10, 0, 0, "null", 1
"ggrepel", "textRepelGrob", 11, 0, 0, "class<`gpar`>", 1
"ggrepel", "textRepelGrob", 12, 0, 0, "class<`gpar`>", 1
"ggrepel", "textRepelGrob", 13, 0, 0, "null", 1
"ggrepel", "textRepelGrob", 14, 0, 0, "null", 1
"ggrepel", "textRepelGrob", 15, 0, 0, "class<`unit`>", 1
"ggrepel", "textRepelGrob", 16, 0, 0, "double", 1
"ggrepel", "textRepelGrob", 17, 0, 0, "double", 1
"ggrepel", "to_unit", -1, 0, 0, "class<`unit`>", 1
"ggrepel", "to_unit", -1, 0, 1, "null", 1
"ggrepel", "to_unit", 0, 0, 0, "class<`unit`>", 1
"ggrepel", "to_unit", 0, 0, 1, "double", 1
"ggrepel", "to_unit", 0, 0, 2, "null", 1
