package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"ggthemes", "bank_slopes", -1, 0, 0, "double", 1
"ggthemes", "bank_slopes", 0, 0, 0, "integer[]", 1
"ggthemes", "bank_slopes", 1, 0, 0, "double[]", 1
"ggthemes", "bank_slopes", 2, 0, 0, "logical", 1
"ggthemes", "bank_slopes", 3, 0, 0, "null", 1
"ggthemes", "bank_slopes", 4, 0, 0, "character[]", 1
"ggthemes", "bank_slopes", 5, 0, 0, "...", 1
"ggthemes", "calc_pal", -1, 0, 0, "class<`function`>", 1
"ggthemes", "calc_shape_pal", -1, 0, 0, "class<`function`>", 1
"ggthemes", "calc_slopes", -1, 0, 0, "list<double[]>", 1
"ggthemes", "calc_slopes", 0, 0, 0, "integer[]", 1
"ggthemes", "calc_slopes", 1, 0, 0, "double[]", 1
"ggthemes", "calc_slopes", 2, 0, 0, "logical", 1
"ggthemes", "canva_pal", -1, 0, 0, "class<`function`>", 1
"ggthemes", "canva_pal", 0, 0, 0, "character", 1
"ggthemes", "check_pal_n", -1, 0, 0, "null", 1
"ggthemes", "check_pal_n", 0, 0, 0, "double", 1
"ggthemes", "check_pal_n", 1, 0, 0, "double", 1
"ggthemes", "circlefill_shape_pal", -1, 0, 0, "class<`function`>", 1
"ggthemes", "cleveland_shape_pal", -1, 0, 0, "class<`function`>", 1
"ggthemes", "cleveland_shape_pal", 0, 0, 0, "logical", 1
"ggthemes", "colorblind_pal", -1, 0, 0, "class<`function`>", 1
"ggthemes", ".coverage", -1, 0, 0, "double", 1
"ggthemes", ".coverage", 0, 0, 0, "double", 1
"ggthemes", ".coverage", 1, 0, 0, "double", 1
"ggthemes", ".coverage", 2, 0, 0, "double", 1
"ggthemes", ".coverage", 3, 0, 0, "double", 1
"ggthemes", ".coverage.max", -1, 0, 0, "double", 1
"ggthemes", ".coverage.max", 0, 0, 0, "double", 1
"ggthemes", ".coverage.max", 1, 0, 0, "double", 1
"ggthemes", ".coverage.max", 2, 0, 0, "double", 1
"ggthemes", ".density", -1, 0, 0, "double", 1
"ggthemes", ".density", 0, 0, 0, "double", 1
"ggthemes", ".density", 1, 0, 0, "integer", 1
"ggthemes", ".density", 2, 0, 0, "double", 1
"ggthemes", ".density", 3, 0, 0, "double", 1
"ggthemes", ".density", 4, 0, 0, "double", 1
"ggthemes", ".density", 5, 0, 0, "double", 1
"ggthemes", ".density.max", -1, 0, 0, "double", 1
"ggthemes", ".density.max", 0, 0, 0, "double", 1
"ggthemes", ".density.max", 1, 0, 0, "integer", 1
"ggthemes", "economist_pal", -1, 0, 0, "class<`function`>", 1
"ggthemes", "economist_pal", 0, 0, 0, "logical", 1
"ggthemes", "economist_pal", -1, 1, 0, "character[]", 1
"ggthemes", "economist_pal", 0, 1, 0, "double", 1
"ggthemes", "excel_new_pal", -1, 0, 0, "class<`function`>", 1
"ggthemes", "excel_new_pal", 0, 0, 0, "character", 1
"ggthemes", "excel_pal", -1, 0, 0, "class<`function`>", 1
"ggthemes", "excel_pal", 0, 0, 0, "logical", 1
"ggthemes", "extended_range_breaks", -1, 0, 0, "class<`function`>", 1
"ggthemes", "extended_range_breaks", 0, 0, 0, "double", 1
"ggthemes", "extended_range_breaks", 1, 0, 0, "...", 1
"ggthemes", "extended_range_breaks", -1, 1, 0, "double[]", 1
"ggthemes", "extended_range_breaks", 0, 1, 0, "double[]", 1
"ggthemes", "extended_range_breaks_", -1, 0, 0, "double[]", 1
"ggthemes", "extended_range_breaks_", 0, 0, 0, "double", 1
"ggthemes", "extended_range_breaks_", 1, 0, 0, "double", 1
"ggthemes", "extended_range_breaks_", 2, 0, 0, "any", 1
"ggthemes", "extended_range_breaks_", 3, 0, 0, "double[]", 1
"ggthemes", "extended_range_breaks_", 4, 0, 0, "double[]", 1
"ggthemes", "few_pal", -1, 0, 0, "character[]", 1
"ggthemes", "few_pal", 0, 0, 0, "double", 1
"ggthemes", "few_pal", -1, 1, 0, "class<`function`>", 1
"ggthemes", "few_pal", 0, 1, 0, "character", 1
"ggthemes", "few_shape_pal", -1, 0, 0, "class<`function`>", 1
"ggthemes", "fivethirtyeight_pal", -1, 0, 0, "class<`function`>", 1
"ggthemes", "gdocs_pal", -1, 0, 0, "class<`function`>", 1
"ggthemes", "geom_rangeframe", -1, 0, 0, "class<`Layer`, `LayerInstance`, `gg`, `ggproto`>", 1
"ggthemes", "geom_rangeframe", 0, 0, 0, "null", 1
"ggthemes", "geom_rangeframe", 1, 0, 0, "null", 1
"ggthemes", "geom_rangeframe", 2, 0, 0, "character", 1
"ggthemes", "geom_rangeframe", 3, 0, 0, "character", 1
"ggthemes", "geom_rangeframe", 4, 0, 0, "...", 1
"ggthemes", "geom_rangeframe", 5, 0, 0, "character", 1
"ggthemes", "geom_rangeframe", 6, 0, 0, "logical", 1
"ggthemes", "geom_rangeframe", 7, 0, 0, "null", 1
"ggthemes", "geom_rangeframe", 8, 0, 0, "logical", 1
"ggthemes", "geom_tufteboxplot", -1, 0, 0, "class<`Layer`, `LayerInstance`, `gg`, `ggproto`>", 1
"ggthemes", "geom_tufteboxplot", 0, 0, 0, "null", 1
"ggthemes", "geom_tufteboxplot", 1, 0, 0, "null", 1
"ggthemes", "geom_tufteboxplot", 2, 0, 0, "character", 1
"ggthemes", "geom_tufteboxplot", 3, 0, 0, "character", 1
"ggthemes", "geom_tufteboxplot", 4, 0, 0, "character", 1
"ggthemes", "geom_tufteboxplot", 5, 0, 0, "double", 1
"ggthemes", "geom_tufteboxplot", 6, 0, 0, "double", 1
"ggthemes", "geom_tufteboxplot", 7, 0, 0, "double", 1
"ggthemes", "geom_tufteboxplot", 8, 0, 0, "double", 1
"ggthemes", "geom_tufteboxplot", 9, 0, 0, "double", 1
"ggthemes", "geom_tufteboxplot", 10, 0, 0, "logical", 1
"ggthemes", "geom_tufteboxplot", 11, 0, 0, "null", 1
"ggthemes", "geom_tufteboxplot", 12, 0, 0, "logical", 1
"ggthemes", "geom_tufteboxplot", 13, 0, 0, "character", 1
"ggthemes", "geom_tufteboxplot", 14, 0, 0, "character", 1
"ggthemes", "geom_tufteboxplot", 15, 0, 0, "...", 1
"ggthemes", "get_colors", -1, 0, 0, "character", 1
"ggthemes", "get_colors", 0, 0, 0, "character[]", 1
"ggthemes", "get_colors", 1, 0, 0, "character", 1
"ggthemes", "hc_pal", -1, 0, 0, "class<`function`>", 1
"ggthemes", "hc_pal", 0, 0, 0, "character", 1
"ggthemes", ".legibility", -1, 0, 0, "double", 1
"ggthemes", ".legibility", 0, 0, 0, "any", 1
"ggthemes", ".legibility", 1, 0, 0, "any", 1
"ggthemes", ".legibility", 2, 0, 0, "any", 1
"ggthemes", "ptol_pal", -1, 0, 0, "character[]", 1
"ggthemes", "ptol_pal", 0, 0, 0, "double", 1
"ggthemes", "ptol_pal", -1, 1, 0, "class<`function`>", 1
"ggthemes", "scale_color_calc", -1, 0, 0, "class<`Scale`, `ScaleDiscrete`, `gg`, `ggproto`>", 1
"ggthemes", "scale_color_calc", 0, 0, 0, "...", 1
"ggthemes", "scale_color_fivethirtyeight", -1, 0, 0, "class<`Scale`, `ScaleDiscrete`, `gg`, `ggproto`>", 1
"ggthemes", "scale_color_fivethirtyeight", 0, 0, 0, "...", 1
