package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"glm2", "glm2", -1, 0, 0, "class<`glm`, `lm`>", 1
"glm2", "glm2", 0, 0, 0, "class<`formula`>", 1
"glm2", "glm2", 1, 0, 0, "class<`family`>", 1
"glm2", "glm2", 2, 0, 0, "any", 1
"glm2", "glm2", 3, 0, 0, "any", 1
"glm2", "glm2", 4, 0, 0, "any", 1
"glm2", "glm2", 5, 0, 0, "any", 1
"glm2", "glm2", 6, 0, 0, "double[]", 1
"glm2", "glm2", 6, 0, 1, "null", 1
"glm2", "glm2", 7, 0, 0, "any", 1
"glm2", "glm2", 8, 0, 0, "any", 1
"glm2", "glm2", 9, 0, 0, "any", 1
"glm2", "glm2", 10, 0, 0, "list<any>", 1
"glm2", "glm2", 11, 0, 0, "logical", 1
"glm2", "glm2", 12, 0, 0, "character", 1
"glm2", "glm2", 13, 0, 0, "logical", 1
"glm2", "glm2", 14, 0, 0, "logical", 1
"glm2", "glm2", 15, 0, 0, "logical", 1
"glm2", "glm2", 16, 0, 0, "null", 1
"glm2", "glm2", 17, 0, 0, "...", 1
"glm2", "glm.fit2", -1, 0, 0, "list<any>", 1
"glm2", "glm.fit2", 0, 0, 0, "double[]", 1
"glm2", "glm.fit2", 0, 0, 1, "class<`matrix`>", 1
"glm2", "glm.fit2", 1, 0, 0, "double[]", 1
"glm2", "glm.fit2", 1, 0, 1, "class<`matrix`>", 1
"glm2", "glm.fit2", 2, 0, 0, "double[]", 1
"glm2", "glm.fit2", 2, 0, 1, "null", 1
"glm2", "glm.fit2", 3, 0, 0, "double[]", 1
"glm2", "glm.fit2", 3, 0, 1, "null", 1
"glm2", "glm.fit2", 4, 0, 0, "null", 1
"glm2", "glm.fit2", 5, 0, 0, "null", 1
"glm2", "glm.fit2", 6, 0, 0, "double[]", 1
"glm2", "glm.fit2", 6, 0, 1, "null", 1
"glm2", "glm.fit2", 7, 0, 0, "class<`family`>", 1
"glm2", "glm.fit2", 8, 0, 0, "list<any>", 1
"glm2", "glm.fit2", 9, 0, 0, "logical", 1
"glm2", "glm.fit2", 10, 0, 0, "logical", 1
