package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"globals", "as_function", -1, 0, 0, "class<`function`>", 1
"globals", "as_function", 0, 0, 0, "class<`{`>", 1
"globals", "as_function", 1, 0, 0, "environment", 1
"globals", "as_function", 2, 0, 0, "environment", 1
"globals", "as_function", 3, 0, 0, "...", 1
"globals", "findGlobals", -1, 0, 0, "character[]", 1
"globals", "findGlobals", 0, 0, 0, "class<`{`>", 1
"globals", "findGlobals", 1, 0, 0, "environment", 1
"globals", "findGlobals", 2, 0, 0, "...", 1
"globals", "findGlobals", 3, 0, 0, "null", 1
"globals", "findGlobals", 4, 0, 0, "character[]", 1
"globals", "findGlobals", 5, 0, 0, "character", 1
"globals", "findGlobals", 6, 0, 0, "logical", 1
"globals", "findGlobals", 7, 0, 0, "any", 1
"globals", "findGlobals", 8, 0, 0, "logical", 1
"globals", "getOption", -1, 0, 0, "logical", 1
"globals", "getOption", 0, 0, 0, "character", 1
"globals", "getOption", 1, 0, 0, "logical", 1
"globals", "[.Globals", -1, 0, 0, "class<`Globals`, `list`>", 1
"globals", "[.Globals", 0, 0, 0, "class<`Globals`, `list`>", 1
"globals", "[.Globals", 1, 0, 0, "logical[]", 1
"globals", "globalsByName", -1, 0, 0, "class<`Globals`, `list`>", 1
"globals", "globalsByName", 0, 0, 0, "character[]", 1
"globals", "globalsByName", 1, 0, 0, "environment", 1
"globals", "globalsByName", 2, 0, 0, "any", 1
"globals", "globalsByName", 3, 0, 0, "...", 1
"globals", "globalsOf", -1, 0, 0, "class<`Globals`, `list`>", 1
"globals", "globalsOf", 0, 0, 0, "class<`{`>", 1
"globals", "globalsOf", 1, 0, 0, "environment", 1
"globals", "globalsOf", 2, 0, 0, "...", 1
"globals", "globalsOf", 3, 0, 0, "character", 1
"globals", "globalsOf", 4, 0, 0, "null", 1
"globals", "globalsOf", 5, 0, 0, "logical", 1
"globals", "globalsOf", 6, 0, 0, "logical", 1
"globals", "globalsOf", 7, 0, 0, "logical", 1
"globals", "globalsOf", 8, 0, 0, "logical", 1
"globals", "globalsOf", 9, 0, 0, "null", 1
"globals", "is_base_pkg", -1, 0, 0, "logical[]", 1
"globals", "is_base_pkg", 0, 0, 0, "character[]", 1
"globals", "mdebug", -1, 0, 0, "logical", 1
"globals", "mdebug", 0, 0, 0, "...", 1
"globals", "stop_if_not", -1, 0, 0, "null", 1
"globals", "stop_if_not", 0, 0, 0, "...", 1
"globals", "where", -1, 0, 0, "environment", 1
"globals", "where", 0, 0, 0, "character", 1
"globals", "where", 1, 0, 0, "any", 1
"globals", "where", 2, 0, 0, "environment", 1
"globals", "where", 3, 0, 0, "any", 1
"globals", "where", 4, 0, 0, "character", 1
"globals", "where", 5, 0, 0, "logical", 1
