package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"gmp", "%*%", -1, 0, 0, "(class<`bigq`> | class<`bigz`> | class<`matrix`>)", 1
"gmp", "%*%", 0, 0, 0, "class<`bigq`>", 1
"gmp", "%*%", 0, 0, 1, "class<`bigz`>", 1
"gmp", "%*%", 0, 0, 2, "class<`matrix`>", 1
"gmp", "%*%", 0, 0, 3, "double[]", 1
"gmp", "%*%", 1, 0, 0, "class<`bigq`>", 1
"gmp", "%*%", 1, 0, 1, "class<`matrix`>", 1
"gmp", "%*%", 1, 0, 2, "class<`bigz`>", 1
"gmp", "abs.bigq", -1, 0, 0, "class<`bigq`>", 1
"gmp", "abs.bigq", 0, 0, 0, "class<`bigq`>", 1
"gmp", "abs.bigz", -1, 0, 0, "class<`bigz`>", 1
"gmp", "abs.bigz", 0, 0, 0, "class<`bigz`>", 1
"gmp", "all.equal.bigq", -1, 0, 0, "logical", 1
"gmp", "all.equal.bigq", 0, 0, 0, "class<`bigq`>", 1
"gmp", "all.equal.bigq", 1, 0, 0, "double[]", 1
"gmp", "all.equal.bigq", 1, 0, 1, "class<`matrix`>", 1
"gmp", "all.equal.bigq", 2, 0, 0, "double", 1
"gmp", "all.equal.bigq", 3, 0, 0, "null", 1
"gmp", "all.equal.bigq", 4, 0, 0, "logical", 1
"gmp", "all.equal.bigq", 5, 0, 0, "logical", 1
"gmp", "all.equal.bigq", 6, 0, 0, "...", 1
"gmp", "all.equal.bigz", -1, 0, 0, "logical", 1
"gmp", "all.equal.bigz", 0, 0, 0, "class<`bigz`>", 1
"gmp", "all.equal.bigz", 1, 0, 0, "double[]", 1
"gmp", "all.equal.bigz", 2, 0, 0, "...", 1
"gmp", "apply", -1, 0, 0, "(class<`bigq`> | class<`bigz`>)", 1
"gmp", "apply", 0, 0, 0, "class<`bigq`>", 1
"gmp", "apply", 0, 0, 1, "class<`bigz`>", 1
"gmp", "apply", 1, 0, 0, "double", 1
"gmp", "apply", 2, 0, 0, "class<`function`>", 1
"gmp", "apply", 3, 0, 0, "...", 1
"gmp", "apply.bigq", -1, 0, 0, "class<`bigq`>", 1
"gmp", "apply.bigq", 0, 0, 0, "class<`bigq`>", 1
"gmp", "apply.bigq", 1, 0, 0, "double", 1
"gmp", "apply.bigq", 2, 0, 0, "class<`function`>", 1
"gmp", "apply.bigq", 3, 0, 0, "...", 1
"gmp", "apply.bigz", -1, 0, 0, "class<`bigz`>", 1
"gmp", "apply.bigz", 0, 0, 0, "class<`bigz`>", 1
"gmp", "apply.bigz", 1, 0, 0, "double", 1
"gmp", "apply.bigz", 2, 0, 0, "class<`function`>", 1
"gmp", "apply.bigz", 3, 0, 0, "...", 1
"gmp", "as.bigq", -1, 0, 0, "any", 1
"gmp", "as.bigq", 0, 0, 0, "class<`bigz`>", 1
"gmp", "as.bigq", 0, 0, 1, "^double[]", 1
"gmp", "as.bigq", 0, 0, 2, "null", 1
"gmp", "as.bigq", 0, 0, 3, "class<`matrix`>", 1
"gmp", "as.bigq", 0, 0, 4, "character", 1
"gmp", "as.bigq", 0, 0, 5, "class<`bigq`>", 1
"gmp", "as.bigq", 1, 0, 0, "class<`bigz`>", 1
"gmp", "as.bigq", 1, 0, 1, "character", 1
"gmp", "as.bigq", 1, 0, 2, "class<`bigq`>", 1
"gmp", "as.bigq", 1, 0, 3, "null", 1
"gmp", "as.bigq", 1, 0, 4, "double[]", 1
"gmp", "as.bigz", -1, 0, 0, "any", 1
"gmp", "as.bigz", 0, 0, 0, "character", 1
"gmp", "as.bigz", 0, 0, 1, "class<`bigq`>", 1
"gmp", "as.bigz", 0, 0, 2, "class<`bigz`>", 1
"gmp", "as.bigz", 0, 0, 3, "^double[]", 1
"gmp", "as.bigz", 0, 0, 4, "null", 1
"gmp", "as.bigz", 0, 0, 5, "class<`matrix`>", 1
"gmp", "as.bigz", 1, 0, 0, "null", 1
"gmp", "as.bigz", 1, 0, 1, "^logical[]", 1
"gmp", "as.bigz", 1, 0, 2, "character", 1
"gmp", "as.bigz", 1, 0, 3, "class<`bigq`>", 1
"gmp", "as.bigz", 1, 0, 4, "class<`bigz`>", 1
"gmp", "as.bigz", 1, 0, 5, "double[]", 1
"gmp", "as.bigz.bigq", -1, 0, 0, "any", 1
"gmp", "as.bigz.bigq", 0, 0, 0, "class<`bigq`>", 1
"gmp", "as.bigz.bigq", 1, 0, 0, "any", 1
"gmp", "as.character.bigq", -1, 0, 0, "character[]", 1
"gmp", "as.character.bigq", 0, 0, 0, "class<`bigq`>", 1
"gmp", "as.character.bigq", 1, 0, 0, "integer", 1
"gmp", "as.character.bigq", 2, 0, 0, "...", 1
"gmp", "as.character.bigz", -1, 0, 0, "character[]", 1
"gmp", "as.character.bigz", 0, 0, 0, "class<`bigz`>", 1
"gmp", "as.character.bigz", 1, 0, 0, "double", 1
"gmp", "as.character.bigz", 2, 0, 0, "...", 1
"gmp", "as.double.bigq", -1, 0, 0, "(^double[] | null)", 1
"gmp", "as.double.bigq", 0, 0, 0, "class<`bigq`>", 1
"gmp", "as.double.bigq", 1, 0, 0, "...", 1
"gmp", "as.double.bigz", -1, 0, 0, "(^double[] | null)", 1
"gmp", "as.double.bigz", 0, 0, 0, "class<`bigz`>", 1
"gmp", "as.double.bigz", 1, 0, 0, "...", 1
"gmp", "as.integer.bigq", -1, 0, 0, "^integer[]", 1
"gmp", "as.integer.bigq", 0, 0, 0, "class<`bigq`>", 1
"gmp", "as.integer.bigq", 1, 0, 0, "...", 1
"gmp", "as.integer.bigz", -1, 0, 0, "(^integer[] | null)", 1
"gmp", "as.integer.bigz", 0, 0, 0, "class<`bigz`>", 1
"gmp", "as.integer.bigz", 1, 0, 0, "...", 1
"gmp", "as.matrix.bigq", -1, 0, 0, "class<`bigq`>", 1
"gmp", "as.matrix.bigq", 0, 0, 0, "class<`bigq`>", 1
"gmp", "as.matrix.bigq", 1, 0, 0, "...", 1
"gmp", "as.matrix.bigz", -1, 0, 0, "class<`bigz`>", 1
"gmp", "as.matrix.bigz", 0, 0, 0, "class<`bigz`>", 1
"gmp", "as.matrix.bigz", 1, 0, 0, "...", 1
"gmp", "asNumeric", -1, 0, 0, "(class<`matrix`> | ^double[])", 1
"gmp", "asNumeric", 0, 0, 0, "class<`bigq`>", 1
"gmp", "asNumeric", -1, 1, 0, "(class<`matrix`> | ^double[])", 1
"gmp", "asNumeric", 0, 1, 0, "class<`bigz`>", 1
"gmp", "asNumeric", -1, 2, 0, "class<`matrix`>", 1
"gmp", "asNumeric", 0, 2, 0, "class<`matrix`>", 1
"gmp", "asNumeric", -1, 3, 0, "(class<`matrix`> | ^double[])", 1
"gmp", "asNumeric", 0, 3, 0, "class<`bigq`>", 1
"gmp", "asNumeric", 0, 3, 1, "class<`bigz`>", 1
"gmp", "asNumeric", 0, 3, 2, "class<`matrix`>", 1
"gmp", "as.vector.bigq", -1, 0, 0, "(class<`bigq`> | list<class<`bigq`>>)", 1
"gmp", "as.vector.bigq", 0, 0, 0, "class<`bigq`>", 1
"gmp", "as.vector.bigq", 1, 0, 0, "character", 1
"gmp", "as.vector.bigz", -1, 0, 0, "(class<`bigz`> | list<class<`bigz`>>)", 1
"gmp", "as.vector.bigz", 0, 0, 0, "class<`bigz`>", 1
"gmp", "as.vector.bigz", 1, 0, 0, "character", 1
"gmp", "^.bigq", -1, 0, 0, "any", 1
"gmp", "^.bigq", 0, 0, 0, "any", 1
"gmp", "^.bigq", 1, 0, 0, "double", 1
"gmp", "^.bigq", 1, 0, 1, "class<`bigq`>", 1
"gmp", "<=.bigq", -1, 0, 0, "(class<`matrix`> | ^logical[])", 1
"gmp", "<=.bigq", 0, 0, 0, "class<`bigq`>", 1
"gmp", "<=.bigq", 0, 0, 1, "double", 1
"gmp", "<=.bigq", 0, 0, 2, "null", 1
"gmp", "<=.bigq", 1, 0, 0, "class<`bigq`>", 1
"gmp", "<=.bigq", 1, 0, 1, "^double[]", 1
"gmp", "<.bigq", -1, 0, 0, "^logical[]", 1
"gmp", "<.bigq", 0, 0, 0, "class<`bigq`>", 1
"gmp", "<.bigq", 0, 0, 1, "double", 1
"gmp", "<.bigq", 0, 0, 2, "null", 1
"gmp", "<.bigq", 1, 0, 0, "class<`bigq`>", 1
"gmp", "<.bigq", 1, 0, 1, "^double[]", 1
"gmp", "==.bigq", -1, 0, 0, "(class<`matrix`> | ^logical[])", 1
"gmp", "==.bigq", 0, 0, 0, "class<`bigq`>", 1
"gmp", "==.bigq", 0, 0, 1, "class<`matrix`>", 1
"gmp", "==.bigq", 0, 0, 2, "^double[]", 1
"gmp", "==.bigq", 0, 0, 3, "null", 1
"gmp", "==.bigq", 1, 0, 0, "class<`matrix`>", 1
"gmp", "==.bigq", 1, 0, 1, "class<`bigq`>", 1
"gmp", "==.bigq", 1, 0, 2, "^double[]", 1
"gmp", ">=.bigq", -1, 0, 0, "^logical[]", 1
"gmp", ">=.bigq", 0, 0, 0, "class<`bigq`>", 1
"gmp", ">=.bigq", 0, 0, 1, "double", 1
"gmp", ">=.bigq", 0, 0, 2, "null", 1
"gmp", ">=.bigq", 1, 0, 0, "class<`bigq`>", 1
"gmp", ">=.bigq", 1, 0, 1, "^double[]", 1
"gmp", ">.bigq", -1, 0, 0, "^logical[]", 1
"gmp", ">.bigq", 0, 0, 0, "class<`bigq`>", 1
"gmp", ">.bigq", 0, 0, 1, "double", 1
"gmp", ">.bigq", 0, 0, 2, "null", 1
"gmp", ">.bigq", 1, 0, 0, "class<`bigq`>", 1
"gmp", ">.bigq", 1, 0, 1, "^double[]", 1
"gmp", "-.bigq", -1, 0, 0, "class<`bigq`>", 1
"gmp", "-.bigq", 0, 0, 0, "class<`bigq`>", 1
"gmp", "-.bigq", 0, 0, 1, "^double[]", 1
"gmp", "-.bigq", 0, 0, 2, "null", 1
"gmp", "-.bigq", 1, 0, 0, "class<`bigq`>", 1
"gmp", "-.bigq", 1, 0, 1, "^double[]", 1
"gmp", "-.bigq", 1, 0, 2, "class<`matrix`>", 1
"gmp", "!=.bigq", -1, 0, 0, "^logical[]", 1
"gmp", "!=.bigq", 0, 0, 0, "class<`bigq`>", 1
"gmp", "!=.bigq", 0, 0, 1, "double", 1
"gmp", "!=.bigq", 0, 0, 2, "null", 1
"gmp", "!=.bigq", 1, 0, 0, "class<`bigq`>", 1
"gmp", "!=.bigq", 1, 0, 1, "^double[]", 1
"gmp", "/.bigq", -1, 0, 0, "class<`bigq`>", 1
"gmp", "/.bigq", 0, 0, 0, "class<`bigq`>", 1
"gmp", "/.bigq", 0, 0, 1, "double", 1
"gmp", "/.bigq", 0, 0, 2, "null", 1
"gmp", "/.bigq", 1, 0, 0, "class<`bigq`>", 1
"gmp", "/.bigq", 1, 0, 1, "^double[]", 1
"gmp", "[<-.bigq", -1, 0, 0, "any", 1
"gmp", "[<-.bigq", 0, 0, 0, "class<`bigq`>", 1
"gmp", "[<-.bigq", 1, 0, 0, "double", 1
"gmp", "[<-.bigq", 1, 0, 1, "integer[]", 1
"gmp", "[<-.bigq", 2, 0, 0, "null", 1
"gmp", "[<-.bigq", 2, 0, 1, "double", 1
"gmp", "[<-.bigq", 3, 0, 0, "double[]", 1
"gmp", "[<-.bigq", 3, 0, 1, "null", 1
"gmp", "[<-.bigq", 3, 0, 2, "list<double>", 1
"gmp", "[.bigq", -1, 0, 0, "any", 1
"gmp", "[.bigq", 0, 0, 0, "class<`bigq`>", 1
"gmp", "[.bigq", 1, 0, 0, "double[]", 1
"gmp", "[.bigq", 2, 0, 0, "null", 1
"gmp", "[.bigq", 2, 0, 1, "integer[]", 1
"gmp", "[.bigq", 2, 0, 2, "double", 1
"gmp", "[.bigq", 3, 0, 0, "logical", 1
"gmp", "*.bigq", -1, 0, 0, "class<`bigq`>", 1
"gmp", "*.bigq", 0, 0, 0, "class<`bigq`>", 1
"gmp", "*.bigq", 0, 0, 1, "double", 1
"gmp", "*.bigq", 0, 0, 2, "null", 1
"gmp", "*.bigq", 1, 0, 0, "class<`bigq`>", 1
"gmp", "*.bigq", 1, 0, 1, "^double[]", 1
"gmp", "%*%.bigq", -1, 0, 0, "class<`bigq`>", 1
"gmp", "%*%.bigq", 0, 0, 0, "class<`bigq`>", 1
"gmp", "%*%.bigq", 1, 0, 0, "class<`bigq`>", 1
"gmp", "%*%.bigq", 1, 0, 1, "class<`matrix`>", 1
"gmp", "+.bigq", -1, 0, 0, "class<`bigq`>", 1
"gmp", "+.bigq", 0, 0, 0, "class<`bigq`>", 1
"gmp", "+.bigq", 0, 0, 1, "^double[]", 1
"gmp", "+.bigq", 0, 0, 2, "null", 1
"gmp", "+.bigq", 1, 0, 0, "class<`bigq`>", 1
"gmp", "+.bigq", 1, 0, 1, "^double[]", 1
"gmp", "^.bigz", -1, 0, 0, "(class<`bigq`> | class<`bigz`>)", 1
"gmp", "^.bigz", 0, 0, 0, "class<`bigz`>", 1
"gmp", "^.bigz", 0, 0, 1, "double", 1
"gmp", "^.bigz", 0, 0, 2, "null", 1
"gmp", "^.bigz", 0, 0, 3, "integer[]", 1
"gmp", "^.bigz", 1, 0, 0, "class<`bigz`>", 1
"gmp", "^.bigz", 1, 0, 1, "^double[]", 1
"gmp", "^.bigz", 2, 0, 0, "...", 1
"gmp", "<=.bigz", -1, 0, 0, "^logical[]", 1
"gmp", "<=.bigz", 0, 0, 0, "class<`bigz`>", 1
"gmp", "<=.bigz", 0, 0, 1, "double", 1
"gmp", "<=.bigz", 0, 0, 2, "null", 1
"gmp", "<=.bigz", 1, 0, 0, "class<`bigz`>", 1
