package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"gnm", "anova.gnm", -1, 0, 0, "class<`anova`, `data.frame`>", 1
"gnm", "anova.gnm", 0, 0, 0, "class<`glm`, `gnm`, `lm`>", 1
"gnm", "anova.gnm", 1, 0, 0, "...", 1
"gnm", "anova.gnm", 2, 0, 0, "null", 1
"gnm", "anova.gnm", 3, 0, 0, "character", 1
"gnm", "anova.gnm", 3, 0, 1, "null", 1
"gnm", "asGnm", -1, 0, 0, "class<`glm`, `gnm`, `lm`>", 1
"gnm", "asGnm", 0, 0, 0, "class<`lm`>", 1
"gnm", "asGnm", 1, 0, 0, "...", 1
"gnm", "asGnm.lm", -1, 0, 0, "class<`glm`, `gnm`, `lm`>", 1
"gnm", "asGnm.lm", 0, 0, 0, "class<`lm`>", 1
"gnm", "asGnm.lm", 1, 0, 0, "...", 1
"gnm", "checkEstimable", -1, 0, 0, "^logical[]", 1
"gnm", "checkEstimable", 0, 0, 0, "class<`glm`, `gnm`, `lm`>", 1
"gnm", "checkEstimable", 1, 0, 0, "class<`matrix`>", 1
"gnm", "checkEstimable", 1, 0, 1, "double[]", 1
"gnm", "checkEstimable", 2, 0, 0, "null", 1
"gnm", "coef.gnm", -1, 0, 0, "class<`coef.gnm`, `numeric`>", 1
"gnm", "coef.gnm", 0, 0, 0, "class<`glm`, `gnm`, `lm`>", 1
"gnm", "coef.gnm", 1, 0, 0, "...", 1
"gnm", "confint.gnm", -1, 0, 0, "class<`matrix`>", 1
"gnm", "confint.gnm", 0, 0, 0, "class<`glm`, `gnm`, `lm`>", 1
"gnm", "confint.gnm", 1, 0, 0, "integer[]", 1
"gnm", "confint.gnm", 2, 0, 0, "double", 1
"gnm", "confint.gnm", 3, 0, 0, "logical", 1
"gnm", "confint.gnm", 4, 0, 0, "...", 1
"gnm", "confint.profile.gnm", -1, 0, 0, "class<`matrix`>", 1
"gnm", "confint.profile.gnm", 0, 0, 0, "class<`profile`, `profile.glm`, `profile.gnm`>", 1
"gnm", "confint.profile.gnm", 1, 0, 0, "character[]", 1
"gnm", "confint.profile.gnm", 2, 0, 0, "double", 1
"gnm", "confint.profile.gnm", 3, 0, 0, "...", 1
"gnm", "Const", -1, 0, 0, "class<`call`>", 1
"gnm", "Const", 0, 0, 0, "double", 1
"gnm", "cooks.distance.gnm", -1, 0, 0, "class<`table`>", 1
"gnm", "cooks.distance.gnm", 0, 0, 0, "class<`glm`, `gnm`, `lm`>", 1
"gnm", "cooks.distance.gnm", 1, 0, 0, "class<`table`>", 1
"gnm", "cooks.distance.gnm", 2, 0, 0, "double", 1
"gnm", "cooks.distance.gnm", 3, 0, 0, "...", 1
"gnm", "Diag", -1, 0, 0, "class<`factor`>", 1
"gnm", "Diag", -1, 0, 1, "double[]", 1
"gnm", "Diag", 0, 0, 0, "...", 1
"gnm", "Diag", 1, 0, 0, "logical", 1
"gnm", "Dref", -1, 0, 0, "list<any>", 1
"gnm", "Dref", 0, 0, 0, "...", 1
"gnm", "Dref", 1, 0, 0, "class<`formula`>", 1
