package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"goftest", "ad.test", -1, 0, 0, "class<`htest`>", 1
"goftest", "ad.test", 0, 0, 0, "double[]", 1
"goftest", "ad.test", 1, 0, 0, "character", 1
"goftest", "ad.test", 2, 0, 0, "...", 1
"goftest", "ad.test", 3, 0, 0, "logical", 1
"goftest", "ad.test", 4, 0, 0, "any", 1
"goftest", "braun", -1, 0, 0, "list<double | character>", 1
"goftest", "braun", 0, 0, 0, "double[]", 1
"goftest", "braun", 1, 0, 0, "class<`function`>", 1
"goftest", "braun", 2, 0, 0, "double", 1
"goftest", "cvm.test", -1, 0, 0, "class<`htest`>", 1
"goftest", "cvm.test", 0, 0, 0, "double[]", 1
"goftest", "cvm.test", 1, 0, 0, "character", 1
"goftest", "cvm.test", 2, 0, 0, "...", 1
"goftest", "cvm.test", 3, 0, 0, "logical", 1
"goftest", "cvm.test", 4, 0, 0, "any", 1
"goftest", "getCdf", -1, 0, 0, "class<`function`>", 1
"goftest", "getCdf", 0, 0, 0, "character", 1
"goftest", "getCdf", 1, 0, 0, "logical", 1
"goftest", "getfunky", -1, 0, 0, "class<`function`>", 1
"goftest", "getfunky", 0, 0, 0, "character", 1
"goftest", "pAD", -1, 0, 0, "double", 1
"goftest", "pAD", 0, 0, 0, "double", 1
"goftest", "pAD", 1, 0, 0, "any", 1
"goftest", "pAD", 2, 0, 0, "logical", 1
"goftest", "pAD", 3, 0, 0, "any", 1
"goftest", "pCvM", -1, 0, 0, "double[]", 1
"goftest", "pCvM", 0, 0, 0, "double[]", 1
"goftest", "pCvM", 1, 0, 0, "double", 1
"goftest", "pCvM", 2, 0, 0, "logical", 1
"goftest", "qAD", -1, 0, 0, "double", 1
"goftest", "qAD", 0, 0, 0, "double", 1
"goftest", "qAD", 1, 0, 0, "double", 1
"goftest", "qAD", 2, 0, 0, "logical", 1
"goftest", "qAD", 3, 0, 0, "logical", 1
"goftest", "qCvM", -1, 0, 0, "double", 1
"goftest", "qCvM", 0, 0, 0, "double", 1
"goftest", "qCvM", 1, 0, 0, "double", 1
"goftest", "qCvM", 2, 0, 0, "logical", 1
"goftest", "recogniseCdf", -1, 0, 0, "character", 1
"goftest", "recogniseCdf", 0, 0, 0, "character", 1
"goftest", "simpleADtest", -1, 0, 0, "list<double | character>", 1
"goftest", "simpleADtest", 0, 0, 0, "double[]", 1
"goftest", "simpleCvMtest", -1, 0, 0, "list<double | character>", 1
"goftest", "simpleCvMtest", 0, 0, 0, "double[]", 1
